"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2025","7","60.9","0.9","0.9","-0.1","1.7","35.6","64","39"
"Acuña Jr., Ronald","660670","2025","-9","12.5","-1.9","-1.7","0.9","-2.7","31","40","5"
"Adell, Jo","666176","2025","-9","35.5","-2.8","-1.6","0.2","-4.2","29.9","62","22"
"Altuve, Jose","514888","2025","-5","21.1","-3","-0.7","0.3","-3.5","29.2","19","4"
"Andujar, Miguel","609280","2025","-3","26.3","-3.5","2.2","-2.1","-3.2","29.9","19","5"
"Anthony, Roman","701350","2025","5","71.4","0.2","1.3","-0.5","0.9","34","21","15"
"Arozarena, Randy","668227","2025","-5","41.9","-1.4","-0.9","0.3","-2","31.6","74","31"
"Bader, Harrison","664056","2025","7","67.6","1","-0.8","0.4","0.6","34.6","68","46"
"Baldwin, Brooks","681460","2025","-2","44.4","-1.4","0.6","-0.1","-1","32.5","36","16"
"Barger, Addison","680718","2025","1","56.3","0","1.2","-1.2","0","32.9","32","18"
"Barrosa, Jorge","678489","2025","4","66.7","1","1.8","-0.7","2.1","37.1","18","12"
"Beavers, Dylan","687637","2025","0","52.6","0.1","-1.1","0","-0.9","32.1","19","10"
"Beck, Jordan","687597","2025","-1","38.2","-0.2","-0.7","0.2","-0.8","31.8","76","29"
"Bellinger, Cody","641355","2025","4","54.1","1","-0.1","0.2","1.2","35.3","85","46"
"Benintendi, Andrew","643217","2025","-7","35.3","-2.2","-0.5","0","-2.8","31","34","12"
"Benson, Will","666181","2025","1","65.1","-0.6","-1.3","0","-1.9","31.8","43","28"
"Bleday, JJ","668709","2025","-5","39.7","0.1","0.3","-0.2","0.3","34.2","58","23"
"Brown, Seth","664913","2025","-1","30","-1.6","-1.1","0.5","-2.2","31.9","10","3"
"Burleson, Alec","676475","2025","-4","26.1","-3","-1.4","1.1","-3.3","30.3","23","6"
"Butler, Lawrence","671732","2025","2","49.2","-0.3","-0.9","0.2","-0.9","33.6","65","32"
"Buxton, Byron","621439","2025","0","50.9","0","-1.6","1","-0.6","34.8","57","29"
"Báez, Javier","595879","2025","2","70.6","1.2","1.5","-0.1","2.7","37.8","17","12"
"Caballero, José","676609","2025","1","52.9","0.5","0.8","-1.2","0","33.9","17","9"
"Caglianone, Jac","695506","2025","-6","36.7","-1.2","-0.7","-0.4","-2.2","30.1","30","11"
"Call, Alex","669743","2025","1","52.3","0.1","1.6","-0.3","1.3","35.7","44","23"
"Campero, Gustavo","672569","2025","-1","40","-0.4","-1.2","1","-0.5","33","10","4"
"Canario, Alexander","672744","2025","0","44.1","-0.4","0","0.2","-0.2","34.3","34","15"
