"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Abreu, José","547989","CWS","145","1B","33","R","0.00","0.58","0.92","1.20","1.45","1.68","1.90","2.11","2.31","2.51","2.70","2.89","3.07","3.26","3.45","3.63","3.81","4.00","4.21"
"Adames, Willy","642715","TB","139","SS","24","R","0.00","0.56","0.88","1.15","1.39","1.61","1.82","2.01","2.21","2.39","2.57","2.75","2.93","3.10","3.28","3.45","3.62","3.79","3.96"
"Ahmed, Nick","605113","AZ","109","SS","30","R","0.00","0.57","0.90","1.17","1.41","1.63","1.85","2.05","2.25","2.44","2.62","2.81","2.98","3.16","3.34","3.51","3.69","3.86","4.04"
"Akiyama, Shogo","673451","CIN","113","LF","32","L","0.00","0.56","0.88","1.15","1.39","1.61","1.82","2.02","2.22","2.41","2.60","2.78","2.96","3.14","3.32","3.49","3.67","3.85","4.05"
"Alberto, Hanser","593643","BAL","110","2B","27","R","0.00","0.58","0.92","1.19","1.43","1.66","1.87","2.08","2.28","2.47","2.67","2.85","3.03","3.22","3.40","3.57","3.75","3.93","4.12"
"Alonso, Pete","624413","NYM","121","1B","25","R","0.00","0.57","0.91","1.19","1.44","1.67","1.89","2.10","2.31","2.51","2.71","2.90","3.09","3.28","3.46","3.65","3.83","4.02","4.22"
"Altuve, Jose","514888","HOU","117","2B","30","R","0.00","0.55","0.85","1.11","1.34","1.55","1.75","1.94","2.13","2.30","2.48","2.65","2.82","2.98","3.15","3.32","3.48","3.65","3.84"
"Anderson, Brian","605119","MIA","146","3B","27","R","0.00","0.58","0.90","1.18","1.43","1.66","1.88","2.09","2.30","2.50","2.69","2.88","3.07","3.26","3.44","3.63","3.81","4.01","4.20"
"Anderson, Tim","641313","CWS","145","SS","27","R","0.00","0.55","0.86","1.12","1.35","1.56","1.76","1.95","2.14","2.32","2.50","2.67","2.84","3.01","3.17","3.34","3.51","3.68","3.87"
"Andrus, Elvis","462101","TEX","140","SS","31","R","0.00","0.56","0.89","1.16","1.41","1.64","1.86","2.06","2.26","2.46","2.65","2.84","3.03","3.21","3.40","3.58","3.76","3.94","4.14"
"Arcia, Orlando","606115","MIL","158","SS","25","R","0.00","0.58","0.92","1.20","1.46","1.69","1.91","2.12","2.33","2.53","2.73","2.92","3.11","3.30","3.49","3.67","3.87","4.07","4.28"
"Arozarena, Randy","668227","TB","139","LF","25","R","0.00","0.57","0.89","1.15","1.38","1.60","1.81","2.01","2.19","2.38","2.56","2.73","2.91","3.08","3.25","3.43","3.60","3.77","3.96"
"Bell, Josh","605137","PIT","134","1B","27","L","0.00","0.57","0.91","1.19","1.45","1.69","1.91","2.13","2.33","2.54","2.73","2.92","3.12","3.30","3.49","3.67","3.86","4.06","4.28"
"Bellinger, Cody","641355","LAD","119","CF","24","L","0.00","0.55","0.86","1.11","1.34","1.55","1.75","1.94","2.12","2.30","2.48","2.66","2.83","3.00","3.17","3.33","3.50","3.68","3.88"
"Berti, Jon","542932","MIA","146","2B","30","R","0.00","0.55","0.86","1.11","1.34","1.56","1.76","1.95","2.14","2.32","2.49","2.67","2.84","3.01","3.17","3.34","3.51","3.67","3.84"
"Betts, Mookie","605141","LAD","119","RF","27","R","0.00","0.54","0.86","1.12","1.36","1.58","1.78","1.97","2.17","2.35","2.53","2.71","2.89","3.06","3.23","3.40","3.56","3.73","3.90"
"Bichette, Bo","666182","TOR","141","SS","22","R","0.00","0.55","0.88","1.15","1.39","1.62","1.83","2.03","2.23","2.42","2.61","2.79","2.97","3.15","3.33","3.51","3.69","3.87","4.05"
"Biggio, Cavan","624415","TOR","141","2B","25","L","0.00","0.55","0.87","1.14","1.37","1.59","1.80","2.00","2.19","2.39","2.57","2.75","2.93","3.11","3.28","3.45","3.63","3.81","4.00"
"Blackmon, Charlie","453568","COL","115","RF","33","L","0.00","0.56","0.88","1.15","1.39","1.61","1.83","2.03","2.23","2.42","2.61","2.79","2.97","3.15","3.33","3.50","3.69","3.87","4.05"
"Bogaerts, Xander","593428","BOS","111","SS","27","R","0.00","0.58","0.90","1.16","1.40","1.62","1.83","2.03","2.23","2.41","2.60","2.78","2.96","3.13","3.30","3.47","3.64","3.82","4.00"
