stable_player_key,npb_name,npb_name_en,identity_state,evidence_role,mlbam_id,season,team_id,team,position,batting_side,standardized_90ft_seconds,split_000_seconds,split_005_seconds,split_010_seconds,split_015_seconds,split_020_seconds,split_025_seconds,split_030_seconds,split_035_seconds,split_040_seconds,split_045_seconds,split_050_seconds,split_055_seconds,split_060_seconds,split_065_seconds,split_070_seconds,split_075_seconds,split_080_seconds,split_085_seconds,split_090_seconds,qualifier_name,qualifier_value,opportunities_competitive_runs,sprint_speed_kmh,competitive_runs,bolts,raw_hp_to_1b_seconds,hp_to_1b_semantics,exposure_join_state,source_url,source_response_sha256,source_export_row_number,missingness_policy,shared_play_double_count_guard
PROEYE:33335151,エスコバー,Alcides Escobar,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,444876,2015,118,KC,SS,R,3.99,0,0.56,0.85,1.11,1.35,1.58,1.79,2,2.19,2.38,2.57,2.75,2.93,3.11,3.28,3.46,3.63,3.81,3.99,min_competitive_runs,10,325,27.4,325,,4.4,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2015&position=&team=&min=10&csv=true,88909d71b7d65cbfa0974aab2ffb2fe7bc2af80a7af1e0d70959a390004741cf,100,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:33335151,エスコバー,Alcides Escobar,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,444876,2016,118,KC,SS,R,3.99,0,0.55,0.86,1.13,1.37,1.59,1.8,2.01,2.2,2.39,2.58,2.76,2.94,3.11,3.29,3.46,3.63,3.81,3.99,min_competitive_runs,10,307,27.5,307,3,4.34,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2016&position=&team=&min=10&csv=true,9dfbb22da0dfc9b9725822625718a5b6bd5df39a21ba9fe1c66bf34a7f3cef55,115,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:33335151,エスコバー,Alcides Escobar,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,444876,2017,118,KC,SS,R,3.99,0,0.54,0.85,1.11,1.36,1.58,1.8,2,2.2,2.39,2.57,2.76,2.94,3.11,3.29,3.46,3.63,3.81,3.99,min_competitive_runs,10,264,27.7,264,2,4.35,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2017&position=&team=&min=10&csv=true,1c9661ef5fc1d8d5b9d45d6e585249f028dc52bc7e79ae1ebd7afab10d76aef6,116,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:33335151,エスコバー,Alcides Escobar,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,444876,2018,118,KC,SS,R,4.02,0,0.55,0.86,1.13,1.37,1.6,1.81,2.01,2.21,2.4,2.59,2.77,2.95,3.13,3.31,3.48,3.66,3.83,4.02,min_competitive_runs,10,241,27.5,241,,4.33,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2018&position=&team=&min=10&csv=true,d90d76244344c85d88c64cfdc14fa4dc17bd1cd5dc5fd39f20835335eb20f1fa,130,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:33335151,エスコバー,Alcides Escobar,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,444876,2021,120,WSH,SS,R,4.01,0,0.56,0.89,1.16,1.4,1.62,1.83,2.04,2.23,2.42,2.61,2.79,2.97,3.14,3.31,3.49,3.66,3.84,4.01,min_competitive_runs,10,133,27.5,133,3,4.36,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2021&position=&team=&min=10&csv=true,3800897a7a217a5ad3f7f200b5f0023ea6838942eafd0b902937bdb081de67c3,110,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:33335151,エスコバー,Alcides Escobar,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,444876,2022,120,WSH,SS,R,3.99,0,0.57,0.89,1.16,1.4,1.62,1.83,2.03,2.23,2.42,2.6,2.78,2.96,3.13,3.31,3.48,3.65,3.82,3.99,min_competitive_runs,10,44,28.2,44,1,4.41,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2022&position=&team=&min=10&csv=true,bf141e702572a28c4e85c17268f70dbb7e820e06c96b09c3fc350962ff9a1f83,121,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:53755151,パーラ,Gerardo Parra,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,467827,2015,110,BAL,RF,L,4.12,0,0.55,0.85,1.11,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.98,3.17,3.35,3.53,3.72,3.92,4.12,min_competitive_runs,10,252,26.6,252,,4.41,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2015&position=&team=&min=10&csv=true,88909d71b7d65cbfa0974aab2ffb2fe7bc2af80a7af1e0d70959a390004741cf,243,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:53755151,パーラ,Gerardo Parra,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,467827,2016,115,COL,LF,L,4.16,0,0.55,0.86,1.13,1.38,1.62,1.84,2.04,2.24,2.44,2.63,2.82,3,3.19,3.37,3.56,3.75,3.95,4.16,min_competitive_runs,10,192,26.4,192,,4.31,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2016&position=&team=&min=10&csv=true,9dfbb22da0dfc9b9725822625718a5b6bd5df39a21ba9fe1c66bf34a7f3cef55,287,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:53755151,パーラ,Gerardo Parra,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,467827,2017,115,COL,LF,L,4.11,0,0.55,0.85,1.12,1.37,1.6,1.81,2.02,2.22,2.41,2.6,2.79,2.98,3.16,3.34,3.52,3.71,3.91,4.11,min_competitive_runs,10,183,26.4,183,,4.32,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2017&position=&team=&min=10&csv=true,1c9661ef5fc1d8d5b9d45d6e585249f028dc52bc7e79ae1ebd7afab10d76aef6,283,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
PROEYE:53755151,パーラ,Gerardo Parra,MATCHED_VERIFIED_MLBAM_OR_CURATED_BRIDGE,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_AND_MLB_REGULAR_SEASON_EVIDENCE,467827,2018,115,COL,LF,L,4.13,0,0.56,0.87,1.14,1.39,1.62,1.83,2.04,2.24,2.43,2.62,2.81,2.99,3.18,3.36,3.54,3.73,3.92,4.13,min_competitive_runs,10,186,26.5,186,,4.31,RAW_H2F_LEADERBOARD_FIELD_NOT_STANDARDIZED_90FT,ONE_TO_ONE_SPRINT_EXPOSURE_JOIN,https://baseballsavant.mlb.com/running_splits?year=2018&position=&team=&min=10&csv=true,d90d76244344c85d88c64cfdc14fa4dc17bd1cd5dc5fd39f20835335eb20f1fa,310,MISSING_LEADERBOARD_ROW_IS_MISSING_EXPOSURE_NOT_SLOW,"90FT_SPLITS, raw HP_TO_1B, Sprint Speed, Competitive Runs and Bolts remain separate fields; no additive score."
