player,player_id,team,active_scope_lane,current_npb_plus_speed_kmh,current_npb_plus_band,old_physical_evidence_years,current_physical_status,current_physical_metric,current_physical_value,current_physical_unit,current_physical_observed_year,current_physical_source,current_physical_protocol,direct_t90_provenance_status,grok_x_classification,accepted_x_count,independent_x_count,independent_qualifying_x_count,resolution_classification,video_needed,exact_video_question,remaining_limitation
西野 真弘,91495130,オリックス・バファローズ,LEGACY_12_UNRESOLVED_SNS,31.6,B4_MID_UPPER_COHORT_OCTILE,,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,2,2,1,INSUFFICIENT_EVIDENCE_REMAINS,true,西野 真弘: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
カリステ,93795157,中日ドラゴンズ,LEGACY_12_UNRESOLVED_SNS,31.3,B5_MID_LOWER_COHORT_OCTILE,2017,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,1,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,カリステ: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
土田 龍空,51455153,中日ドラゴンズ,LEGACY_12_UNRESOLVED_SNS,31.2,B6_LOWER_MID_COHORT_OCTILE,,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,MIXED_CONSENSUS,4,4,4,MIXED_EVIDENCE_REMAINS,true,土田 龍空: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、相反する同時代証拠のどちらが現在の身体的走速度をより良く表すかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
大島 洋平,01305131,中日ドラゴンズ,LEGACY_12_UNRESOLVED_SNS,31.7,B4_MID_UPPER_COHORT_OCTILE,2007,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,1,1,1,INSUFFICIENT_EVIDENCE_REMAINS,true,大島 洋平: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
友杉 篤輝,71275157,千葉ロッテマリーンズ,LEGACY_12_UNRESOLVED_SNS,32.7,B2_UPPER_COHORT_OCTILE,2022|unknown,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,METRIC_CONSTRUCT_CONFLICT,3,3,3,METRIC_CONSTRUCT_CONFLICT_REMAINS,true,友杉 篤輝: 2026年の同条件・全力直線走を複数プレーで確認し、現在のNPB+順序と過去年の別計測constructの差が、現時点の身体的走速度差として残るかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
外崎 修汰,41245130,埼玉西武ライオンズ,LEGACY_12_UNRESOLVED_SNS,32.3,B3_UPPER_MID_COHORT_OCTILE,2024,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,1,1,1,INSUFFICIENT_EVIDENCE_REMAINS,true,外崎 修汰: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
矢野 雅哉,93395153,広島東洋カープ,LEGACY_12_UNRESOLVED_SNS,30.7,B6_LOWER_MID_COHORT_OCTILE,unknown|UNKNOWN,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,1,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,矢野 雅哉: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
野間 峻祥,01405130,広島東洋カープ,LEGACY_12_UNRESOLVED_SNS,31.7,B4_MID_UPPER_COHORT_OCTILE,,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,1,1,0,INSUFFICIENT_EVIDENCE_REMAINS,true,野間 峻祥: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
中村 悠平,51255118,東京ヤクルトスワローズ,LEGACY_12_UNRESOLVED_SNS,30.4,B7_LOWER_COHORT_OCTILE,,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,INSUFFICIENT_SNS_EVIDENCE,1,1,1,INSUFFICIENT_EVIDENCE_REMAINS,true,中村 悠平: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
林 琢真,91695157,横浜DeNAベイスターズ,LEGACY_12_UNRESOLVED_SNS,32,B3_UPPER_MID_COHORT_OCTILE,2022|unknown,CURRENT_PHYSICAL_MEASUREMENT_NOT_FOUND,,,,,,,NOT_REVALIDATED_IN_FINAL_NEW6_T90_AUDIT,METRIC_CONSTRUCT_CONFLICT,3,3,2,METRIC_CONSTRUCT_CONFLICT_REMAINS,true,林 琢真: 2026年の同条件・全力直線走を複数プレーで確認し、現在のNPB+順序と過去年の別計測constructの差が、現時点の身体的走速度差として残るかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.
