source_id,player,team,packet_id,case_type,provenance,source_platform,source_class,author,author_id,author_account,post_id,post_url,source_url,posted_at,post_date,post_date_precision,retrieved_at,query,query_kinds,grok_x_search_receipt_ids,grok_x_search_receipt_provenance,text_excerpt,quote_excerpt,paraphrased_physical_speed_claim,paraphrased_claim,current_historical,temporal_relevance,evidence_direction,supports_faster_current_slower_mixed,directness,evidence_strength,independence_group,accepted,acceptance_status,rejection_reason,physical_speed_only,is_repost,is_syndicated_copy,same_origin_duplicate_of,existing_duplicate_of_source_id,accessibility_status,identity_status
GXSR001,カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@kawasemi501,,@kawasemi501,1870797395510087861,https://x.com/kawasemi501/status/1870797395510087861,https://x.com/kawasemi501/status/1870797395510087861,,,NOT_RETURNED,2026-08-10T11:58:45.527Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「カリステ」です。投稿本文に「カリステ」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「スピード」「直線速度」「加速」など、走る速さへの直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speed""]","[""GXQ013""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,,,,,UNVERIFIED_TEMPORAL_CONTEXT,UNVERIFIED_TEMPORAL_CONTEXT,NON_DIRECTIONAL,not_directional,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,X_AUTHOR_kawasemi501,false,REJECTED,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,false,false,false,,,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
GXSR002,カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,SNS,@MukeshSLive,,@MukeshSLive,1946407809144484272,https://x.com/MukeshSLive/status/1946407809144484272,https://x.com/MukeshSLive/status/1946407809144484272,2025-07-19 03:12:38 GMT,2025-07-19,TIMESTAMP_RETURNED_BY_GROK_X,2026-08-10T11:58:29.304Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「カリステ」です。投稿本文に「カリステ」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「俊足」など、身体的running abilityを指す直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speedster""]","[""GXQ011""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,🧢フォードはMLB経験豊富な左打ちスラッガー、カリステは俊足巧打の助っ人,🧢フォードはMLB経験豊富な左打ちスラッガー、カリステは俊足巧打の助っ人,2025年の投稿は、カリステを俊足型の助っ人として扱う。,2025年の投稿は、カリステを俊足型の助っ人として扱う。,CURRENT_2025,CURRENT_2025,FASTER,faster,GENERIC_CURRENT_PLAYER_TYPE_SPEED_LABEL,MODERATE,X_AUTHOR_MukeshSLive,true,ACCEPTED,,true,false,false,,,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
GXSR003,カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@jpxneezd,,@jpxneezd,2035030093240967369,https://x.com/jpxneezd/status/2035030093240967369,https://x.com/jpxneezd/status/2035030093240967369,2026-03-20 16:25:57 GMT,2026-03-20,TIMESTAMP_RETURNED_BY_GROK_X,2026-08-10T11:58:29.304Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「カリステ」です。投稿本文に「カリステ」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「俊足」など、身体的running abilityを指す直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speedster""]","[""GXQ011""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,カリステみたいな内外野全ポジション守れる俊足巧打タイプの助っ人はNPBでは珍しいですか。,カリステみたいな内外野全ポジション守れる俊足巧打タイプの助っ人はNPBでは珍しいですか。,,,CURRENT_2026,CURRENT_2026,FASTER,faster,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,X_AUTHOR_jpxneezd,false,REJECTED,QUESTION_FORM_NOT_DIRECT_PHYSICAL_SPEED_CLAIM,false,false,false,,,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
GXSR004,カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@NoKick,,@NoKick,2038966073568154036,https://x.com/NoKick/status/2038966073568154036,https://x.com/NoKick/status/2038966073568154036,2026-03-31 13:06:08 GMT,2026-03-31,TIMESTAMP_RETURNED_BY_GROK_X,2026-08-10T11:58:29.304Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「カリステ」です。投稿本文に「カリステ」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「俊足」など、身体的running abilityを指す直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speedster""]","[""GXQ011""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,中日はなんで俊足好守の二塁手みたいな打撃成績しか、残してない助っ人と契約してるの？カリステのことだけど　#dragons,中日はなんで俊足好守の二塁手みたいな打撃成績しか、残してない助っ人と契約してるの？カリステのことだけど　#dragons,,,CURRENT_2026,CURRENT_2026,FASTER,faster,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,X_AUTHOR_NoKick,false,REJECTED,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,false,false,false,,,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
GXSR005,塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@yutakah2,,@yutakah2,1774791555674751464,https://x.com/yutakah2/status/1774791555674751464,https://x.com/yutakah2/status/1774791555674751464,2024-04-01 13:30:55 GMT,2024-04-01,TIMESTAMP_RETURNED_BY_GROK_X,2026-08-10T12:38:49.636Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「塩見 泰隆」です。投稿本文に「塩見 泰隆」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「走力」「脚力」など、身体的な走る能力への直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""running_ability""]","[""GXQ120""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,塩見泰隆　イノシシ並みの脚力,塩見泰隆　イノシシ並みの脚力,,,CONTEMPORARY_2024_HISTORICAL_CONTEXT,CONTEMPORARY_2024_HISTORICAL_CONTEXT,NON_DIRECTIONAL,not_directional,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,X_AUTHOR_yutakah2,false,REJECTED,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,false,false,false,,,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
GXSR006,塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@zanshin5439,,@zanshin5439,1789576660419027362,https://x.com/zanshin5439/status/1789576660419027362,https://x.com/zanshin5439/status/1789576660419027362,2024-05-12,2024-05-12,DAY_RETURNED_BY_GROK_X,2026-08-10T12:39:01.900Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「塩見 泰隆」です。投稿本文に「塩見 泰隆」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「スピード」「直線速度」「加速」など、走る速さへの直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speed""]","[""GXQ121""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,,,,,CONTEMPORARY_2024_HISTORICAL_CONTEXT,CONTEMPORARY_2024_HISTORICAL_CONTEXT,NON_DIRECTIONAL,not_directional,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,X_AUTHOR_zanshin5439,false,REJECTED,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,false,false,false,,,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
GXSR007,塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@hoshunodaryoku,,@hoshunodaryoku,1844874767167533273,https://x.com/hoshunodaryoku/status/1844874767167533273,https://x.com/hoshunodaryoku/status/1844874767167533273,2024-10-11,2024-10-11,DAY_RETURNED_BY_GROK_X,2026-08-10T12:39:01.900Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「塩見 泰隆」です。投稿本文に「塩見 泰隆」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「スピード」「直線速度」「加速」など、走る速さへの直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speed""]","[""GXQ121""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,,,,,CONTEMPORARY_2024_HISTORICAL_CONTEXT,CONTEMPORARY_2024_HISTORICAL_CONTEXT,NON_DIRECTIONAL,not_directional,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,X_AUTHOR_hoshunodaryoku,false,REJECTED,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,false,false,false,,,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
GXSR008,塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@swa39chacha,,@swa39chacha,1857932605469110395,https://x.com/swa39chacha/status/1857932605469110395,https://x.com/swa39chacha/status/1857932605469110395,2024-11-16,2024-11-16,DAY_RETURNED_BY_GROK_X,2026-08-10T12:39:01.900Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「塩見 泰隆」です。投稿本文に「塩見 泰隆」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「スピード」「直線速度」「加速」など、走る速さへの直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""speed""]","[""GXQ121""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,,,,,CONTEMPORARY_2024_HISTORICAL_CONTEXT,CONTEMPORARY_2024_HISTORICAL_CONTEXT,NON_DIRECTIONAL,not_directional,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,X_AUTHOR_swa39chacha,false,REJECTED,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,false,false,false,,,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
GXSR009,塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@TsubameZoku,,@TsubameZoku,1896682767947370912,https://x.com/TsubameZoku/status/1896682767947370912,https://x.com/TsubameZoku/status/1896682767947370912,2025-03-03,2025-03-03,DAY_RETURNED_BY_GROK_X,2026-08-10T12:38:52.476Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「塩見 泰隆」です。投稿本文に「塩見 泰隆」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「足が速い」「速い足」「快足」など、速さそのものへの直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""fast""]","[""GXQ118""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,そして、本日より塩見泰隆が1軍に復帰予定。あの快足好打が炸裂するか見ものです🐎,そして、本日より塩見泰隆が1軍に復帰予定。あの快足好打が炸裂するか見ものです🐎,,,CURRENT_2025,CURRENT_2025,FASTER,faster,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,X_AUTHOR_TsubameZoku,false,REJECTED,NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,false,false,false,,,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
GXSR010,塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,GROK_X_SUPPLEMENT,X_TWITTER,REJECTED_CANDIDATE,@epachinko,,@epachinko,1918305639656505507,https://x.com/epachinko/status/1918305639656505507,https://x.com/epachinko/status/1918305639656505507,2025-05-02,2025-05-02,DAY_RETURNED_BY_GROK_X,2026-08-10T12:38:52.476Z,"X（Twitter）の実在する投稿だけを検索してください。
対象選手は日本プロ野球の「塩見 泰隆」です。投稿本文に「塩見 泰隆」または明確に同選手を指す表記を実際に含むものだけにしてください。
検索観点: 「足が速い」「速い足」「快足」など、速さそのものへの直接評価。
優先期間は2026年、次に2025年、次に2024年です。
採用候補は、野球で一歩目から約90ftまで走る純粋な身体的running ability（足の速さ、直線速度、加速、全力疾走、以前より足が落ちた等）への直接言及だけです。
盗塁、盗塁数、走塁判断、スタート技術、内野安打、三塁打、守備範囲、バント後の一塁到達、ゲーム査定だけの投稿は返さないでください。
各結果は、実在するx.com/status URL、@handle、投稿本文の必要最小限の原文、投稿日時を必ず付けてください。条件を満たす投稿がなければ「Nothing found」とだけ答えてください。推測・要約・無関係な投稿は返さないでください。","[""fast""]","[""GXQ118""]",data/manual/speed_2026_grok_x_search_receipts_20260810.json,"足の速い外野手
 塩見泰隆・周東佑京","足の速い外野手
 塩見泰隆・周東佑京",,,CURRENT_2025,CURRENT_2025,FASTER,faster,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,X_AUTHOR_epachinko,false,REJECTED,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,false,false,false,,,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
