record_id,player,player_key,player_id,video_id,platform,url,source_account,source_tier,game_or_event_date,upload_date,season,opponent_or_event,play_description,video_normal_speed_confirmed,edited,replay,full_effort_confidence,start_context,straight_line_segment_available,transition_contamination,baserunning_technique_contamination,physical_speed_relevance,accepted,usable_for_ordinal_resolution,rejection_reason,observed_direction,unique_play_key,unique_game_event_key,unique_origin_key,source_artifact,discovery_or_body_review_status,notes
VTC-A-001,友杉 篤輝,友杉篤輝,71275157,pv3WV162mk0,YouTube,https://www.youtube.com/watch?v=pv3WV162mk0,Pacific League TV Official,A_OFFICIAL_LEAGUE,2023-04-08,2023-04-08,2023,official Pacific League game highlight; exact opponent not retained as current-window evidence,Official feature/highlight contains defensive-fielding footage and an out-of-window season; it does not present a 2025–2026 pure running observation.,true,true,mixed_or_not_relevant,NOT_ASSESSABLE_FOR_TARGET_RUN,defensive fielding and editorial feature,false,NOT_APPLICABLE,NOT_APPLICABLE,NONE_FIELDING_RANGE_EXCLUDED,false,false,OUTSIDE_2025_2026_WINDOW; EDITED_FEATURE; DEFENSIVE_RANGE_EXCLUDED,NO_DIRECTIONAL_ORDINAL_INFERENCE,play_unusable_outside_current_window,play_unusable_outside_current_window,Pacific League TV Official,data/manual/speed_2026_video_tiebreak_conflict_research_20260811.json,SOURCE_BODY_REVIEWED,"Discovered by a 2025-running query, but source metadata establishes a 2023 upload/game-era. It cannot answer the current-video question."
VTC-A-002,林 琢真,林琢真,91695157,VJTl1pEnMFE,YouTube,https://www.youtube.com/watch?v=VJTl1pEnMFE,横浜DeNAベイスターズ公式チャンネル,A_OFFICIAL_CLUB,2025-05-09,2025-05-09,2025,延長10回のサヨナラ打、2025-05-09,"Official postgame highlight of Hayashi's walk-off hit. Review shows the batting play, broadcast/replay presentation, and celebration rather than a separable full-effort pure running segment.",true,true,contains_broadcast_replay_or_multishot_presentation,EFFORT_UNCERTAIN,batter-to-first after walk-off contact,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,NOT_SEPARABLE,CONTEXT_ONLY_NOT_USABLE_FOR_PURE_ACCELERATION,false,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY; REPLAY_OR_MULTISHOT_PRESENTATION; NO_COMPARABLE_STRAIGHT_SEGMENT,NO_DIRECTIONAL_ORDINAL_INFERENCE,2025-05-09_hayashi_walkoff_official,2025-05-09_hayashi_walkoff_official,横浜DeNAベイスターズ公式チャンネル,data/manual/speed_2026_video_tiebreak_conflict_research_20260811.json,SOURCE_BODY_REVIEWED,"Current and official, but the video cannot establish whether the 2022 short-distance ordering remains current physical running ability."
VTC-A-003,土田 龍空,土田龍空,51455153,zMEMNgxhNQw,YouTube,https://www.youtube.com/watch?v=zMEMNgxhNQw,Tee Kay,C_GENERAL_ONSITE,2025-09-26,2025-09-26,2025,中日ドラゴンズ対福岡ソフトバンクホークス、ナゴヤ球場,Single-angle fan recording labelled as Tsuchida's two-run timely hit. Review shows the batting result/field action but does not isolate his full-effort straight running after the swing-to-run transition.,true,false,no_replay_observed,EFFORT_UNCERTAIN,batter-to-first / batted-ball result context,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,NOT_SEPARABLE,CONTEXT_ONLY_NOT_USABLE_FOR_PURE_ACCELERATION,false,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY; EFFORT_UNCERTAIN; NO_COMPARABLE_STRAIGHT_SEGMENT,NO_DIRECTIONAL_ORDINAL_INFERENCE,2025-09-26_tsuchida_timely_fan_video,2025-09-26_tsuchida_timely_fan_video,Tee Kay,data/manual/speed_2026_video_tiebreak_conflict_research_20260811.json,SOURCE_BODY_REVIEWED,This is not counted toward resolving the existing mixed SNS evidence; a timely hit is not physical-speed evidence by itself.
VTC-A-004,梅野 隆太郎,梅野隆太郎,21325139,dKQPr3S51GU,YouTube,https://www.youtube.com/watch?v=dKQPr3S51GU,stringraviton,C_GENERAL_ONSITE,2025-04-17,2025-04-17,2025,ヤクルト対阪神、神宮球場,"Single-angle recording of Umeno's double. Review begins at the batting play and follows the result, but camera distance/occlusion and the swing-to-run/turning sequence prevent isolation of a comparable pure straight-line run.",true,false,no_replay_observed,EFFORT_UNCERTAIN,batter-to-first then extra-base route,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,BASE_TURN_AND_ROUTE_NOT_SEPARABLE,CONTEXT_ONLY_NOT_USABLE_FOR_PURE_ACCELERATION,false,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY; BASE_TURN_AND_ROUTE_CONTAMINATION; EFFORT_UNCERTAIN; NO_COMPARABLE_STRAIGHT_SEGMENT,NO_DIRECTIONAL_ORDINAL_INFERENCE,2025-04-17_umeno_double_fan_video,2025-04-17_umeno_double_fan_video,stringraviton,data/manual/speed_2026_video_tiebreak_conflict_research_20260811.json,SOURCE_BODY_REVIEWED,No catcher/age prior was used. The visual review cannot resolve the pre-existing mixed evidence.
TVT-B-001,カリステ,カリステ,93795157,ZvyKfxhnFeQ,YouTube,https://www.youtube.com/watch?v=ZvyKfxhnFeQ,DAZN Japan,B_NORMAL_BROADCAST_HIGHLIGHT,2025-04-06,,2025,東京ヤクルトスワローズ vs 中日ドラゴンズ,Contemporaneous event page identifies Caliste advancing on an outfield-hit sequence and later scoring; the embedded highlight starts at 1:48 for the cited play.,,,,UNASSESSED_VISUAL_UNAVAILABLE,BASERUNNING_AFTER_BALL_IN_PLAY,,false,true,NOT_USABLE_BASERUNNING_DECISION_AND_TURNS,false,false,VISUAL_INSPECTION_UNAVAILABLE; BASERUNNING_TECHNIQUE_AND_TURN_CONTAMINATION,NON_DIRECTIONAL,2025-04-06-YS-CD-caliste-advance-score,2025-04-06-YS-CD,DAZNJapan-ZvyKfxhnFeQ,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,"Exact ID, event date, and source account were recovered from the embedded YouTube metadata. The video was not playable for inspection, so no assertion about normal speed, effort, or direction is made."
TVT-B-002,カリステ,カリステ,93795157,f8Ie2pFlvq0,YouTube,https://www.youtube.com/watch?v=f8Ie2pFlvq0,燃えドラch【CBCテレビ公式】,B_NORMAL_BROADCAST_HIGHLIGHT,2025-06-01,,2025,中日ドラゴンズ vs 読売ジャイアンツ,Game highlight from an event in which the discovery page reports Caliste's two-run hit.,,,,UNASSESSED_VISUAL_UNAVAILABLE,BATTER_TO_FIRST_POSSIBLE,,,,NOT_USABLE_WITHOUT_VISUAL_REVIEW,false,false,VISUAL_INSPECTION_UNAVAILABLE; EFFORT_AND_START_CONTEXT_UNCONFIRMED,NON_DIRECTIONAL,2025-06-01-CD-G-caliste-hit,2025-06-01-CD-G,CBC-f8Ie2pFlvq0,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Exact ID and official broadcaster account recovered through the page's embed and YouTube oEmbed metadata; no video content was visually assessed.
TVT-B-003,筒香 嘉智,筒香嘉智,41945131,KQ9NQHMGA0g,YouTube,https://www.youtube.com/watch?v=KQ9NQHMGA0g,DRAMATIC BASEBALL 2026,B_NORMAL_BROADCAST_CLIP,2025-04-17,2025-04-17,2025,読売ジャイアンツ vs 横浜DeNAベイスターズ,"Tsutsugo's first home run of the season, according to the source title and description.",,,,NOT_APPLICABLE_FOR_PURE_RUNNING,BATTER_TO_FIRST_AFTER_SWING,,true,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,false,false,BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2025-04-17-G-DB-tsutsugo-hr,2025-04-17-G-DB,NTV-KQ9NQHMGA0g,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,A home-run clip cannot establish pure first-step-to-90ft ability even if viewable; no current temporal conclusion is drawn.
TVT-B-004,筒香 嘉智,筒香嘉智,41945131,MNCSTzvEIP4,YouTube,https://www.youtube.com/watch?v=MNCSTzvEIP4,横浜DeNAベイスターズ公式チャンネル,A_OFFICIAL_CLUB_HIGHLIGHT,2025-08-30,2025-08-30,2025,横浜DeNAベイスターズ vs 中日ドラゴンズ,Official game highlight whose title specifies three Tsutsugo home runs.,,true,,NOT_APPLICABLE_FOR_PURE_RUNNING,BATTER_TO_FIRST_AFTER_SWING,,true,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,false,false,EDITED_HIGHLIGHT; BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2025-08-30-DB-CD-tsutsugo-hr-highlights,2025-08-30-DB-CD,Baystars-MNCSTzvEIP4,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,The source is official but the title-defined home-run coverage is not a qualifying pure-running play.
TVT-B-005,秋山 翔吾,秋山翔吾,31135133,AydHbcELt0E,YouTube,https://www.youtube.com/watch?v=AydHbcELt0E,【カープ公認】金鯉チャンネル 広テレ,B_LOCAL_TV_CLIP,2025-07-03,,2025,広島東洋カープ vs 東京ヤクルトスワローズ,"Video of Akiyama's 300th career double, as labelled by the source title.",,,,UNASSESSED_VISUAL_UNAVAILABLE,BATTER_TO_FIRST_THEN_EXTRA_BASE,,true,true,NOT_USABLE_WITHOUT_ISOLATED_STRAIGHT_SEGMENT,false,false,BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2025-07-03-C-YS-akiyama-double,2025-07-03-C-YS,Hirotere-AydHbcELt0E,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,No visual evidence is used to infer persistence or decline relative to the historical direct measurement.
TVT-B-006,秋山 翔吾,秋山翔吾,31135133,3m9Uxy0h8hg,YouTube,https://www.youtube.com/watch?v=3m9Uxy0h8hg,Playベースボールチャンネル,C_GENERAL_VIDEO,2026-06-17,,2026,広島東洋カープ2軍 練習試合（由宇練習場）,Practice-game video labelled as including Akiyama after his return to action.,,,,UNASSESSED_VISUAL_UNAVAILABLE,UNKNOWN,,,,NOT_USABLE_WITHOUT_VISUAL_REVIEW,false,false,TIER_C_REQUIRES_VISUAL_IDENTITY_DATE_SPEED_VERIFICATION; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2026-06-17-C-farm-akiyama-unknown,2026-06-17-C-farm,PlayBaseball-3m9Uxy0h8hg,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Retained specifically as a current-window recovery/return candidate; neither recovery nor speed change is inferred from its title.
