raw_id,player,player_display,team_or_affiliation,measurement_date,measurement_year,measurement_era,metric,value,unit,timing_method,start_protocol,surface_or_conditions,cohort_id,cohort_completeness,source_manifest_id,source_tier,source_name,source_url,evidence_class,original_usage_class,canonicality,high_confidence_candidate,bank_acceptance_status,rejection_reason,same_measurement_cluster_id,temporal_resolution_status,selected_as_anchor,selected_anchor_id,notes
R00001,草部真秀,草部真秀,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.93,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_草部真秀,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00002,吉田元登,吉田元登,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.93,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_吉田元登,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00003,上崎彰吾,上崎彰吾,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.82,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_上崎彰吾,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00004,有馬諒,有馬諒,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.76,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_有馬諒,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00005,山下滉介,山下滉介,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.75,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_山下滉介,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00006,野口泰司,野口泰司,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.7,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_野口泰司,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00007,伊藤雄紀,伊藤雄紀,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.68,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_伊藤雄紀,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00008,水島滉陽,水島滉陽,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.66,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_水島滉陽,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00009,山田健太,山田健太,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.62,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_山田健太,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00010,進藤勇也,進藤勇也,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.59,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_進藤勇也,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
