record_id,task_id,run_id,record_type,player,canonical_player_id,team,game,edition,source_player_name,source_team,source_position,source_rank,source_card_type,attribute_name,attribute_value,source_url,source_table_index,source_row_number,source_row_fingerprint,collected_at_utc,http_status,acquisition_status,acceptance_status,exclusion_or_decision_reason,error_type,error_message,attempted_routes,parser_version
SP-055-RUN2-2025S2-51255138-2bce830b21e2775f,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,中川 圭太,51255138,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,中川圭太,オリックス,一塁,S,レギュラー,走力,74,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,10,2bce830b21e2775f,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-51255138-c4a7f439899b06cb,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,中川 圭太,51255138,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,中川圭太,オリックス,一塁,S,スペシャルセレクション,走力,75,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,128,c4a7f439899b06cb,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-91395138-NOTFOUND,SP-055,speed-prospi-gamex-run2-20260813,PLAYER_OUTCOME,太田 椋,91395138,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,,,,2026-08-13T11:08:01.977764Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,"Edition page was reached and parsed, but no exact player-name (or documented source alias) plus mapped-team match was present in its hitter table; no value inferred.",,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-11815130-1eaae146fdc9ebde,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,宗 佑磨,11815130,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,宗佑磨,オリックス,三塁,S,レギュラー,走力,79,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,12,1eaae146fdc9ebde,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-51955153-NOTFOUND,SP-055,speed-prospi-gamex-run2-20260813,PLAYER_OUTCOME,来田 涼斗,51955153,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,,,,2026-08-13T11:08:01.977764Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,"Edition page was reached and parsed, but no exact player-name (or documented source alias) plus mapped-team match was present in its hitter table; no value inferred.",,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-91495139-e8e6579f066ce6c7,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,森 友哉,91495139,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,森友哉,オリックス,捕手,S,レギュラー,走力,76,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,14,e8e6579f066ce6c7,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-91495139-eb06a1df4620961f,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,森 友哉,91495139,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,森友哉,オリックス,捕手,S,アニバーサリーセレクション,走力,77,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,106,eb06a1df4620961f,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-91995151-4c5d854bef1a0092,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,紅林 弘太郎,91995151,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,紅林弘太郎,オリックス,三塁,S,レギュラー,走力,69,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,16,4c5d854bef1a0092,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-91995151-0be830d0bf239c15,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,紅林 弘太郎,91995151,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,紅林弘太郎,オリックス,三塁,S,スペシャルセレクション,走力,70,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,129,0be830d0bf239c15,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-41645139-99c9fbaf9ac9f623,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,若月 健矢,41645139,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,若月健矢,オリックス,捕手,S,スペシャルセレクション,走力,62,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,130,99c9fbaf9ac9f623,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-41645139-ef5f22b3e49496b2,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,若月 健矢,41645139,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,若月健矢,オリックス,野手,S,侍ジャパンセレクション,走力,71,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,212,ef5f22b3e49496b2,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-71475132-01932d7a28efdcff,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,西川 龍馬,71475132,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,西川龍馬,オリックス,外野,S,レギュラー,走力,76,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,17,01932d7a28efdcff,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-91495130-0e67f6ee9fb50ea5,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,西野 真弘,91495130,オリックス・バファローズ,Pro Yakyuu Spirits A,2025 Series 2,西野真弘,オリックス,二塁,S,レギュラー,走力,76,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,18,0e67f6ee9fb50ea5,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-93795157-NOTFOUND,SP-055,speed-prospi-gamex-run2-20260813,PLAYER_OUTCOME,カリステ,93795157,中日ドラゴンズ,Pro Yakyuu Spirits A,2025 Series 2,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,,,,2026-08-13T11:08:01.977764Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,"Edition page was reached and parsed, but no exact player-name (or documented source alias) plus mapped-team match was present in its hitter table; no value inferred.",,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-51455153-NOTFOUND,SP-055,speed-prospi-gamex-run2-20260813,PLAYER_OUTCOME,土田 龍空,51455153,中日ドラゴンズ,Pro Yakyuu Spirits A,2025 Series 2,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,,,,2026-08-13T11:08:01.977764Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,"Edition page was reached and parsed, but no exact player-name (or documented source alias) plus mapped-team match was present in its hitter table; no value inferred.",,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-01305131-NOTFOUND,SP-055,speed-prospi-gamex-run2-20260813,PLAYER_OUTCOME,大島 洋平,01305131,中日ドラゴンズ,Pro Yakyuu Spirits A,2025 Series 2,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,,,,2026-08-13T11:08:01.977764Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,"Edition page was reached and parsed, but no exact player-name (or documented source alias) plus mapped-team match was present in its hitter table; no value inferred.",,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
SP-055-RUN2-2025S2-81585151-a902d3d82d52dab7,SP-055,speed-prospi-gamex-run2-20260813,MATCHED_CARD,岡林 勇希,81585151,中日ドラゴンズ,Pro Yakyuu Spirits A,2025 Series 2,岡林勇希,中日,外野,S,レギュラー,走力,80,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,0,49,a902d3d82d52dab7,2026-08-13T11:08:01.977764Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,Exact player-name (or documented source alias) and mapped-team match in gamex hitter table; published 走力 captured without conversion.,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2025-s2,1.0.0
