record_id,player,canonical_player_id,game,edition,update_date,platform,source_type,source_url,video_id,video_id_or_post_id,parent_event_id,author_id_or_name,timestamp,text,likes,reply_count,classification,strength,independence_group,physical_or_rating_lane,target_rating_if_explicit,comparison_player_if_any,source_quality,notes,acceptance_status,acceptance_reason,collected_at,attempted_routes,error,title,published_at,target_player_mapping,update_mapping,missingness,required_user_input,official_verification,comments_retrieved,comment_count_reported,api_state
SP034-RUN2-VIDEO-sX8nl6eCua0,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-07-16,YouTube,official_youtube_video_inventory,https://www.youtube.com/watch?v=sX8nl6eCua0,sX8nl6eCua0,sX8nl6eCua0,youtube:sX8nl6eCua0,,2026-07-16T10:00:01Z,,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:sX8nl6eCua0,rating,,,OFFICIAL_YOUTUBE_CHANNEL,Prospi title match in latest-300 official channel inventory; comment_candidate=True.,INSUFFICIENT,Comments were retrieved and screened below; video-level inventory is not an independent speed-rating observation.,2026-08-13T11:05:43Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,福留孝介・糸井嘉男の新能力公開！ 福留×糸井 ホンネ！俺の実力話しますSP 後編【プロスピA】,2026-07-16T10:00:01Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,COMMENTS_BOUNDED_TO_YTDLP_MAX_300; full API pagination unavailable,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-sX8nl6eCua0-UgwhXI8h9X6kfZEGenx4AaABAg.AZJto5kLmjVAZK4GZ6JrU6,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-07-16,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=sX8nl6eCua0&lc=UgwhXI8h9X6kfZEGenx4AaABAg.AZJto5kLmjVAZK4GZ6JrU6,sX8nl6eCua0,UgwhXI8h9X6kfZEGenx4AaABAg.AZJto5kLmjVAZK4GZ6JrU6,youtube:sX8nl6eCua0:UgwhXI8h9X6kfZEGenx4AaABAg,@sppsmath|UCNyX-KScPIBFs8WK26yrcAQ,2026-07-23T00:00:00Z,弾道と特能の強さはプロスピやってないと分からんし、ミートや走力、守備適性や裏ステの数値はめっちゃ高いから妥当と感じる気がする,12,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:sX8nl6eCua0,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:00Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,福留孝介・糸井嘉男の新能力公開！ 福留×糸井 ホンネ！俺の実力話しますSP 後編【プロスピA】,2026-07-16T10:00:01Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-sX8nl6eCua0-UgyZEz1u2PbhX-vH7ah4AaABAg.AZJu3EQBLNxAZJx1As7Zdm,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-07-16,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=sX8nl6eCua0&lc=UgyZEz1u2PbhX-vH7ah4AaABAg.AZJu3EQBLNxAZJx1As7Zdm,sX8nl6eCua0,UgyZEz1u2PbhX-vH7ah4AaABAg.AZJu3EQBLNxAZJx1As7Zdm,youtube:sX8nl6eCua0:UgyZEz1u2PbhX-vH7ah4AaABAg,@コナンロシュフォールIII世の隣人|UCcE3U-7VN8DYLaoMvWkSyuQ,2026-07-16T00:00:00Z,ミート足肩スローイング捕球ライト守備適正Sで弾道イチローとかにしよう,55,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:sX8nl6eCua0,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:00Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,福留孝介・糸井嘉男の新能力公開！ 福留×糸井 ホンネ！俺の実力話しますSP 後編【プロスピA】,2026-07-16T10:00:01Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-sX8nl6eCua0-UgyZEz1u2PbhX-vH7ah4AaABAg.AZJu3EQBLNxAZJxVz6oIg5,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-07-16,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=sX8nl6eCua0&lc=UgyZEz1u2PbhX-vH7ah4AaABAg.AZJu3EQBLNxAZJxVz6oIg5,sX8nl6eCua0,UgyZEz1u2PbhX-vH7ah4AaABAg.AZJu3EQBLNxAZJxVz6oIg5,youtube:sX8nl6eCua0:UgyZEz1u2PbhX-vH7ah4AaABAg,@kagome4028|UCSR8i75AFNMfYt8L5TLTmZg,2026-07-16T00:00:00Z,"ライドラにできないにしても、
「打球速度が上がる」「打球にスピンがかかりやすくなる」
この一文を特殊能力に加えるだけでいいのに",10,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:sX8nl6eCua0,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:00Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,福留孝介・糸井嘉男の新能力公開！ 福留×糸井 ホンネ！俺の実力話しますSP 後編【プロスピA】,2026-07-16T10:00:01Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-sX8nl6eCua0-UgzrfVVStXs2-_cSm4Z4AaABAg,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-07-16,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=sX8nl6eCua0&lc=UgzrfVVStXs2-_cSm4Z4AaABAg,sX8nl6eCua0,UgzrfVVStXs2-_cSm4Z4AaABAg,youtube:sX8nl6eCua0:root,@letstry6218|UCmsBh4fT_NW2Ktr4uEn_wAw,2026-07-23T00:00:00Z,イチローを使えるようにするには弾道もそうだけど、新しい特殊能力で発動時、半個分くらいボール玉打っても打球が失速しないとかミートが下がらないとかつけるくらいしないと使用率上がんないよね,1,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:sX8nl6eCua0,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:00Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,福留孝介・糸井嘉男の新能力公開！ 福留×糸井 ホンネ！俺の実力話しますSP 後編【プロスピA】,2026-07-16T10:00:01Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-VIDEO-Cigl41WJeaU,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-05-25,YouTube,official_youtube_video_inventory,https://www.youtube.com/watch?v=Cigl41WJeaU,Cigl41WJeaU,Cigl41WJeaU,youtube:Cigl41WJeaU,,2026-05-25T03:00:07Z,,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:Cigl41WJeaU,rating,,,OFFICIAL_YOUTUBE_CHANNEL,Prospi title match in latest-300 official channel inventory; comment_candidate=True.,INSUFFICIENT,Comments were retrieved and screened below; video-level inventory is not an independent speed-rating observation.,2026-08-13T11:06:04Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,千葉ロッテ 種市篤暉 投手 VS 西川史礁 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-25T03:00:07Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,COMMENTS_BOUNDED_TO_YTDLP_MAX_300; full API pagination unavailable,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-Cigl41WJeaU-Ugy5aZf_rp5WEJMVpIx4AaABAg.AXDWMwHV0EyAXGNSP9LFKW,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-05-25,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=Cigl41WJeaU&lc=Ugy5aZf_rp5WEJMVpIx4AaABAg.AXDWMwHV0EyAXGNSP9LFKW,Cigl41WJeaU,Ugy5aZf_rp5WEJMVpIx4AaABAg.AXDWMwHV0EyAXGNSP9LFKW,youtube:Cigl41WJeaU:Ugy5aZf_rp5WEJMVpIx4AaABAg,@misa1352|UCZQTGsukFoRIWgRYpzvozQw,2026-06-13T00:00:00Z,言葉足らずやったなプロスピのルールを野球のルール知ってますかって言ってるんだろな,2,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:Cigl41WJeaU,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:21Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,千葉ロッテ 種市篤暉 投手 VS 西川史礁 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-25T03:00:07Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-Cigl41WJeaU-Ugxy_vw6Wu4Yzfx8dVN4AaABAg,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-05-25,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=Cigl41WJeaU&lc=Ugxy_vw6Wu4Yzfx8dVN4AaABAg,Cigl41WJeaU,Ugxy_vw6Wu4Yzfx8dVN4AaABAg,youtube:Cigl41WJeaU:root,@なそ-nandetab2|UCH6LD2SnrajBqT4fP3fDcKw,2026-06-13T00:00:00Z,15:16 爆速でスタンプ打ってて草,15,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:Cigl41WJeaU,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:21Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,千葉ロッテ 種市篤暉 投手 VS 西川史礁 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-25T03:00:07Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-Cigl41WJeaU-UgxBMmZgukjST-LJxit4AaABAg.AXDFdYkQ6aQAXDGZeIBGI0,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-05-25,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=Cigl41WJeaU&lc=UgxBMmZgukjST-LJxit4AaABAg.AXDFdYkQ6aQAXDGZeIBGI0,Cigl41WJeaU,UgxBMmZgukjST-LJxit4AaABAg.AXDFdYkQ6aQAXDGZeIBGI0,youtube:Cigl41WJeaU:UgxBMmZgukjST-LJxit4AaABAg,@halo_san-h|UCzKJY2c5yj6xBcaoVdrikTA,2026-06-13T00:00:00Z,倍速で観てるの確定してておもろい,7,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:Cigl41WJeaU,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:21Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,千葉ロッテ 種市篤暉 投手 VS 西川史礁 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-25T03:00:07Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
SP034-RUN2-COMMENT-Cigl41WJeaU-UgxfFD9QOxFOxgVlsr14AaABAg,,,Pro Yakyuu Spirits A,2026/most-recent official channel inventory,2026-05-25,YouTube,official_youtube_comment,https://www.youtube.com/watch?v=Cigl41WJeaU&lc=UgxfFD9QOxFOxgVlsr14AaABAg,Cigl41WJeaU,UgxfFD9QOxFOxgVlsr14AaABAg,youtube:Cigl41WJeaU:root,@東北楽天ゴールデンイーグルス-d5r|UCkCuRhVjxa2UemV8O6KIQtQ,2026-06-13T00:00:00Z,覚醒育成して経験値不足やったから普通に感謝🙏ゴールド契約書より断然嬉しい笑,1,NOT_PUBLICLY_RETURNED_BY_YTDLP,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,youtube:Cigl41WJeaU,rating,,,OFFICIAL_YOUTUBE_PUBLIC_COMMENT,Retained because it contains a broad speed-related term; classification does not make it a physical-speed teacher.,INSUFFICIENT,Retained without inference: missing a safe current-100-player identity and/or explicit speed-rating direction.,2026-08-13T11:06:21Z,yt-dlp direct official-channel collection; --ignore-config; --no-update; no --proxy argument,,千葉ロッテ 種市篤暉 投手 VS 西川史礁 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-25T03:00:07Z,NO_CURRENT_100_PLAYER_FULL_NAME_MATCH,ability_or_update_title_marker,YTDLP_BOUNDED_PUBLIC_COMMENT_SAMPLE; replies/total comment count may be incomplete,"For exhaustive/reproducible comment coverage, provide YouTube Data API commentThreads/replies JSON or CSV with videoId, comment ID, parent ID, authorChannelId/displayName, publishedAt, text, likeCount, replyCount.",channel_id=UCWzEh28vj3mQKpe0fzVTOUw; channel_name=パワプロ・プロスピ公式チャンネル,300,NOT_PUBLICLY_RETURNED_BY_YTDLP,NOT_CONFIGURED_ENV; no YouTube Data API key was supplied
