player_id,player,team,npb_plus_sprint_speed_kmh,npb_plus_sample_count,npb_plus_qualified_run_count,npb_plus_measurement_period,npb_plus_source_season_label,npb_plus_last_updated,games,starts,PA,AB,pinch_run_appearances,pinch_hit_appearances,full_effort_run_proxy_count,pa_bucket,previous_season_games,previous_season_PA,previous_season_AB,previous_season_npb_plus_sprint_speed_status,pawapuro_2026_speed,proxy_infield_grounder_count,proxy_advance_count,proxy_1st_to_3rd_count,proxy_2nd_to_home_count,proxy_1st_to_home_on_2b_count,proxy_steal_attempt_count,data_completeness,source,source_url
51255138,中川 圭太,オリックス・バファローズ,32.6,,,,2026途中,,93,,366,330,,,41,PA_200_399,119,463,433,NOT_PUBLICLY_DOCUMENTED,,18,23,15,5,3,0,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
91395138,太田 椋,オリックス・バファローズ,31.7,,,,2026途中,,85,,347,308,,,30,PA_200_399,113,496,448,NOT_PUBLICLY_DOCUMENTED,,15,14,10,4,0,1,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
11815130,宗 佑磨,オリックス・バファローズ,31.9,,,,2026途中,,96,,388,336,,,41,PA_200_399,98,388,349,NOT_PUBLICLY_DOCUMENTED,,17,20,10,9,1,4,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
51955153,来田 涼斗,オリックス・バファローズ,32.4,,,,2026途中,,62,,183,167,,,24,PA_100_199,50,135,124,NOT_PUBLICLY_DOCUMENTED,,11,13,7,5,1,0,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
91495139,森 友哉,オリックス・バファローズ,31.2,,,,2026途中,,65,,250,224,,,25,PA_200_399,50,191,161,NOT_PUBLICLY_DOCUMENTED,,14,10,7,1,2,1,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
91995151,紅林 弘太郎,オリックス・バファローズ,30.7,,,,2026途中,,95,,365,321,,,28,PA_200_399,116,447,400,NOT_PUBLICLY_DOCUMENTED,,17,10,4,6,0,1,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
41645139,若月 健矢,オリックス・バファローズ,30.7,,,,2026途中,,80,,244,211,,,20,PA_200_399,121,400,368,NOT_PUBLICLY_DOCUMENTED,,10,10,5,5,0,0,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
71475132,西川 龍馬,オリックス・バファローズ,31.1,,,,2026途中,,102,,436,408,,,57,PA_400_PLUS,96,412,387,NOT_PUBLICLY_DOCUMENTED,,36,19,10,6,3,2,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
91495130,西野 真弘,オリックス・バファローズ,31.6,,,,2026途中,,29,,85,77,,,15,PA_50_99,75,252,230,NOT_PUBLICLY_DOCUMENTED,,12,3,2,0,1,0,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_b.html;https://npb.jp/bis/2025/stats/idb1_b.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
93795157,カリステ,中日ドラゴンズ,31.3,,,,2026途中,,26,,67,61,,,7,PA_50_99,61,192,176,NOT_PUBLICLY_DOCUMENTED,,2,5,3,2,0,0,partial_tier_A_C_unavailable,NPB+ local measurement table; NPB official individual batting pages; existing PBP-derived proxy tables from Nippon Baseball Data Repository data,https://www.japan-baseball.jp/npb-plus/;https://npb.jp/bis/2026/stats/idb1_d.html;https://npb.jp/bis/2025/stats/idb1_d.html;https://github.com/armstjc/Nippon-Baseball-Data-Repository
