team,player,npb_plus_sprint_speed,direct_t90_count,10m_count,20m_count,30m_count,50m_count,60yd_count,t10ft_count,t30ft_count,t90ft_count,hp_to_1b_count,standardized_numeric_usable_count,standardized_prior_count,historical_profile_count,qualitative_profile_count,context_only_count,physical_measurement_count,pure_physical_no_data,best_evidence_tier,best_measurement_year,search_completed,search_query_count,independent_measurement_count,raw_record_count,no_data_found
オリックス・バファローズ,紅林 弘太郎,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
オリックス・バファローズ,若月 健矢,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
オリックス・バファローズ,宗 佑磨,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
オリックス・バファローズ,森 友哉,31.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
オリックス・バファローズ,西川 龍馬,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
オリックス・バファローズ,西野 真弘,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
オリックス・バファローズ,太田 椋,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
オリックス・バファローズ,中川 圭太,32.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,true,B,2021,true,3,1,1,false
オリックス・バファローズ,来田 涼斗,32.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
横浜DeNAベイスターズ,蝦名 達夫,31.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
横浜DeNAベイスターズ,梶原 昂希,33.4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,false,B,,true,3,2,2,false
横浜DeNAベイスターズ,宮﨑 敏郎,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
横浜DeNAベイスターズ,京田 陽太,31.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
横浜DeNAベイスターズ,佐野 恵太,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
横浜DeNAベイスターズ,山本 祐大,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
横浜DeNAベイスターズ,度会 隆輝,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
横浜DeNAベイスターズ,筒香 嘉智,30.2,1,0,0,0,0,0,1,1,1,0,1,3,0,0,0,4,false,A,2022,true,5,1,4,false
横浜DeNAベイスターズ,牧 秀悟,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
横浜DeNAベイスターズ,林 琢真,32,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,false,B,2022,true,3,2,2,false
広島東洋カープ,ファビアン,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
広島東洋カープ,モンテロ,31.9,1,0,0,0,0,0,1,1,1,0,1,3,0,0,0,4,false,A,2024,true,5,1,4,false
広島東洋カープ,菊池 涼介,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
広島東洋カープ,坂倉 将吾,30.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
広島東洋カープ,秋山 翔吾,31.6,1,0,0,0,0,0,1,1,1,0,0,2,2,0,0,4,false,A,2021,true,5,1,4,false
広島東洋カープ,小園 海斗,31.5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,false,B,2016,true,3,2,2,false
広島東洋カープ,名原 典彦,33.7,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,false,B,,true,3,2,2,false
広島東洋カープ,野間 峻祥,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
広島東洋カープ,矢野 雅哉,30.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
阪神タイガース,佐藤 輝明,32.1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,false,B,2020,true,3,2,2,false
阪神タイガース,坂本 誠志郎,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
阪神タイガース,小幡 竜平,32.8,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,false,B,2018,true,3,2,2,false
阪神タイガース,森下 翔太,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
阪神タイガース,大山 悠輔,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
阪神タイガース,中野 拓夢,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
阪神タイガース,梅野 隆太郎,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
阪神タイガース,伏見 寅威,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
阪神タイガース,木浪 聖也,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
埼玉西武ライオンズ,外崎 修汰,32.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,true,B,2024,true,3,1,1,false
埼玉西武ライオンズ,源田 壮亮,32.9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,true,B,2024,true,3,5,5,false
埼玉西武ライオンズ,古賀 悠斗,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
埼玉西武ライオンズ,石井 一成,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
埼玉西武ライオンズ,滝澤 夏央,33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
千葉ロッテマリーンズ,ソト,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
