player,team,measurement_cluster_id,metric,value,original_measurement_year,resolved_measurement_year,measurement_date,measurement_year_inferred,inference_basis,inference_confidence,original_source_url,additional_source_urls,resolution_status
蝦名 達夫,横浜DeNAベイスターズ,ebina_aomori_u_50m_profile,50m,6,unknown,2019,,true,本文で青森大学4年の選手紹介と50m6.0秒が同一箇所に記載され、大学4年の時期を2019年に接続できる。測定会・測定日・計時条件は記載されないため、年のみを中信頼で推定した。,medium,https://www.nikkansports.com/baseball/news/201910280000575.html,"[""https://www.nikkansports.com/baseball/column/baseballcountry/news/201910100000297.html"",""https://sp.baystars.co.jp/news/2019/10/1017_01.php""]",YEAR_INFERRED_MEDIUM
細川 成也,中日ドラゴンズ,existing_outlier_細川成也_50m_6.2,50m,6.2,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: 高卒新人期の紹介で50m6.2秒。測定年・計時方式は特定できない。,low,https://baseballking.jp/ns/134127/,"[""https://dragons.jp/news/2022/22120901.php"",""https://dragons.jp/teamdata/players/player.php?num=55""]",STILL_UNKNOWN
小園 海斗,広島東洋カープ,existing_outlier_小園海斗_50m_5.8_6,50m,"[5.8,6]",unknown,2016,,true,2016年本文で報徳学園高校1年生の小園について、本人の「50mの最速は5秒9か6秒0」が記載され、後年の5.9秒・5.8秒は同じ高校時代の紹介clusterとして維持した。高校1年の時期を2016年に接続するが、測定会・測定日は不明である。,medium,https://sports.yahoo.co.jp/column/detail/201607040003-spnavi?p=2,"[""https://sports.yahoo.co.jp/column/detail/201810290003-spnavi"",""https://sports.yahoo.co.jp/column/detail/201907050007-spnavi"",""https://www.japan-baseball.jp/jp/profile/201506040.html"",""https://www.japan-baseball.jp/jp/news/press/20180627_1.html""]",YEAR_INFERRED_MEDIUM
矢野 雅哉,広島東洋カープ,existing_outlier_矢野雅哉_50m_5.9,50m,5.9,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: 選手紹介で50m5.9秒。測定年・計時方式は記事から特定できない。,low,https://www.nikkansports.com/baseball/news/202208160001089.html,"[""https://npb.jp/bis/players/93395153.html""]",STILL_UNKNOWN
藤原 恭大,千葉ロッテマリーンズ,fujiwara_50m_5_7_highschool_profile,50m,5.7,unknown,2017,,true,本文が大阪桐蔭高校2年の藤原恭大について、練習の50m走20本目や逆風でも5秒7が出たという具体的な走行状況を記載する。練習時期を2017年に高信頼で接続するが、個別の測定日は不明である。,high,https://www.daily.co.jp/baseball/2017/08/04/0010433505.shtml,"[""https://npb.jp/m/players/31635138.html""]",YEAR_INFERRED_HIGH
林 琢真,横浜DeNAベイスターズ,hayashi_komazawa_postcamp_selfbest_50m,50m,5.7,unknown,2022,,true,本文が「今年の大学日本代表合宿」の50m5.99秒の後に「合宿後に自己新の5秒7を計測した」と明記する。記事公開年と合宿の年が2022年で一致するため、5.7秒の年を2022年と高信頼で推定した。正確な測定日は不明で、同年の別clusterの電子計時5.99秒とは統合しない。,high,https://www.nikkansports.com/baseball/news/202210270001023.html,"[""https://sp.baystars.co.jp/news/2022/10/1020_03.php"",""https://www.baystars.co.jp/players/detail/1850208/""]",YEAR_INFERRED_HIGH
梶原 昂希,横浜DeNAベイスターズ,kajihara_50m_profile,50m,5.8,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Profile value; measurement date and conditions are not published.,low,https://news.tv-asahi.co.jp/news_sports/articles/900020068.html,"[""https://baseballking.jp/ns/302346/"",""https://www.baystars.co.jp/players/detail/2103703""]",STILL_UNKNOWN
来田 涼斗,オリックス・バファローズ,kita_50m_profile,50m,5.9,unknown,,,false,"確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school profile value; article date is not the measurement date, which remains unknown.",low,https://www.nikkansports.com/baseball/column/baseballcountry/news/202003140000249.html,"[""https://npb.jp/bis/players/51955153.html""]",STILL_UNKNOWN
清宮 幸太郎,北海道日本ハムファイターズ,kiyomiya_50m_profile,50m,6.5,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school profile value; timing conditions are unknown.,low,https://sportiva.shueisha.co.jp/clm/baseball/hs_other/2016/04/05/post_726/?page=3,"[""https://www.japan-baseball.jp/jp/news/press/20150824_5.html"",""https://www.japan-baseball.jp/jp/team/18u/2015/worldcup/kiyomiya_kotaro.html"",""https://www.fighters.co.jp/news/detail/00000603.html"",""https://media.fighters.co.jp/player/21/""]",STILL_UNKNOWN
栗原 陵矢,福岡ソフトバンクホークス,kurihara_50m_profile,50m,6,unknown,,,false,"確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Low-tier reprint, kept as historical hint only.",low,https://draft-repo.com/blog-entry-2032.html,"[""https://www.nikkansports.com/baseball/professional/draft/2014/news/p-bb-tp0-20141126-1401096.html"",""https://npb.jp/bis/players/01705130.html""]",STILL_UNKNOWN
