player,team,measurement_cluster_id,measurement_metric,measurement_value,measurement_year,measurement_date,measurement_year_inferred,inference_basis,measurement_timing_method,measurement_usage_class,nearest_pawapuro_title,nearest_pawapuro_version,nearest_pawapuro_date,nearest_pawapuro_speed,measurement_to_pawapuro_gap_days,measurement_to_pawapuro_gap_years,pawapuro_2016_terminal_speed,pawapuro_2018_terminal_speed,pawapuro_2020_terminal_speed,pawapuro_2022_terminal_speed,pawapuro_2024_end_speed,pawapuro_2025_opening_speed,pawapuro_2025_end_speed,pawapuro_2026_opening_speed,speed_change_nearest_to_2025_end,speed_change_nearest_to_2026,source_urls,confidence
筒香 嘉智,横浜DeNAベイスターズ,mlb_statcast_running_splits_筒香嘉智_2022,T90ft,4.2,2022,,false,,Statcast_running_split,NUMERIC_T90_CANDIDATE,パワフルプロ野球2024-2025,1.01,2024-07-18,52,,2,,,,,52,52,45,45,-7,-7,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2022;https://www.baseless.org/data/source/2024/dat_BA_1_01.html;https://www.konami.com/pawa/2024-2025/update/240718;https://www.baseless.org/data/source/2024/dat_BA_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_BA_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_BA.html;https://www.konami.com/pawa/2026-2027/,medium
林 琢真,横浜DeNAベイスターズ,standardized_50m_2022-06-19_林琢真,50m,5.99,2022,2022-06-19,false,,electronic_photoelectric,STANDARDIZED_PRIOR,eBASEBALLパワフルプロ野球2022,1.09,2023-03-30,87,284,,,,,87,87,87,82,82,-5,-5,https://www.youtube.com/watch?v=fC8_8iA7Cao;https://www.baseless.org/data/source/2022/dat_BA_1_09.html;https://www.konami.com/pawa/2022/update/230330;https://www.baseless.org/data/source/2024/dat_BA_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_BA_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_BA.html;https://www.konami.com/pawa/2026-2027/,medium
モンテロ,広島東洋カープ,mlb_statcast_running_splits_モンテロ_2024,T90ft,4.2,2024,,false,,Statcast_running_split,NUMERIC_T90_CANDIDATE,パワフルプロ野球2024-2025,1.08,2025-03-27,49,,1,,,,,,49,49,49,0,0,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2024;https://www.baseless.org/data/source/2024/dat_C_1_08.html;https://www.konami.com/pawa/2024-2025/update/250327;https://www.baseless.org/data/source/2024/dat_C_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_C_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_C.html;https://www.konami.com/pawa/2026-2027/,medium
秋山 翔吾,広島東洋カープ,mlb_statcast_running_splits_秋山翔吾_2021,T90ft,3.97,2021,,false,,Statcast_running_split,HISTORICAL_PROFILE_HINT,eBASEBALLパワフルプロ野球2022,1.07,2022-09-29,72,,1,,,,72,77,77,77,77,5,5,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2021;https://www.baseless.org/data/source/2022/dat_C_1_07.html;https://www.konami.com/pawa/2022/update/220929;https://www.baseless.org/data/source/2024/dat_C_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_C_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_C.html;https://www.konami.com/pawa/2026-2027/,medium
佐藤 輝明,阪神タイガース,existing_30m_佐藤輝明_2020,30m,4,2020,,false,,team_physical_test_protocol_unspecified,HISTORICAL_PROFILE_HINT,eBASEBALLパワフルプロ野球2020,1.09,2021-04-08,68,,1,,,68,68,68,68,68,68,0,0,https://origin.daily.co.jp/tigers/2020/12/07/0013919463.shtml;https://www.baseless.org/data/source/2020/dat_T_1_09.html;https://www.konami.com/pawa/2020/update/210408;https://www.baseless.org/data/source/2024/dat_T_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_T_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_T.html;https://www.konami.com/pawa/2026-2027/,medium
小幡 竜平,阪神タイガース,existing_30m_小幡竜平_2018,30m,3.98,2018,,false,,team_physical_test_protocol_unspecified,HISTORICAL_PROFILE_HINT,実況パワフルプロ野球2018,1.10,2019-04-23,77,,1,,77,77,77,77,77,77,77,0,0,https://hochi.news/articles/20181202-OHT1T50237.html;https://www.baseless.org/data/source/2018/dat_T_1_10.html;https://www.konami.com/pawa/2018/update/190418;https://www.baseless.org/data/source/2024/dat_T_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_T_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_T.html;https://www.konami.com/pawa/2026-2027/,medium
ポランコ,千葉ロッテマリーンズ,mlb_statcast_running_splits_ポランコ_2021,T90ft,3.99,2021,,false,,Statcast_running_split,HISTORICAL_PROFILE_HINT,eBASEBALLパワフルプロ野球2022,default initial player data,2022-04-21,67,,1,,,,63,63,63,63,63,-4,-4,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2021;https://www.baseless.org/data/source/2022/dat_M.html;https://www.konami.com/pawa/2022/;https://www.baseless.org/data/source/2024/dat_M_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_M_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_M.html;https://www.konami.com/pawa/2026-2027/,medium
友杉 篤輝,千葉ロッテマリーンズ,standardized_50m_2022-06-19_友杉篤輝,50m,6.1,2022,2022-06-19,false,,electronic_photoelectric,STANDARDIZED_PRIOR,eBASEBALLパワフルプロ野球2022,1.09,2023-03-30,81,284,,,,,87,87,87,87,87,6,6,https://www.youtube.com/watch?v=fC8_8iA7Cao;https://www.baseless.org/data/source/2022/dat_M_1_09.html;https://www.konami.com/pawa/2022/update/230330;https://www.baseless.org/data/source/2024/dat_M_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_M_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_M.html;https://www.konami.com/pawa/2026-2027/,medium
カリステ,中日ドラゴンズ,mlb_statcast_running_splits_カリステ_2017,T90ft,3.94,2017,,false,,Statcast_running_split,HISTORICAL_PROFILE_HINT,eBASEBALLパワフルプロ野球2022,1.09,2023-03-30,87,,6,,,,82,82,82,82,82,-5,-5,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2017;https://www.baseless.org/data/source/2022/dat_D_1_09.html;https://www.konami.com/pawa/2022/update/230330;https://www.baseless.org/data/source/2024/dat_D_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_D_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_D.html;https://www.konami.com/pawa/2026-2027/,medium
岡林 勇希,中日ドラゴンズ,okabayashi_komono_50m_profile,50m,5.8,2019,,false,,profile_50m_protocol_unspecified,HISTORICAL_PROFILE_HINT,eBASEBALLパワフルプロ野球2020,default initial player data,2020-07-09,78,,1,,,78,81,81,81,81,81,3,3,https://www.nikkansports.com/baseball/news/201910290000658.html;https://www.baseless.org/data/source/2020/dat_D.html;https://www.konami.com/pawa/2020/;https://www.baseless.org/data/source/2024/dat_D_1_07.html;https://www.konami.com/pawa/2024-2025/update/241126;https://www.baseless.org/data/source/2024/dat_D_1_14.html;https://www.konami.com/pawa/2024-2025/update/251120;https://www.baseless.org/data/source/2026/dat_D.html;https://www.konami.com/pawa/2026-2027/,medium
