measurement_cluster_id,player,team,measurement_metric,measurement_value,measurement_unit,measurement_date,measurement_year,measurement_timing_method,measurement_usage_class,physical_source,physical_source_url,canonical_player_id,matched_player_name,nearest_pawapuro_observation_id,nearest_pawapuro_date,nearest_pawapuro_rating_date,nearest_pawapuro_title,nearest_pawapuro_version,nearest_pawapuro_speed,nearest_pawapuro_source_url,measurement_to_pawapuro_gap_days,measurement_to_pawapuro_gap_years,gap_days,gap_years,match_status,identity_match_method
mori_50m_profile,森 友哉,オリックス・バファローズ,50m,6.2,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/professional/draft/2013/news/p-bb-tp0-20131209-1228895.html,proeye:91495139,森友哉,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
kita_50m_profile,来田 涼斗,オリックス・バファローズ,50m,5.9,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/column/baseballcountry/news/202003140000249.html,proeye:51955153,来田涼斗,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
ebina_aomori_u_50m_profile,蝦名 達夫,横浜DeNAベイスターズ,50m,6,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/201910280000575.html,proeye:51555151,蝦名達夫,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
kajihara_50m_profile,梶原 昂希,横浜DeNAベイスターズ,50m,5.8,seconds,,,unknown,HISTORICAL_PROFILE_HINT,テレビ朝日ニュース,https://news.tv-asahi.co.jp/news_sports/articles/900020068.html,proeye:51555155,梶原昂希,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
kyoda_nihon_u_50m_profile,京田 陽太,横浜DeNAベイスターズ,50m,5.9,seconds,,,unknown,HISTORICAL_PROFILE_HINT,侍ジャパン公式,https://www.japan-baseball.jp/jp/news/press/20160710_5.html,proeye:81585134,京田陽太,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
mlb_statcast_running_splits_筒香嘉智_2022,筒香 嘉智,横浜DeNAベイスターズ,T90ft,4.2,seconds,,2022,Statcast official leaderboard,NUMERIC_T90_CANDIDATE,Baseball Savant / Statcast,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2022,proeye:41945131,筒香嘉智,2024:1_01:BA:57,2024-07-18,2024-07-18,パワフルプロ野球2024-2025,1.01,52,https://www.baseless.org/data/source/2024/dat_BA_1_01.html,,2,,2,matched_nearest_update_date,current_local_rating_full_name_and_team
standardized_50m_2022-06-19_林琢真,林 琢真,横浜DeNAベイスターズ,50m,5.99,seconds,,2022,electronic_photoelectric,STANDARDIZED_PRIOR,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,proeye:91695157,林琢真,2022:1_09:BA:48,2023-03-30,2023-03-30,eBASEBALLパワフルプロ野球2022,1.09,87,https://www.baseless.org/data/source/2022/dat_BA_1_09.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
hayashi_komazawa_postcamp_selfbest_50m,林 琢真,横浜DeNAベイスターズ,50m,5.7,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/202210270001023.html,proeye:91695157,林琢真,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
mlb_statcast_running_splits_モンテロ_2024,モンテロ,広島東洋カープ,T90ft,4.2,seconds,,2024,Statcast official leaderboard,NUMERIC_T90_CANDIDATE,Baseball Savant / Statcast,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2024,proeye:53955150,Ｅ．モンテロ,2024:1_08:C:48,2025-03-27,2025-03-27,パワフルプロ野球2024-2025,1.08,49,https://www.baseless.org/data/source/2024/dat_C_1_08.html,,1,,1,matched_nearest_update_date,local_batting_full_name_and_team
sakakura_50m_nichidai3_profile,坂倉 将吾,広島東洋カープ,50m,6.4,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/1737870.html,proeye:11915134,坂倉将吾,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
