canonical_player_id,player,player_name,identity_confidence,first_rating_date,last_rating_date,first_speed,last_speed,max_speed,min_speed,total_change,num_observations,num_dated_observations,num_changes,num_major_changes,longest_unchanged_days
proeye:43545157,Ａ．アキーノ,Ａ．アキーノ,high,2023-03-30,2023-11-30,77,77,77,77,0,5,5,0,0,245
proeye:91695137,Ａ．アブレイユ,Ａ．アブレイユ,high,,,58,58,58,58,0,3,0,0,0,0
proeye:83585155,Ａ．アルカンタラ,Ａ．アルカンタラ,high,2022-04-21,2023-11-30,71,71,71,71,0,10,10,0,0,588
proeye:03705155,Ａ．ウォーカー,Ａ．ウォーカー,high,2022-04-21,2024-11-26,74,67,74,67,-7,15,15,1,1,819
proeye:33335151,Ａ．エスコバー,Ａ．エスコバー,high,2020-07-09,2020-12-17,60,60,60,60,0,4,4,0,0,161
proeye:33035153,Ａ．エチェバリア,Ａ．エチェバリア,high,2021-04-08,2022-11-24,61,61,61,61,0,10,10,0,0,595
proeye:31835139,Ａ．エルナンデス,Ａ．エルナンデス,high,2016-04-28,2016-12-15,57,57,57,57,0,8,5,0,0,231
proeye:83585159,Ａ．ガルシア,Ａ．ガルシア,high,2024-09-26,2024-11-26,72,72,72,72,0,3,3,0,0,61
proeye:43545134,Ａ．ゲレーロ,Ａ．ゲレーロ,high,2017-04-27,2019-10-25,48,48,48,48,0,14,14,0,0,911
proeye:61865139,Ａ．ゴメス,Ａ．ゴメス,high,,,52,52,52,52,0,3,0,0,0,0
proeye:73575151,Ａ．ジョーンズ,Ａ．ジョーンズ,high,2020-07-09,2021-12-23,64,24,64,24,-40,9,9,4,4,175
proeye:81685137,Ａ．ジョーンズ,Ａ．ジョーンズ,high,,,36,39,39,36,3,5,0,0,0,0
proeye:53755134,Ａ．シリアコ,Ａ．シリアコ,high,2017-04-27,2017-11-21,51,51,51,51,0,4,4,0,0,208
proeye:63765159,Ａ．スティーブンソン,Ａ．スティーブンソン,high,2024-07-18,2024-11-26,88,88,88,88,0,5,5,0,0,131
proeye:33935159,Ａ．ディカーソン,Ａ．ディカーソン,high,2024-07-18,2024-11-26,48,48,48,48,0,5,5,0,0,131
proeye:03505139,Ａ．デスパイネ,Ａ．デスパイネ,high,2016-04-28,2023-11-30,51,46,55,46,-5,38,35,6,0,1581
proeye:73375116,Ａ．バルディリス,Ａ．バルディリス,high,,,54,54,54,54,0,5,0,0,0,0
proeye:73275157,Ａ．ハンソン,Ａ．ハンソン,high,2023-07-20,2023-11-30,77,77,77,77,0,3,3,0,0,133
proeye:73975136,Ａ．マルティネス,Ａ．マルティネス,medium,2020-10-08,2026-06-30,43,43,43,43,0,33,33,0,0,2091
proeye:43945132,Ａ．メヒア,Ａ．メヒア,high,2017-09-14,2021-12-23,55,55,55,55,0,21,21,0,0,1561
proeye:63165113,Ａ．ラミレス,Ａ．ラミレス,high,,,39,37,39,37,-2,2,0,0,0,0
proeye:13915151,Ａ．ロドリゲス,Ａ．ロドリゲス,high,2020-07-09,2022-11-24,45,36,45,36,-9,6,6,1,1,777
proeye:13515135,Ｂ．エルドレッド,Ｂ．エルドレッド,high,2016-04-28,2018-11-01,48,23,48,23,-25,19,14,1,1,854
proeye:43745155,Ｂ．オグレディ,Ｂ．オグレディ,high,2022-04-21,2022-11-24,67,67,67,67,0,5,5,0,0,217
proeye:91895139,Ｂ．カニザレス,Ｂ．カニザレス,high,2016-04-28,2016-12-15,43,43,43,43,0,8,5,0,0,231
