mapping_id	record_type	record_id	original_pw_id	corrected_pw_id	mapping_disposition	module	actual_requirement_text	semantic_check
EVENT-PNN-001-PW-165	EVENT	PNN-001	PW-165	PW-165	RETAINED_SEMANTICALLY_CONSISTENT	GLOBAL	海外の全試合をNPB同等詳細にはせずleague別sim粒度を変える	PASS
EVENT-PNN-001-PW-247	EVENT	PNN-001	PW-247	PW-247	RETAINED_SEMANTICALLY_CONSISTENT	FINANCE	球団ごとの市場規模・資金力差は残すが資金は選択肢を増やす要因であり勝利を自動保証せず小規模球団にも合理的な勝ち筋を残す	PASS
EVENT-PNN-001-PW-248	EVENT	PNN-001	PW-248	PW-248	RETAINED_SEMANTICALLY_CONSISTENT	OWNERSHIP	オーナー/経営陣は短期長期・投資姿勢・リスク・革新志向等で個性を持っても全球団で勝利意欲自体は高く固定する	PASS
EVENT-PNN-001-ADDED-PW-201	EVENT	PNN-001		PW-201	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	球団数12を初期条件とし14/16等への拡張を可能にする	CORRECTED
EVENT-PNN-001-ADDED-PW-202	EVENT	PNN-001		PW-202	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	拡張時にExpansion Draftを実施可能	CORRECTED
EVENT-PNN-001-ADDED-PW-203	EVENT	PNN-001		PW-203	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	league/地区/CS/Japan Series/interleague/試合数を変更可能	CORRECTED
EVENT-PNN-001-ADDED-PW-204	EVENT	PNN-001		PW-204	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	球団移転/売却/合併は低頻度の大事件として将来候補	CORRECTED
EVENT-PNN-002-PW-103	EVENT	PNN-002	PW-103	PW-103	RETAINED_SEMANTICALLY_CONSISTENT	IDENTITY	年俸より出場機会を求めるFAを可能にする	PASS
EVENT-PNN-002-PW-104	EVENT	PNN-002	PW-104	PW-104	RETAINED_SEMANTICALLY_CONSISTENT	IDENTITY	海外志向・家族・地元・優勝・安定・role等を選手ごとに異なるweightで持つ	PASS
EVENT-PNN-002-PW-169	EVENT	PNN-002	PW-169		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	キューバ選手の海外契約自由度・連盟関与等を制度stateとして持つ	CORRECTED
EVENT-PNN-002-PW-236	EVENT	PNN-002	PW-236		REMOVED_SEMANTICALLY_MISMATCHED	TRADE	トレードを独立した中核システムとして設計しteam need・契約・年齢・将来価値・competitive windowを統合する	CORRECTED
EVENT-PNN-002-PW-242	EVENT	PNN-002	PW-242	PW-242	RETAINED_SEMANTICALLY_CONSISTENT	GLOBAL	外国人のNPB適応を固定のNPB適応能力1個で決めず underlying skill・役割・league差・環境適応等から自然発生させる	PASS
EVENT-PNN-002-ADDED-PW-133	EVENT	PNN-002		PW-133	ADDED_SEMANTICALLY_REQUIRED	CONTRACT	ポスティング希望→球団容認でも海外契約不成立なら残留する	CORRECTED
EVENT-PNN-002-ADDED-PW-134	EVENT	PNN-002		PW-134	ADDED_SEMANTICALLY_REQUIRED	CONTRACT	ポスティング不成立理由を市場/条件/role/medical/制度等から生成	CORRECTED
EVENT-PNN-002-ADDED-PW-135	EVENT	PNN-002		PW-135	ADDED_SEMANTICALLY_REQUIRED	CONTRACT	球団のposting friendliness評判を持つ	CORRECTED
EVENT-PNN-002-ADDED-PW-168	EVENT	PNN-002		PW-168	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	国・地域ごとに異なる契約/移籍/政府/連盟制度を持つ	CORRECTED
EVENT-PNN-002-ADDED-PW-172	EVENT	PNN-002		PW-172	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	国際制度は自由化だけでなく規制強化/協定終了/ビザ問題等もあり得る	CORRECTED
EVENT-PNN-002-ADDED-PW-173	EVENT	PNN-002		PW-173	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	海外制度変更がNPBの選手市場へ波及する	CORRECTED
EVENT-PNN-003-PW-236	EVENT	PNN-003	PW-236	PW-236	RETAINED_SEMANTICALLY_CONSISTENT	TRADE	トレードを独立した中核システムとして設計しteam need・契約・年齢・将来価値・competitive windowを統合する	PASS
EVENT-PNN-003-PW-237	EVENT	PNN-003	PW-237	PW-237	RETAINED_SEMANTICALLY_CONSISTENT	TRADE	CPUは他球団で出場機会を失っている有望株や余剰戦力を認識し能動的にトレード獲得を狙う	PASS
EVENT-PNN-003-PW-238	EVENT	PNN-003	PW-238	PW-238	RETAINED_SEMANTICALLY_CONSISTENT	TRANSACTION	現役ドラフトをFA・通常トレード・戦力外とは別の選手移動経路として扱い制度自体も変更可能にする	PASS
EVENT-PNN-003-PW-239	EVENT	PNN-003	PW-239		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	NPBの外国人候補一覧は世界から切り離されたランダム生成ではなくGlobal Baseball Worldに実在する選手からスカウト結果として作る	CORRECTED
EVENT-PNN-003-ADDED-PW-256	EVENT	PNN-003		PW-256	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	外国人枠・一軍登録可能数・支配下/育成等のroster制度もRule Proposal Engineで将来変更可能にする	CORRECTED
EVENT-PNN-004-PW-055	EVENT	PNN-004	PW-055	PW-055	RETAINED_SEMANTICALLY_CONSISTENT	DRAFT	ドラフト候補の真の能力とスカウト評価を分離する	PASS
EVENT-PNN-004-PW-056	EVENT	PNN-004	PW-056	PW-056	RETAINED_SEMANTICALLY_CONSISTENT	DRAFT	CPUもhidden真値でなく自球団スカウト情報を使う	PASS
EVENT-PNN-004-PW-057	EVENT	PNN-004	PW-057	PW-057	RETAINED_SEMANTICALLY_CONSISTENT	DRAFT	全球団ごとに独自draft boardを持つ	PASS
EVENT-PNN-004-PW-240	EVENT	PNN-004	PW-240	PW-240	RETAINED_SEMANTICALLY_CONSISTENT	GLOBAL	同一の海外選手をNPB・MLB・KBO・CPBL等の複数市場が同時に評価・交渉しNPBが常に獲得できるわけではない	PASS
EVENT-PNN-004-PW-259	EVENT	PNN-004	PW-259	PW-259	RETAINED_SEMANTICALLY_CONSISTENT	PRESSURE	大型FA・高額年俸・高い世間期待は能力値を直接下げず心理適応・起用・ファン/メディア評価を介して成績文脈に作用させる	PASS
EVENT-PNN-004-ADDED-PW-053	EVENT	PNN-004		PW-053	ADDED_SEMANTICALLY_REQUIRED	DRAFT	ドラフトを長期人材供給システムとして扱う	CORRECTED
EVENT-PNN-004-ADDED-PW-054	EVENT	PNN-004		PW-054	ADDED_SEMANTICALLY_REQUIRED	DRAFT	高校/大学/社会人/独立を固定成長型でなく年齢・完成度・情報量で差別化	CORRECTED
EVENT-PNN-004-ADDED-PW-195	EVENT	PNN-004		PW-195	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	ドラフト制度を自由に変更可能なRule Engineにする	CORRECTED
EVENT-PNN-004-ADDED-PW-196	EVENT	PNN-004		PW-196	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	希望枠/自由入団枠/ウェイバー/lottery/NPB型抽選等を組替可能	CORRECTED
EVENT-PNN-004-ADDED-PW-198	EVENT	PNN-004		PW-198	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	制度変更に施行日・経過措置・対象世代を持たせる	CORRECTED
EVENT-PNN-005-PW-149	EVENT	PNN-005	PW-149	PW-149	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	ソフトバンク型3軍/4軍制を作れる	PASS
EVENT-PNN-005-PW-150	EVENT	PNN-005	PW-150	PW-150	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	多軍制に選手数/試合機会メリットと大きな維持費を持たせる	PASS
EVENT-PNN-005-PW-151	EVENT	PNN-005	PW-151	PW-151	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	MLB AA/海外大学/JUCO/独立等との新pipelineを構築可能	PASS
EVENT-PNN-005-PW-179	EVENT	PNN-005	PW-179	PW-179	RETAINED_SEMANTICALLY_CONSISTENT	WORLD_GROWTH	十分な基盤が整えば新しいprofessional leagueが稀に誕生する	PASS
EVENT-PNN-005-PW-180	EVENT	PNN-005	PW-180	PW-180	RETAINED_SEMANTICALLY_CONSISTENT	WORLD_GROWTH	league縮小/統合/停滞も可能にして世界全体無限成長を防ぐ	PASS
EVENT-PNN-005-ADDED-PW-155	EVENT	PNN-005		PW-155	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	Network Capitalを蓄積し一朝一夕で海外pipelineを作れないようにする	CORRECTED
EVENT-PNN-005-ADDED-PW-156	EVENT	PNN-005		PW-156	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	Knowledge Capitalを人材・実績・研究で蓄積する	CORRECTED
EVENT-PNN-005-ADDED-PW-157	EVENT	PNN-005		PW-157	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	成功した組織人材を他球団が引き抜きノウハウが拡散する	CORRECTED
EVENT-PNN-005-ADDED-PW-168	EVENT	PNN-005		PW-168	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	国・地域ごとに異なる契約/移籍/政府/連盟制度を持つ	CORRECTED
EVENT-PNN-005-ADDED-PW-175	EVENT	PNN-005		PW-175	ADDED_SEMANTICALLY_REQUIRED	WORLD_GROWTH	国ごとに人気/競技人口/施設/指導/league quality等のecosystem stateを持つ	CORRECTED
EVENT-PNN-005-ADDED-PW-177	EVENT	PNN-005		PW-177	ADDED_SEMANTICALLY_REQUIRED	WORLD_GROWTH	NPB球団が海外academy/coach/scout等で世界普及へ関与できる	CORRECTED
EVENT-PNN-006-PW-145	EVENT	PNN-006	PW-145	PW-145	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	球団固有の革新的な獲得・育成・分析施策を大量に導入する	PASS
