queue_row_key,queue_order,player,team,stable_player_key,production_player_id,canonical_crosswalk_key,identity_status,batting_coverage,sp100_selection,npb_plus_top_speed_kmh,npb_top_speed_z,rank_fastest_in_current_100,provisional_display_point,measurement_reliability,existing_provisional_physical_point,existing_provisional_t90,sp022_state,sp022_value_z,sp022_sigma,sp075_active_context,sp075_active_source_row_count,sp074_classification,source_best_evidence_tier,decision_usable_evidence_tier,owner_verdict_status,sp100_provisional,sp071_provisional
SP077:PROEYE:51255138,1,中川 圭太,オリックス・バファローズ,PROEYE:51255138,51255138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.6,0.7888,23,87.2,NOT_IDENTIFIABLE,74.502,3.948463,COMPARABLE_2025_STATISTICAL_PROXY,0.3024,0.188538,true,2,TEMPORALLY_CONFOUNDED,B,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:91395138,2,太田 椋,オリックス・バファローズ,PROEYE:91395138,91395138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.7,0.0703,42,66.9,NOT_IDENTIFIABLE,66.424,4.039846,COMPARABLE_2025_STATISTICAL_PROXY,-0.3607,0.182114,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:11815130,3,宗 佑磨,オリックス・バファローズ,PROEYE:11815130,11815130,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.9,0.2299,38,71.4,NOT_IDENTIFIABLE,68.219,4.019539,COMPARABLE_2025_STATISTICAL_PROXY,-0.0636,0.205886,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:51955153,4,来田 涼斗,オリックス・バファローズ,PROEYE:51955153,51955153,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.4,0.6292,28,82.7,NOT_IDENTIFIABLE,72.707,3.96877,COMPARABLE_2025_STATISTICAL_PROXY,0.0855,0.340542,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:91495139,5,森 友哉,オリックス・バファローズ,PROEYE:91495139,91495139,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.2,-0.329,62,55.6,NOT_IDENTIFIABLE,61.937,4.090615,COMPARABLE_2025_STATISTICAL_PROXY,-0.2777,0.28996,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:91995151,6,紅林 弘太郎,オリックス・バファローズ,PROEYE:91995151,91995151,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.7,-0.7282,72,44.2,NOT_IDENTIFIABLE,57.449,4.141384,COMPARABLE_2025_STATISTICAL_PROXY,-0.4083,0.191867,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:41645139,7,若月 健矢,オリックス・バファローズ,PROEYE:41645139,41645139,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.7,-0.7282,72,44.2,NOT_IDENTIFIABLE,57.449,4.141384,COMPARABLE_2025_STATISTICAL_PROXY,0.0449,0.202774,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:71475132,8,西川 龍馬,オリックス・バファローズ,PROEYE:71475132,71475132,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.1,-0.4088,65,53.3,NOT_IDENTIFIABLE,61.039,4.100769,COMPARABLE_2025_STATISTICAL_PROXY,-0.0939,0.199814,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:91495130,9,西野 真弘,オリックス・バファローズ,PROEYE:91495130,91495130,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.6,-0.0096,49,64.6,NOT_IDENTIFIABLE,65.527,4.05,COMPARABLE_2025_STATISTICAL_PROXY,-0.1197,0.254101,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:93795157,10,カリステ,中日ドラゴンズ,PROEYE:93795157,93795157,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.3,-0.2491,59,57.8,NOT_IDENTIFIABLE,62.834,4.080461,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,true,1,MISSING_EVIDENCE_NOT_CONFLICT,A,STANDARDIZED_SHORT_DISTANCE_PRIOR,NOT_ENTERED,false,true
SP077:PROEYE:51455153,11,土田 龍空,中日ドラゴンズ,PROEYE:51455153,51455153,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.2,-0.329,62,55.6,NOT_IDENTIFIABLE,61.937,4.090615,COMPARABLE_2025_STATISTICAL_PROXY,0.006,0.501933,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:01305131,12,大島 洋平,中日ドラゴンズ,PROEYE:01305131,01305131,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.7,0.0703,42,66.9,NOT_IDENTIFIABLE,66.424,4.039846,COMPARABLE_2025_STATISTICAL_PROXY,0.755,0.392463,true,1,TEMPORALLY_CONFOUNDED,B,SPRINT_ONLY,NOT_ENTERED,false,true
