queue_order,stable_player_key,player_id,player,team,latent_speed_percentile_point,latent_speed_percentile_interval,provisional_practical_rating,provisional_practical_rating_interval,rank_fastest,rank_percentile,confidence,evidence_state,conflict_state,physical_family_count,physical_family_weights,missing_physical_lanes,material_evidence_ids,reasons,material_conflicts,change_vs_pre_sp079_project,pre_sp079_project_rating_for_comparison_only,powerpro_difference_for_qa_only,scale_status,owner_verdict_state,owner_verdict_count
1,PROEYE:51255138,51255138,中川 圭太,オリックス・バファローズ,0.442181,"[0,0.9826]",44,"[0,98]",52,0.484848,VERY_LOW,UNRESOLVED,MATERIAL_DIRECT_CONFLICT,2,"{""PEAK"":0.5,""ACCELERATION_H2F"":0.5}","[""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:51255138"",""SP104-PHYS-0024""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""bounded acceleration/H2F evidence is present without treating H2F as T90"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""community physical observations are bounded context only"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]","[""physical_family_spread=0.6308""]",-31,75,-30,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
2,PROEYE:91395138,91395138,太田 椋,オリックス・バファローズ,0.5253,"[0.3153,0.7353]",53,"[32,74]",37,0.636364,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91395138""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-13,66,-11,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
3,PROEYE:11815130,11815130,宗 佑磨,オリックス・バファローズ,0.6061,"[0.3961,0.8161]",61,"[40,82]",31,0.69697,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:11815130""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-7,68,-15,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
4,PROEYE:51955153,51955153,来田 涼斗,オリックス・バファローズ,0.6598,"[0.2175,1]",66,"[22,100]",24,0.767677,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:51955153"",""SP104-PHYS-0091""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-7,73,-19,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
5,PROEYE:91495139,91495139,森 友哉,オリックス・バファローズ,0.2943,"[0,0.5575]",29,"[0,56]",68,0.323232,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91495139"",""SP104-PHYS-0149""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-33,62,-36,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
6,PROEYE:91995151,91995151,紅林 弘太郎,オリックス・バファローズ,0.2626,"[0.0526,0.4726]",26,"[5,47]",72,0.282828,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91995151""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-31,57,-30,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
7,PROEYE:41645139,41645139,若月 健矢,オリックス・バファローズ,0.2626,"[0.0526,0.4726]",26,"[5,47]",72,0.282828,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:41645139""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-31,57,-22,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
8,PROEYE:71475132,71475132,西川 龍馬,オリックス・バファローズ,0.3232,"[0.1132,0.5332]",32,"[11,53]",66,0.343434,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:71475132""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-29,61,-40,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
9,PROEYE:91495130,91495130,西野 真弘,オリックス・バファローズ,0.4848,"[0.2748,0.6948]",48,"[27,69]",45,0.555556,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91495130""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-18,66,-28,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
10,PROEYE:93795157,93795157,カリステ,中日ドラゴンズ,0.6313,"[0,1]",63,"[0,100]",28,0.727273,VERY_LOW,UNRESOLVED,MATERIAL_DIRECT_CONFLICT,3,"{""PEAK"":0.333333,""ACCELERATION_H2F"":0.333333,""END_TO_END_90FT"":0.333333}","[""SHORT_DISTANCE_30M_50M"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:93795157"",""SP104-PHYS-0131"",""SP104-PHYS-0137"",""MLBEXPOSUREH2F:PROEYE:93795157:2017:65"",""SP104-PHYS-0143""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""bounded acceleration/H2F evidence is present without treating H2F as T90"",""direct or standardized 90ft evidence is present"",""same-player official MLB running evidence is used as season-bounded context"",""valid analog common support is retained as bounded context only"",""community physical observations are bounded context only"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]","[""physical_family_spread=0.5228""]",0,63,-19,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
