stable_player_key,npb_name,mlb_name,season,edition,the_show_speed_median,the_show_stealing_median,the_show_baserunning_aggression_median,the_show_speed_percentile,mlb_sprint_speed_avg,powerpro_work,powerpro_speed,powerpro_speed_percentile,powerpro_temporal_gap_years,role,physical_truth_guard
NPBNAME:アポステル,アポステル,Sherten Apostel,2021,21,50.0,26.0,22.0,0.7246653919694073,25.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:アポステル,アポステル,Sherten Apostel,2023,23,50.0,26.0,22.0,0.6742316784869976,25.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:エンカーナシオン,エンカーナシオン,Jerar Encarnacion,2021,21,58.0,26.0,24.0,0.7856118546845124,26.899999999999995,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:エンカーナシオン,エンカーナシオン,Jerar Encarnacion,2022,22,70.0,26.0,24.0,0.8694889779559118,26.899999999999995,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:エンカーナシオン,エンカーナシオン,Jerar Encarnacion,2023,23,62.0,26.0,24.0,0.7716312056737589,26.899999999999995,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:エンカーナシオン,エンカーナシオン,Jerar Encarnacion,2024,24,62.0,26.0,24.0,0.7717753450737744,26.899999999999995,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:エンカーナシオン,エンカーナシオン,Jerar Encarnacion,2025,25,49.0,26.0,24.0,0.6507750117426021,26.899999999999995,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:エンカーナシオン,エンカーナシオン,Jerar Encarnacion,2026,26,40.0,6.0,4.0,0.5270492047862023,26.899999999999995,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カストロ,カストロ,Rodolfo Castro,2021,21,60.0,36.0,24.0,0.8052103250478011,27.333333333333332,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カストロ,カストロ,Rodolfo Castro,2022,22,56.0,36.0,24.0,0.750751503006012,27.333333333333332,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カストロ,カストロ,Rodolfo Castro,2023,23,55.0,10.0,24.0,0.7085106382978723,27.333333333333332,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カストロ,カストロ,Rodolfo Castro,2024,24,55.0,10.0,24.0,0.6951451689671585,27.333333333333332,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カナリオ,カナリオ,Alexander Canario,2021,21,68.0,38.0,34.0,0.8718929254302104,28.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カナリオ,カナリオ,Alexander Canario,2022,22,68.0,38.0,34.0,0.8559619238476954,28.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カナリオ,カナリオ,Alexander Canario,2023,23,68.0,38.0,34.0,0.8338061465721041,28.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カナリオ,カナリオ,Alexander Canario,2024,24,68.0,38.0,34.0,0.8350785340314136,28.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:カナリオ,カナリオ,Alexander Canario,2025,25,64.0,38.0,34.0,0.7909816815406294,28.1,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:キャベッジ,キャベッジ,Trey Cabbage,2023,23,59.0,22.0,17.0,0.7439716312056738,28.15,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:キャベッジ,キャベッジ,Trey Cabbage,2024,24,59.0,22.0,17.0,0.7391718229414564,28.15,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ギッテンス,ギッテンス,Chris Gittens,2021,21,58.0,0.0,30.0,0.7856118546845124,25.3,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ゴンザレス,ゴンザレス,Oscar Gonzalez,2022,22,80.0,16.0,16.0,0.9403807615230461,28.3,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ゴンザレス,ゴンザレス,Oscar Gonzalez,2023,23,81.0,2.0,16.0,0.9385342789598109,28.3,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ゴンザレス,ゴンザレス,Oscar Gonzalez,2025,25,81.0,2.0,26.0,0.9365899483325505,28.3,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ゴンザレス,ゴンザレス,Oscar Gonzalez,2026,26,67.0,2.0,4.0,0.8270372691194462,28.3,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:サノー,サノー,Miguel Sano,2021,21,42.0,0.0,5.0,0.6302581261950286,26.812500000000004,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:サノー,サノー,Miguel Sano,2022,22,41.0,0.0,5.0,0.5951903807615231,26.812500000000004,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:サノー,サノー,Miguel Sano,2023,23,45.0,0.0,5.0,0.6236406619385343,26.812500000000004,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:サノー,サノー,Miguel Sanó,2024,24,45.0,0.0,5.0,0.6163731556401714,26.812500000000004,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:サノー,サノー,Miguel Sanó,2025,25,29.0,0.0,0.0,0.18576796618130578,26.812500000000004,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ダルベック,ダルベック,Bobby Dalbec,2021,21,68.0,35.0,25.0,0.8718929254302104,27.959999999999997,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ダルベック,ダルベック,Bobby Dalbec,2022,22,69.0,35.0,25.0,0.8634769539078156,27.959999999999997,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ダルベック,ダルベック,Bobby Dalbec,2023,23,70.0,10.0,25.0,0.8498817966903073,27.959999999999997,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
NPBNAME:ダルベック,ダルベック,Bobby Dalbec,2024,24,70.0,10.0,25.0,0.8503093764873869,27.959999999999997,,,,,CROSS_TIME_PLAYER_TRAJECTORY,"The Show and PowerPro are external game appraisal/context, not physical ground truth."
