stable_player_key,npb_name,npb_name_en,segment_number,transition_direction,from_league,from_start_year,from_end_year,to_league,to_start_year,to_end_year,time_gap_years,returnee_or_multi_cycle,npb_years,mlb_regular_season_appearance_years,the_show_years,age_state,injury_state,source_role,evidence_ids
MLBAM:430945,ジョーンズ,Adam Jones,1,MLB_TO_NPB,MLB,2006,2013,NPB,2013,2013,0,True,"2013,2014,2020,2021","2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:430945:2006', 'MLB_APPEARANCE:MLBAM:430945:2007', 'MLB_APPEARANCE:MLBAM:430945:2008', 'MLB_APPEARANCE:MLBAM:430945:2009', 'MLB_APPEARANCE:MLBAM:430945:2010', 'MLB_APPEARANCE:MLBAM:430945:2011', 'MLB_APPEARANCE:MLBAM:430945:2012', 'MLB_APPEARANCE:MLBAM:430945:2013', 'MLB_APPEARANCE:MLBAM:430945:2014', 'MLB_APPEARANCE:MLBAM:430945:2015', 'MLB_APPEARANCE:MLBAM:430945:2016', 'MLB_APPEARANCE:MLBAM:430945:2017', 'MLB_APPEARANCE:MLBAM:430945:2018', 'MLB_APPEARANCE:MLBAM:430945:2019', 'NPB_OFFICIAL:MLBAM:430945:2013', 'NPB_OFFICIAL:MLBAM:430945:2014', 'NPB_OFFICIAL:MLBAM:430945:2020', 'NPB_OFFICIAL:MLBAM:430945:2021']"
MLBAM:430945,ジョーンズ,Adam Jones,2,NPB_TO_MLB,NPB,2013,2013,MLB,2014,2014,0,True,"2013,2014,2020,2021","2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:430945:2006', 'MLB_APPEARANCE:MLBAM:430945:2007', 'MLB_APPEARANCE:MLBAM:430945:2008', 'MLB_APPEARANCE:MLBAM:430945:2009', 'MLB_APPEARANCE:MLBAM:430945:2010', 'MLB_APPEARANCE:MLBAM:430945:2011', 'MLB_APPEARANCE:MLBAM:430945:2012', 'MLB_APPEARANCE:MLBAM:430945:2013', 'MLB_APPEARANCE:MLBAM:430945:2014', 'MLB_APPEARANCE:MLBAM:430945:2015', 'MLB_APPEARANCE:MLBAM:430945:2016', 'MLB_APPEARANCE:MLBAM:430945:2017', 'MLB_APPEARANCE:MLBAM:430945:2018', 'MLB_APPEARANCE:MLBAM:430945:2019', 'NPB_OFFICIAL:MLBAM:430945:2013', 'NPB_OFFICIAL:MLBAM:430945:2014', 'NPB_OFFICIAL:MLBAM:430945:2020', 'NPB_OFFICIAL:MLBAM:430945:2021']"
MLBAM:430945,ジョーンズ,Adam Jones,3,MLB_TO_NPB,MLB,2014,2014,NPB,2014,2014,0,True,"2013,2014,2020,2021","2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:430945:2006', 'MLB_APPEARANCE:MLBAM:430945:2007', 'MLB_APPEARANCE:MLBAM:430945:2008', 'MLB_APPEARANCE:MLBAM:430945:2009', 'MLB_APPEARANCE:MLBAM:430945:2010', 'MLB_APPEARANCE:MLBAM:430945:2011', 'MLB_APPEARANCE:MLBAM:430945:2012', 'MLB_APPEARANCE:MLBAM:430945:2013', 'MLB_APPEARANCE:MLBAM:430945:2014', 'MLB_APPEARANCE:MLBAM:430945:2015', 'MLB_APPEARANCE:MLBAM:430945:2016', 'MLB_APPEARANCE:MLBAM:430945:2017', 'MLB_APPEARANCE:MLBAM:430945:2018', 'MLB_APPEARANCE:MLBAM:430945:2019', 'NPB_OFFICIAL:MLBAM:430945:2013', 'NPB_OFFICIAL:MLBAM:430945:2014', 'NPB_OFFICIAL:MLBAM:430945:2020', 'NPB_OFFICIAL:MLBAM:430945:2021']"
MLBAM:430945,ジョーンズ,Adam Jones,4,NPB_TO_MLB,NPB,2014,2014,MLB,2015,2019,0,True,"2013,2014,2020,2021","2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:430945:2006', 'MLB_APPEARANCE:MLBAM:430945:2007', 'MLB_APPEARANCE:MLBAM:430945:2008', 'MLB_APPEARANCE:MLBAM:430945:2009', 'MLB_APPEARANCE:MLBAM:430945:2010', 'MLB_APPEARANCE:MLBAM:430945:2011', 'MLB_APPEARANCE:MLBAM:430945:2012', 'MLB_APPEARANCE:MLBAM:430945:2013', 'MLB_APPEARANCE:MLBAM:430945:2014', 'MLB_APPEARANCE:MLBAM:430945:2015', 'MLB_APPEARANCE:MLBAM:430945:2016', 'MLB_APPEARANCE:MLBAM:430945:2017', 'MLB_APPEARANCE:MLBAM:430945:2018', 'MLB_APPEARANCE:MLBAM:430945:2019', 'NPB_OFFICIAL:MLBAM:430945:2013', 'NPB_OFFICIAL:MLBAM:430945:2014', 'NPB_OFFICIAL:MLBAM:430945:2020', 'NPB_OFFICIAL:MLBAM:430945:2021']"
MLBAM:430945,ジョーンズ,Adam Jones,5,MLB_TO_NPB,MLB,2015,2019,NPB,2020,2021,0,True,"2013,2014,2020,2021","2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:430945:2006', 'MLB_APPEARANCE:MLBAM:430945:2007', 'MLB_APPEARANCE:MLBAM:430945:2008', 'MLB_APPEARANCE:MLBAM:430945:2009', 'MLB_APPEARANCE:MLBAM:430945:2010', 'MLB_APPEARANCE:MLBAM:430945:2011', 'MLB_APPEARANCE:MLBAM:430945:2012', 'MLB_APPEARANCE:MLBAM:430945:2013', 'MLB_APPEARANCE:MLBAM:430945:2014', 'MLB_APPEARANCE:MLBAM:430945:2015', 'MLB_APPEARANCE:MLBAM:430945:2016', 'MLB_APPEARANCE:MLBAM:430945:2017', 'MLB_APPEARANCE:MLBAM:430945:2018', 'MLB_APPEARANCE:MLBAM:430945:2019', 'NPB_OFFICIAL:MLBAM:430945:2013', 'NPB_OFFICIAL:MLBAM:430945:2014', 'NPB_OFFICIAL:MLBAM:430945:2020', 'NPB_OFFICIAL:MLBAM:430945:2021']"
MLBAM:444876,エスコバー,Alcides Escobar,1,MLB_TO_NPB,MLB,2008,2018,NPB,2020,2020,1,True,2020,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2021,2022",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:444876:2008', 'MLB_APPEARANCE:MLBAM:444876:2009', 'MLB_APPEARANCE:MLBAM:444876:2010', 'MLB_APPEARANCE:MLBAM:444876:2011', 'MLB_APPEARANCE:MLBAM:444876:2012', 'MLB_APPEARANCE:MLBAM:444876:2013', 'MLB_APPEARANCE:MLBAM:444876:2014', 'MLB_APPEARANCE:MLBAM:444876:2015', 'MLB_APPEARANCE:MLBAM:444876:2016', 'MLB_APPEARANCE:MLBAM:444876:2017', 'MLB_APPEARANCE:MLBAM:444876:2018', 'MLB_APPEARANCE:MLBAM:444876:2021', 'MLB_APPEARANCE:MLBAM:444876:2022', 'NPB_OFFICIAL:MLBAM:444876:2020']"
MLBAM:444876,エスコバー,Alcides Escobar,2,NPB_TO_MLB,NPB,2020,2020,MLB,2021,2022,0,True,2020,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2021,2022",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:444876:2008', 'MLB_APPEARANCE:MLBAM:444876:2009', 'MLB_APPEARANCE:MLBAM:444876:2010', 'MLB_APPEARANCE:MLBAM:444876:2011', 'MLB_APPEARANCE:MLBAM:444876:2012', 'MLB_APPEARANCE:MLBAM:444876:2013', 'MLB_APPEARANCE:MLBAM:444876:2014', 'MLB_APPEARANCE:MLBAM:444876:2015', 'MLB_APPEARANCE:MLBAM:444876:2016', 'MLB_APPEARANCE:MLBAM:444876:2017', 'MLB_APPEARANCE:MLBAM:444876:2018', 'MLB_APPEARANCE:MLBAM:444876:2021', 'MLB_APPEARANCE:MLBAM:444876:2022', 'NPB_OFFICIAL:MLBAM:444876:2020']"
MLBAM:467827,パーラ,Gerardo Parra,1,MLB_TO_NPB,MLB,2009,2019,NPB,2020,2020,0,True,2020,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:467827:2009', 'MLB_APPEARANCE:MLBAM:467827:2010', 'MLB_APPEARANCE:MLBAM:467827:2011', 'MLB_APPEARANCE:MLBAM:467827:2012', 'MLB_APPEARANCE:MLBAM:467827:2013', 'MLB_APPEARANCE:MLBAM:467827:2014', 'MLB_APPEARANCE:MLBAM:467827:2015', 'MLB_APPEARANCE:MLBAM:467827:2016', 'MLB_APPEARANCE:MLBAM:467827:2017', 'MLB_APPEARANCE:MLBAM:467827:2018', 'MLB_APPEARANCE:MLBAM:467827:2019', 'MLB_APPEARANCE:MLBAM:467827:2021', 'NPB_OFFICIAL:MLBAM:467827:2020']"
MLBAM:467827,パーラ,Gerardo Parra,2,NPB_TO_MLB,NPB,2020,2020,MLB,2021,2021,0,True,2020,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:467827:2009', 'MLB_APPEARANCE:MLBAM:467827:2010', 'MLB_APPEARANCE:MLBAM:467827:2011', 'MLB_APPEARANCE:MLBAM:467827:2012', 'MLB_APPEARANCE:MLBAM:467827:2013', 'MLB_APPEARANCE:MLBAM:467827:2014', 'MLB_APPEARANCE:MLBAM:467827:2015', 'MLB_APPEARANCE:MLBAM:467827:2016', 'MLB_APPEARANCE:MLBAM:467827:2017', 'MLB_APPEARANCE:MLBAM:467827:2018', 'MLB_APPEARANCE:MLBAM:467827:2019', 'MLB_APPEARANCE:MLBAM:467827:2021', 'NPB_OFFICIAL:MLBAM:467827:2020']"
MLBAM:475253,スモーク,Justin Smoak,1,MLB_TO_NPB,MLB,2010,2020,NPB,2021,2021,0,False,2021,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",,MISSING_BOUNDED,MISSING_BOUNDED,ACTUAL_MLB_REGULAR_SEASON_APPEARANCE_NOT_THE_SHOW_FIXTURE,"['MLB_APPEARANCE:MLBAM:475253:2010', 'MLB_APPEARANCE:MLBAM:475253:2011', 'MLB_APPEARANCE:MLBAM:475253:2012', 'MLB_APPEARANCE:MLBAM:475253:2013', 'MLB_APPEARANCE:MLBAM:475253:2014', 'MLB_APPEARANCE:MLBAM:475253:2015', 'MLB_APPEARANCE:MLBAM:475253:2016', 'MLB_APPEARANCE:MLBAM:475253:2017', 'MLB_APPEARANCE:MLBAM:475253:2018', 'MLB_APPEARANCE:MLBAM:475253:2019', 'MLB_APPEARANCE:MLBAM:475253:2020', 'NPB_OFFICIAL:MLBAM:475253:2021']"
