stable_player_key,npb_name,mlb_name,the_show_season,the_show_edition,the_show_speed,the_show_stealing,the_show_baserunning_aggressiveness,powerpro_work,powerpro_speed_raw,powerpro_speed_percentile,temporal_gap_years,transition_context
PROEYE:31135133,秋　山,Shogo Akiyama,2021,21,71.0,44.0,41.0,2022,72.0,0.6766917293233082,1,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:31135133,秋　山,Shogo Akiyama,2022,22,68.0,44.0,41.0,2022,72.0,0.6766917293233082,0,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:41945131,筒　香,Yoshitomo Tsutsugo,2021,21,30.0,15.0,12.0,2018,58.0,0.3495762711864407,3,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:41945131,筒　香,Yoshitomo Tsutsugo,2022,22,36.0,15.0,12.0,2024,45.0,0.10460992907801418,2,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:63165132,吉田 正尚,Masataka Yoshida,2023,23,74.0,31.0,28.0,2020,57.0,0.3023255813953488,3,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:63165132,吉田 正尚,Masataka Yoshida,2024,24,37.0,31.0,28.0,2020,57.0,0.3023255813953488,4,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:63165132,吉田 正尚,Masataka Yoshida,2025,25,37.0,30.0,20.0,2020,57.0,0.3023255813953488,5,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:63165132,吉田 正尚,Masataka Yoshida,2026,26,40.0,15.0,10.0,2020,57.0,0.3023255813953488,6,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:81785137,鈴　木,Seiya Suzuki,2022,22,74.0,36.0,32.0,2020,68.0,0.5910852713178295,2,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:81785137,鈴　木,Seiya Suzuki,2023,23,71.0,18.0,32.0,2020,68.0,0.5910852713178295,3,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:81785137,鈴　木,Seiya Suzuki,2024,24,74.0,18.0,32.0,2020,68.0,0.5910852713178295,4,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:81785137,鈴　木,Seiya Suzuki,2025,25,70.0,42.0,58.0,2020,68.0,0.5910852713178295,5,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
PROEYE:81785137,鈴　木,Seiya Suzuki,2026,26,72.0,35.0,53.0,2020,68.0,0.5910852713178295,6,PLAYER_YEAR_PAIR_NOT_LIFETIME_AVERAGE
