scope	player	in_current100	in_local_mlb_bridge	in_local_the_show_bridge	role
OWNER_RAISED_EXAMPLE	ソト	true	false	false	CURRENT_FOREIGN_MLB_TO_NPB_CANDIDATE_AND_CROSSWALK_FALSE_NEGATIVE
OWNER_RAISED_EXAMPLE	サンタナ	true	true	false	CURRENT_FOREIGN_MLB_TO_NPB_CANDIDATE_WITH_PARTIAL_BRIDGE
OWNER_RAISED_EXAMPLE	カリステ	true	true	false	CURRENT_FOREIGN_MLB_TO_NPB_CANDIDATE_WITH_PARTIAL_BRIDGE
OWNER_RAISED_EXAMPLE	ポランコ	true	true	true	CURRENT_FOREIGN_MLB_TO_NPB_MATCHED_LOWER_BOUND
OWNER_RAISED_EXAMPLE	モンテロ	true	true	true	CURRENT_FOREIGN_MLB_TO_NPB_MATCHED_LOWER_BOUND
OWNER_RAISED_EXAMPLE	鈴木誠也	false	true	unknown	JAPANESE_NPB_TO_MLB_TRAJECTORY_AND_CALIBRATION_COHORT
OWNER_RAISED_EXAMPLE	吉田正尚	false	true	unknown	JAPANESE_NPB_TO_MLB_TRAJECTORY_AND_CALIBRATION_COHORT
CURRENT100_LOCAL_MLB_NAME_OVERLAP	モンテロ	true	true	true	LOWER_BOUND_ONLY
CURRENT100_LOCAL_MLB_NAME_OVERLAP	カリステ	true	true	false	LOWER_BOUND_ONLY
CURRENT100_LOCAL_MLB_NAME_OVERLAP	サンタナ	true	true	false	LOWER_BOUND_ONLY
CURRENT100_LOCAL_MLB_NAME_OVERLAP	ポランコ	true	true	true	LOWER_BOUND_ONLY
CURRENT100_LOCAL_SHOW_NAME_OVERLAP	モンテロ	true	true	true	LOWER_BOUND_ONLY
CURRENT100_LOCAL_SHOW_NAME_OVERLAP	ポランコ	true	true	true	LOWER_BOUND_ONLY
