age,event_role,identity_join_method,leakage_flag,live_series_status,mlb_name,mlbam_id,npb_name,observation_is_carry_forward,position,primary_temporal_model_eligible,season,show_card_uuid,source,source_commit,source_confidence,source_provenance,speed_after,speed_before,speed_delta,stable_player_key,team,update_date,update_id
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Shogo Akiyama,,秋　山,,,,2021,0dd81a42714c6fe8bd670804643b458d,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,71.0,61.0,10.0,PROEYE:31135133,Reds,2021-07-31,11
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Jonathan Davis,,デービス,,,,2021,611a80e9562b4c0738021647c910846f,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,83.0,70.0,13.0,PROEYE:23025150,Blue Jays,2021-07-31,11
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Andrew Stevenson,,スティーブンソン,,,,2021,7cbf8542c92afd2ceaa934b5b9ec360a,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,87.0,71.0,16.0,PROEYE:63765159,Nationals,2021-07-31,11
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Bobby Dalbec,,ダルベック,,,,2021,9ed3c926066e74607fd94d94dc39b514,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,68.0,47.0,21.0,NPBNAME:ダルベック,Red Sox,2021-07-31,11
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Sheldon Neuse,,ノイジー,,,,2021,e74c55f07c0f992947fbe7b6b6ab8eae,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,50.0,35.0,15.0,PROEYE:73975157,Free Agents,2021-07-31,11
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Aristides Aquino,,アキーノ,,,,2022,7c9052caed90949c46c171951cd9dc3d,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,81.0,71.0,10.0,PROEYE:43545157,Reds,2022-07-29,12
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Luis Gonzalez,,ゴンサレス,,,,2022,93ef0ee81ec1dad09a4a6708c6c9443b,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,70.0,54.0,16.0,PROEYE:43345151,Giants,2022-07-29,12
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Cooper Hummel,,ヒュンメル,,,,2022,b03f37720977a863ec71f702334d80b7,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,80.0,58.0,22.0,NPBNAME:ヒュンメル,Diamondbacks,2022-07-29,12
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Oscar Gonzalez,,ゴンザレス,,,,2022,c715b7f9c127a03df75863d57da84c6c,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,80.0,54.0,26.0,NPBNAME:ゴンザレス,Guardians,2022-07-29,12
,canonical,CONSERVATIVE_SOURCE_NAME_CROSSWALK,,NOT_EXPLICITLY_LABELED_IN_ARCHIVED_HTML,Alexander Canario,,カナリオ,,,,2025,97f257287ae66136f32d44254c40cbfd,claude-code-hub:showdd_live_speed_update_history_2021_2026.csv,ab5adbfee656d69d0b378145fd66bf5789e0d1b4,,,64.0,54.0,10.0,NPBNAME:カナリオ,Pirates,2025-08-15,19
