player,legacy_value,legacy_rank,corrected_value,corrected_rank,diff,legacy_poolReason,legacy_years,corrected_poolReason,corrected_years
小川 龍成,74.2,B,52.3,D,-21.9,,,,
高橋 周平,53,D,38.2,F,-14.8,,,,
坂倉 将吾,62.1,C,49.8,E,-12.3,,,,
野間 峻祥,78.2,B,89.2,A,11,,,,
坂本 誠志郎,58.7,D,47.7,E,-11,,,,
中村 悠平,51.5,D,40.6,E,-10.9,,,,
岡 大海,74.1,B,84,A,9.9,,,,
木浪 聖也,58.3,D,67.9,C,9.6,,,,
西野 真弘,68.1,C,58.6,D,-9.5,,,,
源田 壮亮,89.1,A,79.8,B,-9.3,,,,
伏見 寅威,49.2,E,40,F,-9.2,,,,
牧原 大成,82.2,A,91.4,S,9.2,,,,
藤岡 裕大,54.6,D,45.5,E,-9.1,,,,
丸 佳浩,58.2,D,49.5,E,-8.7,,,,
吉川 尚輝,74.7,B,83.3,A,8.6,,,,
渡邊 佳明,62.8,C,54.3,D,-8.5,,,,
小園 海斗,77.3,B,69.1,C,-8.2,,,,
中野 拓夢,81.6,A,89.4,A,7.8,,,,
佐藤 都志也,60.6,C,68.3,C,7.7,,,,
村松 開人,75.2,B,67.8,C,-7.4,,,,
田中 幹也,78.8,B,85.8,A,7,,,,
中川 圭太,72.3,B,65.4,C,-6.9,,,,
ソト,42.7,E,49.6,E,6.9,,,,
宮﨑 敏郎,53.4,D,60,D,6.6,,,,
古賀 悠斗,53.4,D,46.9,E,-6.5,,,,
木下 拓哉,53.5,D,47,E,-6.5,,,,
太田 椋,59.8,D,53.4,D,-6.4,,,,
秋山 翔吾,72.5,B,78.8,B,6.3,,,,
奈良間 大己,70.5,B,76.5,B,6,,,,
度会 隆輝,65.9,C,71.6,B,5.7,,,,
大山 悠輔,52.8,D,47.3,E,-5.5,,,,
友杉 篤輝,74.1,B,68.7,C,-5.4,,,,
浅村 栄斗,51.4,D,46,E,-5.4,,,,
太田 光,61.6,C,56.2,D,-5.4,,,,
郡司 裕也,62.5,C,67.9,C,5.4,,,,
宗 佑磨,62.3,C,67.6,C,5.3,,,,
滝澤 夏央,84.6,A,79.3,B,-5.3,,,,
野村 佑希,58,D,52.7,D,-5.3,,,,
森 友哉,60.6,C,55.7,D,-4.9,,,,
牧 秀悟,59.7,D,64.6,C,4.9,,,,
長岡 秀樹,60.3,C,65,C,4.7,,,,
佐野 恵太,51.9,D,56.4,D,4.5,,,,
菊池 涼介,68.9,C,64.5,C,-4.4,,,,
来田 涼斗,69.1,C,65.2,C,-3.9,,,,
ポランコ,59.1,D,63,C,3.9,,,,
若月 健矢,61.4,C,65.2,C,3.8,,,,
松本 剛,65,C,61.2,C,-3.8,,,,
梶原 昂希,82.3,A,78.6,B,-3.7,,,,
筒香 嘉智,50,E,46.3,E,-3.7,,,,
佐藤 輝明,67.2,C,63.6,C,-3.6,,,,
外崎 修汰,61.2,C,57.6,D,-3.6,,,,
藤原 恭大,81.9,A,85.5,A,3.6,,,,
福永 裕基,82.2,A,85.7,A,3.5,,,,
京田 陽太,64.9,C,68.2,C,3.3,,,,
カリステ,66.2,C,69.4,C,3.2,,,,
今宮 健太,59.4,D,56.6,D,-2.8,,,,
矢野 雅哉,84.6,A,81.9,A,-2.7,,,,
周東 佑京,91.1,S,88.4,A,-2.7,,,,
梅野 隆太郎,55.8,D,58.4,D,2.6,,,,
森下 翔太,63,C,65.5,C,2.5,,,,
大城 卓三,47.9,E,45.4,E,-2.5,,,,
水野 達稀,84.3,A,81.8,A,-2.5,,,,
佐々木 俊輔,77,B,74.6,B,-2.4,,,,
板山 祐太郎,73.6,B,71.3,B,-2.3,,,,
石井 一成,71.8,B,69.9,C,-1.9,,,,
古賀 優大,43.9,E,42,E,-1.9,,,,
山本 祐大,62.6,C,64.3,C,1.7,,,,
清宮 幸太郎,61.5,C,59.8,D,-1.7,,,,
小幡 竜平,70.7,B,69.1,C,-1.6,,,,
鈴木 大地,62.5,C,64.1,C,1.6,,,,
田宮 裕涼,67.3,C,68.9,C,1.6,,,,
細川 成也,56.9,D,55.5,D,-1.4,,,,
海野 隆司,61.9,C,63,C,1.1,,,,
髙部 瑛斗,93.7,S,92.7,S,-1,,,,
大島 洋平,76.2,B,77.2,B,1,,,,
柳田 悠岐,62.6,C,61.6,C,-1,,,,
林 琢真,68.4,C,67.7,C,-0.7,,,,
安田 尚憲,49.3,E,48.6,E,-0.7,,,,
山口 航輝,54.1,D,53.4,D,-0.7,,,,
丸山 和郁,76.4,B,77.1,B,0.7,,,,
モンテロ,46.5,E,47,E,0.5,,,,
紅林 弘太郎,54.7,D,54.3,D,-0.4,,,,
ファビアン,51.5,D,51.1,D,-0.4,,,,
岸田 行倫,58.1,D,58.5,D,0.4,,,,
近藤 健介,57.2,D,57.6,D,0.4,,,,
西川 龍馬,62.2,C,62.5,C,0.3,,,,
正木 智也,61.3,C,61.6,C,0.3,,,,
柳町 達,66.6,C,66.9,C,0.3,,,,
石川 昂弥,53.8,D,53.6,D,-0.2,,,,
村林 一輝,65.9,C,66.1,C,0.2,,,,
山川 穂高,43.3,E,43.1,E,-0.2,,,,
岡林 勇希,86.1,A,86.2,A,0.1,,,,
土田 龍空,81.5,A,81.6,A,0.1,,,,
栗原 陵矢,59.9,D,59.8,D,-0.1,,,,
蝦名 達夫,71.2,B,71.2,B,0,,,,
岩田 幸宏,100,S,100,S,0,,,,
並木 秀尊,100,S,100,S,0,,,,
