player,sprint_kmh,priority,evidence_tier,baseline_rating,final_rating,final_low,final_high,confidence,decision_class
周東 佑京,35.0,P1,HISTORICAL_PROFILE_HINT,96.042,96,91,100,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
村林 一輝,34.5,P1,HISTORICAL_PROFILE_HINT,91.555,92,87,97,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
並木 秀尊,33.8,P1,HISTORICAL_PROFILE_HINT,85.272,85,80,90,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
岩田 幸宏,33.6,P2,SPRINT_ONLY,83.477,83,79,87,MEDIUM,CURRENT_SPRINT_CONFIRMED
髙部 瑛斗,33.6,P1,HISTORICAL_PROFILE_HINT,83.477,83,78,88,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
牧原 大成,33.5,P1,HISTORICAL_PROFILE_HINT,82.58,83,78,88,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
田中 幹也,33.5,P1,HISTORICAL_PROFILE_HINT,82.58,83,78,88,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
小川 龍成,33.4,P2,SPRINT_ONLY,81.682,82,78,86,MEDIUM,CURRENT_SPRINT_CONFIRMED
村松 開人,33.4,P2,SPRINT_ONLY,81.682,82,78,86,MEDIUM,CURRENT_SPRINT_CONFIRMED
梶原 昂希,33.4,P1,HISTORICAL_PROFILE_HINT,81.682,82,77,87,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
水野 達稀,33.4,P1,SPRINT_ONLY,81.682,82,77,87,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
佐々木 俊輔,33.0,P2,SPRINT_ONLY,78.092,78,74,82,MEDIUM,CURRENT_SPRINT_CONFIRMED
