player,player_id,team,sprint_kmh,final_rating,final_low,final_high,confidence,primary_evidence_class,secondary_evidence_class,anchor_status,sns_classification,video_classification,temporal_status,metric_conflict,decision_class,short_rationale,prior_provisional_baseline_rating,prior_provisional_rounded_rating,point_change_vs_prior_provisional,prior_comparison_status,rating_derivation
中川 圭太,51255138,オリックス・バファローズ,32.6,75,68,82,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,74.502,75,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
太田 椋,91395138,オリックス・バファローズ,31.7,66,59,73,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,66.424,66,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
宗 佑磨,11815130,オリックス・バファローズ,31.9,68,61,75,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.9km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,68.219,68,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
来田 涼斗,51955153,オリックス・バファローズ,32.4,73,66,80,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,72.707,73,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
森 友哉,91495139,オリックス・バファローズ,31.2,62,55,69,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.2km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,61.937,62,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
紅林 弘太郎,91995151,オリックス・バファローズ,30.7,57,50,64,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,57.449,57,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
若月 健矢,41645139,オリックス・バファローズ,30.7,57,50,64,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,57.449,57,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
西川 龍馬,71475132,オリックス・バファローズ,31.1,61,54,68,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.1km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,61.039,61,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
西野 真弘,91495130,オリックス・バファローズ,31.6,66,59,73,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,SNS_TIEBREAK,INSUFFICIENT_SNS_EVIDENCE,VIDEO_INCONCLUSIVE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 31.6km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,65.527,66,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
カリステ,93795157,中日ドラゴンズ,31.3,63,56,70,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_DIRECT_T90_CONTEXT_ONLY,SNS_TIEBREAK,INSUFFICIENT_SNS_EVIDENCE,VIDEO_INCONCLUSIVE,HISTORICAL_DIRECT_T90_2017_CONTEXT_ONLY,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_HISTORICAL_DIRECT_CONTEXT,2026 NPB+ 31.3km/hの同一100人内順位を現行中心として明示affirm。公式直接T90（2017年）は歴史文脈のみで、現行点を自動補正しない。動画はusable current full-effort play=0で、数値入力にしていない。,62.834,63,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
