priority,roster_row_id,player_id,player,team,npb_plus_sprint_speed_kmh,PA,exposure_class,evidence_tier,temporal_candidate,identity_status,history_join_status,pairwise_confidence,conflict_flags,review_reason,required_human_action
P0,npbplus-2026-031,71275157,友杉 篤輝,千葉ロッテマリーンズ,32.7,270,SOURCE_PA_200_399,STANDARDIZED_SHORT_DISTANCE_PRIOR,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,MODERATE,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY"",""STANDARDIZED_50M_CURRENT_NPBPLUS_DIRECTION_CONFLICT""]",Comparable shared electronic 50m evidence and 2026 NPB+ ordinal direction disagree; final human review can materially change the assessment.,Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P0,npbplus-2026-071,91695157,林 琢真,横浜DeNAベイスターズ,32,104,SOURCE_PA_100_199,STANDARDIZED_SHORT_DISTANCE_PRIOR,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,MODERATE,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY"",""STANDARDIZED_50M_CURRENT_NPBPLUS_DIRECTION_CONFLICT""]",Comparable shared electronic 50m evidence and 2026 NPB+ ordinal direction disagree; final human review can materially change the assessment.,Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-003,11815130,宗 佑磨,オリックス・バファローズ,31.9,388,SOURCE_PA_200_399,SPRINT_ONLY,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,MISSING_EXACT_ID_MAPPING,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""POWERPRO_TEMPORAL_QA_UNAVAILABLE_OR_CONFLICTED_ID""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-004,51955153,来田 涼斗,オリックス・バファローズ,32.4,183,SOURCE_PA_100_199,HISTORICAL_PROFILE_HINT,TEMPORAL_UNKNOWN,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-005,91495139,森 友哉,オリックス・バファローズ,31.2,250,SOURCE_PA_200_399,HISTORICAL_PROFILE_HINT,TEMPORAL_UNKNOWN,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-009,91495130,西野 真弘,オリックス・バファローズ,31.6,85,SOURCE_PA_50_99,SPRINT_ONLY,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-010,93795157,カリステ,中日ドラゴンズ,31.3,67,SOURCE_PA_50_99,STANDARDIZED_SHORT_DISTANCE_PRIOR,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-011,51455153,土田 龍空,中日ドラゴンズ,31.2,43,SOURCE_PA_25_49,SPRINT_ONLY,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-012,01305131,大島 洋平,中日ドラゴンズ,31.7,66,SOURCE_PA_50_99,SPRINT_ONLY,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-013,81585151,岡林 勇希,中日ドラゴンズ,32.5,235,SOURCE_PA_200_399,HISTORICAL_PROFILE_HINT,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-014,31735132,木下 拓哉,中日ドラゴンズ,29.4,63,SOURCE_PA_50_99,SPRINT_ONLY,CURRENT_SUPPORTED,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
P1,npbplus-2026-017,21025157,田中 幹也,中日ドラゴンズ,33.5,247,SOURCE_PA_200_399,HISTORICAL_PROFILE_HINT,TEMPORAL_UNKNOWN,SOURCE_PLAYER_ID_PRESENT,EXACT_ID_TO_SUMMARY,LOW,"[""NPB_PLUS_SAMPLE_COUNT_OR_QUALIFIED_RUN_COUNT_NOT_PUBLISHED"",""PROTOCOL_OR_MEASUREMENT_YEAR_UNCERTAINTY""]","Moderate uncertainty requires review, but no documented comparable-evidence conflict is present.",Set final rating only after reviewing this packet; do not use game ratings or automatic PA adjustment.
