player,player_id,team,position,age,handedness,npb_plus_sprint_speed_kmh,npb_plus_ordinal_band,npb_plus_cohort_rank,npb_plus_cohort_size,exposure,direct_t90,direct_t90_measurement_year,standardized_short_distance_evidence,standardized_30m,standardized_50m,cohort,cohort_ordinal,historical_physical_evidence,measurement_era,anchor_relative_status,acceleration_top_speed_classification,classification_basis,physical_conflict_flags,temporal_comparison_boundary,context_only_hp_to_1b,physical_only_sns_queue_status
中川 圭太,51255138,オリックス・バファローズ,,,,32.6,B2_UPPER_COHORT_OCTILE,23,100,"{""PA"":366,""games"":93,""pa_bucket"":""PA_200_399"",""full_effort_run_proxy_count"":41,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":23,""current_npb_plus_size"":100,""current_npb_plus_band"":""B2_UPPER_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}","[{""metric"":""hp_to_1b"",""seconds"":4.01,""value"":null,""unit"":null,""measurement_year"":2021,""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""2021年3月26日～4月末、右打者の内野安打一塁到達"",""timing_method"":""reported_hp_to_1b_unspecified_origin"",""start_protocol"":""swing_to_run"",""source_tier"":""B"",""usage_class"":""CONTEXT_ONLY"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""existing_hp_to_1b_中川圭太_2021_4.01_6"",""source_name"":""パ・リーグ.com"",""source_url"":""https://pacificleague.com/news/32690"",""reason"":null}]",NOT_QUEUED
太田 椋,91395138,オリックス・バファローズ,,,,31.7,B4_MID_UPPER_COHORT_OCTILE,42,100,"{""PA"":347,""games"":85,""pa_bucket"":""PA_200_399"",""full_effort_run_proxy_count"":30,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":42,""current_npb_plus_size"":100,""current_npb_plus_band"":""B4_MID_UPPER_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
宗 佑磨,11815130,オリックス・バファローズ,,,,31.9,B4_MID_UPPER_COHORT_OCTILE,38,100,"{""PA"":388,""games"":96,""pa_bucket"":""PA_200_399"",""full_effort_run_proxy_count"":41,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":38,""current_npb_plus_size"":100,""current_npb_plus_band"":""B4_MID_UPPER_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
来田 涼斗,51955153,オリックス・バファローズ,,,,32.4,B3_UPPER_MID_COHORT_OCTILE,28,100,"{""PA"":183,""games"":62,""pa_bucket"":""PA_100_199"",""full_effort_run_proxy_count"":24,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":28,""current_npb_plus_size"":100,""current_npb_plus_band"":""B3_UPPER_MID_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}","[{""metric"":""50m"",""seconds"":5.9,""value"":null,""unit"":null,""measurement_year"":""unknown"",""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""unknown"",""timing_method"":""unknown"",""start_protocol"":""unknown"",""source_tier"":""B"",""usage_class"":""HISTORICAL_PROFILE_HINT"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""kita_50m_profile"",""source_name"":""日刊スポーツ"",""source_url"":""https://www.nikkansports.com/baseball/column/baseballcountry/news/202003140000249.html"",""reason"":null}]","[""unknown""]","{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
森 友哉,91495139,オリックス・バファローズ,,,,31.2,B5_MID_LOWER_COHORT_OCTILE,62,100,"{""PA"":250,""games"":65,""pa_bucket"":""PA_200_399"",""full_effort_run_proxy_count"":25,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":62,""current_npb_plus_size"":100,""current_npb_plus_band"":""B5_MID_LOWER_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}","[{""metric"":""50m"",""seconds"":6.2,""value"":null,""unit"":null,""measurement_year"":""unknown"",""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""unknown"",""timing_method"":""unknown"",""start_protocol"":""unknown"",""source_tier"":""B"",""usage_class"":""HISTORICAL_PROFILE_HINT"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""mori_50m_profile"",""source_name"":""日刊スポーツ"",""source_url"":""https://www.nikkansports.com/baseball/professional/draft/2013/news/p-bb-tp0-20131209-1228895.html"",""reason"":null}]","[""unknown""]","{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
紅林 弘太郎,91995151,オリックス・バファローズ,,,,30.7,B6_LOWER_MID_COHORT_OCTILE,72,100,"{""PA"":365,""games"":95,""pa_bucket"":""PA_200_399"",""full_effort_run_proxy_count"":28,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":72,""current_npb_plus_size"":100,""current_npb_plus_band"":""B6_LOWER_MID_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
若月 健矢,41645139,オリックス・バファローズ,,,,30.7,B6_LOWER_MID_COHORT_OCTILE,73,100,"{""PA"":244,""games"":80,""pa_bucket"":""PA_200_399"",""full_effort_run_proxy_count"":20,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":73,""current_npb_plus_size"":100,""current_npb_plus_band"":""B6_LOWER_MID_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
西川 龍馬,71475132,オリックス・バファローズ,,,,31.1,B6_LOWER_MID_COHORT_OCTILE,65,100,"{""PA"":436,""games"":102,""pa_bucket"":""PA_400_PLUS"",""full_effort_run_proxy_count"":57,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":65,""current_npb_plus_size"":100,""current_npb_plus_band"":""B6_LOWER_MID_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""ANCHOR_RESOLVED_MODERATE"",""status_reasons"":[""CURRENT_NPB_PLUS_ORDINAL_HAS_FULL_100_ROSTER_BRACKETING_BUT_PUBLIC_SAMPLE_COUNTS_ARE_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],NOT_QUEUED
西野 真弘,91495130,オリックス・バファローズ,,,,31.6,B4_MID_UPPER_COHORT_OCTILE,49,100,"{""PA"":85,""games"":29,""pa_bucket"":""PA_50_99"",""full_effort_run_proxy_count"":15,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}",[],[],[],[],[],"[""npb_plus_2026_current_roster_100""]","{""current_npb_plus_rank"":49,""current_npb_plus_size"":100,""current_npb_plus_band"":""B4_MID_UPPER_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}",[],[],"{""status"":""SNS_TIEBREAK"",""status_reasons"":[""SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED""],""high_confidence_anchor_count"":0,""same_cohort_order_conflict_count"":0}",INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,NO_DIRECTIONALLY_COMPARABLE_SHORT_DISTANCE_EVIDENCE,"[""INSUFFICIENT_SHORT_DISTANCE_EVIDENCE""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":0,""known_measurement_years"":[],""known_non_2026_measurement_years"":[],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":false,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],RETAINED_FROM_EXISTING_PHYSICAL_QUEUE
カリステ,93795157,中日ドラゴンズ,,,,31.3,B5_MID_LOWER_COHORT_OCTILE,59,100,"{""PA"":67,""games"":26,""pa_bucket"":""PA_50_99"",""full_effort_run_proxy_count"":7,""npb_plus_sample_count"":null,""npb_plus_qualified_run_count"":null,""data_completeness"":""partial_tier_A_C_unavailable""}","[{""metric"":""T90ft"",""seconds"":3.94,""value"":null,""unit"":null,""measurement_year"":2017,""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""seasonal qualified MLB runs"",""timing_method"":""Statcast official leaderboard"",""start_protocol"":""qualified home-to-first runs extrapolated to 90ft"",""source_tier"":""A"",""usage_class"":""HISTORICAL_PROFILE_HINT"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""mlb_statcast_running_splits_カリステ_2017"",""source_name"":""Baseball Savant / Statcast"",""source_url"":""https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2017"",""reason"":null}]",[2017],"[{""metric"":""T10ft"",""seconds"":0.87,""value"":null,""unit"":null,""measurement_year"":2017,""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""seasonal qualified MLB runs"",""timing_method"":""Statcast official leaderboard"",""start_protocol"":""qualified home-to-first runs extrapolated to 90ft"",""source_tier"":""A"",""usage_class"":""STANDARDIZED_PRIOR"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""mlb_statcast_running_splits_カリステ_2017"",""source_name"":""Baseball Savant / Statcast"",""source_url"":""https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2017"",""reason"":null},{""metric"":""T30ft"",""seconds"":1.82,""value"":null,""unit"":null,""measurement_year"":2017,""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""seasonal qualified MLB runs"",""timing_method"":""Statcast official leaderboard"",""start_protocol"":""qualified home-to-first runs extrapolated to 90ft"",""source_tier"":""A"",""usage_class"":""STANDARDIZED_PRIOR"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""mlb_statcast_running_splits_カリステ_2017"",""source_name"":""Baseball Savant / Statcast"",""source_url"":""https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2017"",""reason"":null}]",[],[],"[""npb_plus_2026_current_roster_100"",""seasonal qualified MLB runs""]","{""current_npb_plus_rank"":59,""current_npb_plus_size"":100,""current_npb_plus_band"":""B5_MID_LOWER_COHORT_OCTILE"",""basis"":""WITHIN_SAME_METRIC_SAME_COHORT_ONLY""}","[{""metric"":""T90ft"",""seconds"":3.94,""value"":null,""unit"":null,""measurement_year"":2017,""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""seasonal qualified MLB runs"",""timing_method"":""Statcast official leaderboard"",""start_protocol"":""qualified home-to-first runs extrapolated to 90ft"",""source_tier"":""A"",""usage_class"":""HISTORICAL_PROFILE_HINT"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""mlb_statcast_running_splits_カリステ_2017"",""source_name"":""Baseball Savant / Statcast"",""source_url"":""https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2017"",""reason"":null},{""metric"":""MLB_Sprint_Speed"",""seconds"":null,""value"":29.3,""unit"":""ft/s"",""measurement_year"":2017,""measurement_date"":null,""measurement_year_inferred"":false,""cohort"":""seasonal qualified MLB runs"",""timing_method"":""Statcast official leaderboard"",""start_protocol"":""qualified home-to-first runs extrapolated to 90ft"",""source_tier"":""A"",""usage_class"":""HISTORICAL_PROFILE_HINT"",""numeric_t90_usable"":false,""same_measurement_cluster_id"":""mlb_statcast_running_splits_カリステ_2017"",""source_name"":""Baseball Savant / Statcast"",""source_url"":""https://baseballsavant.mlb.com/leaderboard/sprint_speed?year=2017&position=&team=&min=10"",""reason"":null}]",[2017],"{""status"":""SNS_TIEBREAK"",""status_reasons"":[""SOURCE_PA_UNDER_100_AND_QUALIFIED_RUN_COUNT_NOT_PUBLISHED""],""high_confidence_anchor_count"":1,""same_cohort_order_conflict_count"":0}",TEMPORAL_CONSTRUCT_CONFLICT,V2_KNOWN_NON_2026_COMPARISON_MEASUREMENT,"[""TEMPORAL_CONSTRUCT_CONFLICT""]","{""current_signal_year"":2026,""comparison_relevant_evidence_count"":3,""known_measurement_years"":[2017],""known_non_2026_measurement_years"":[2017],""unknown_measurement_era_count"":0,""has_known_non_2026_measurement"":true,""has_unknown_measurement_era"":false,""all_comparison_relevant_measurements_current_2026"":false}",[],RETAINED_FROM_EXISTING_PHYSICAL_QUEUE
