player,player_id,team,current_npb_plus_speed_kmh,current_band,resolution_classification,video_question,reason,video_collected_or_analyzed
西野 真弘,91495130,オリックス・バファローズ,31.6,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,西野 真弘: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
カリステ,93795157,中日ドラゴンズ,31.3,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,カリステ: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
土田 龍空,51455153,中日ドラゴンズ,31.2,B6_LOWER_MID_COHORT_OCTILE,MIXED_EVIDENCE_REMAINS,土田 龍空: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、相反する同時代証拠のどちらが現在の身体的走速度をより良く表すかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
大島 洋平,01305131,中日ドラゴンズ,31.7,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,大島 洋平: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
友杉 篤輝,71275157,千葉ロッテマリーンズ,32.7,B2_UPPER_COHORT_OCTILE,METRIC_CONSTRUCT_CONFLICT_REMAINS,友杉 篤輝: 2026年の同条件・全力直線走を複数プレーで確認し、現在のNPB+順序と過去年の別計測constructの差が、現時点の身体的走速度差として残るかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
外崎 修汰,41245130,埼玉西武ライオンズ,32.3,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,外崎 修汰: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
矢野 雅哉,93395153,広島東洋カープ,30.7,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,矢野 雅哉: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
野間 峻祥,01405130,広島東洋カープ,31.7,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,野間 峻祥: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
中村 悠平,51255118,東京ヤクルトスワローズ,30.4,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_EVIDENCE_REMAINS,中村 悠平: 2025–2026年の一歩目から約90ftまでの全力直線走を複数プレーで確認し、現行NPB+ bandを支持・一段速い・一段遅いのいずれかだけを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
林 琢真,91695157,横浜DeNAベイスターズ,32,B3_UPPER_MID_COHORT_OCTILE,METRIC_CONSTRUCT_CONFLICT_REMAINS,林 琢真: 2026年の同条件・全力直線走を複数プレーで確認し、現在のNPB+順序と過去年の別計測constructの差が、現時点の身体的走速度差として残るかを判定する。,No qualifying evidence resolves the remaining current physical-speed uncertainty without video review.,NO
