pair_id,speed_threshold_kmh,age_band,age_max_gap_years,group_comparison,left_player_id,left_player,left_team,left_group,left_position,left_age,left_sprint_kmh,left_powerpro_2026,left_residual_a,left_residual_b,right_player_id,right_player,right_team,right_group,right_position,right_age,right_sprint_kmh,right_powerpro_2026,right_residual_a,right_residual_b,sprint_speed_gap_kmh,age_gap_years,powerpro_left_minus_right,residual_a_left_minus_right,residual_b_left_minus_right
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0001,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51255138,中川 圭太,オリックス・バファローズ,MIDDLE_PREMIUM,CF,,32.6,74,1,1,21125134,石井 一成,埼玉西武ライオンズ,MIDDLE_NEUTRAL,2B,,32.6,79,-4,-4,0,,-5,5,5
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0002,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51255138,中川 圭太,オリックス・バファローズ,MIDDLE_PREMIUM,CF,,32.6,74,1,1,73375134,吉川 尚輝,読売ジャイアンツ,MIDDLE_NEUTRAL,2B,,32.5,80,-6,-6,0.1,,-6,7,7
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0003,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51955153,来田 涼斗,オリックス・バファローズ,MIDDLE_PREMIUM,RF,,32.4,85,-12,-12,41245130,外崎 修汰,埼玉西武ライオンズ,MIDDLE_NEUTRAL,2B,,32.3,68,4,4,0.1,,17,-16,-16
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0004,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51955153,来田 涼斗,オリックス・バファローズ,MIDDLE_PREMIUM,RF,,32.4,85,-12,-12,73375134,吉川 尚輝,読売ジャイアンツ,MIDDLE_NEUTRAL,2B,,32.5,80,-6,-6,0.1,,5,-6,-6
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0005,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,91995151,紅林 弘太郎,オリックス・バファローズ,MIDDLE_PREMIUM,SS,,30.7,56,1,1,41645136,藤岡 裕大,千葉ロッテマリーンズ,MIDDLE_NEUTRAL,2B,,30.8,65,-7,-7,0.1,,-9,8,8
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0006,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01305131,大島 洋平,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,31.7,74,-8,-8,91395138,太田 椋,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,2,0,,10,-10,-10
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0007,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01305131,大島 洋平,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,31.7,74,-8,-8,91495130,西野 真弘,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.6,76,-10,-10,0.1,,-2,2,2
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0008,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01305131,大島 洋平,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,31.7,74,-8,-8,31435157,奈良間 大己,北海道日本ハムファイターズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,3,0,,10,-10,-11
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0009,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01305131,大島 洋平,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,31.7,74,-8,-8,61565135,菊池 涼介,広島東洋カープ,MIDDLE_NEUTRAL,2B,,31.8,72,-5,-5,0.1,,2,-3,-3
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0010,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01305131,大島 洋平,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,31.7,74,-8,-8,13115153,牧 秀悟,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,31.6,67,-1,-1,0.1,,7,-7,-7
