player,player_id,team,pre_video_classification,video_classification,evidence_strength,discovered_video_count,accepted_video_source_count,usable_current_full_effort_play_count,unresolved_reason,next_step
西野 真弘,91495130,オリックス・バファローズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
カリステ,93795157,中日ドラゴンズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
土田 龍空,51455153,中日ドラゴンズ,MIXED_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,WEAK,1,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
大島 洋平,01305131,中日ドラゴンズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
友杉 篤輝,71275157,千葉ロッテマリーンズ,METRIC_CONSTRUCT_CONFLICT_REMAINS,VIDEO_INCONCLUSIVE,WEAK,1,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
外崎 修汰,41245130,埼玉西武ライオンズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,3,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
矢野 雅哉,93395153,広島東洋カープ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,3,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
野間 峻祥,01405130,広島東洋カープ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,2,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
中村 悠平,51255118,東京ヤクルトスワローズ,INSUFFICIENT_EVIDENCE_REMAINS,VIDEO_INCONCLUSIVE,NONE,1,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
林 琢真,91695157,横浜DeNAベイスターズ,METRIC_CONSTRUCT_CONFLICT_REMAINS,VIDEO_INCONCLUSIVE,WEAK,1,0,0,NO_QUALIFYING_MULTIPLE_CURRENT_FULL_EFFORT_PHYSICAL_VIDEO_OBSERVATIONS,RETAIN_UNRESOLVED_NO_NUMERIC_OVERRIDE
