player,player_id,team,powerpro_match_status,matched_powerpro_roster_name,powerpro_2026_speed,rounded_blind_v3_baseline,provisional_final_freeze,residual_a_top_speed_baseline_minus_powerpro,residual_b_provisional_freeze_minus_powerpro,abs_residual_a,abs_residual_b,high_discrepancy_residual_a,high_discrepancy_residual_b,high_discrepancy_any_residual,primary_high_discrepancy_residual,external_qa_label,physical_support_status,physical_basis,stage1_current_npb_plus_cohort_rank,stage1_current_npb_plus_band,stage1_acceleration_classification,stage1_anchor_relative_status,stage1_measurement_era,stage1_direct_t90_missingness,stage1_standardized_short_distance_missingness,exclusion_note
中川 圭太,51255138,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,中川圭,74,75,75,1,1,1,1,false,false,false,,,,,23,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
太田 椋,91395138,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,太田,64,66,66,2,2,2,2,false,false,false,,,,,42,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
宗 佑磨,11815130,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,宗,76,68,68,-8,-8,8,8,false,false,false,,,,,38,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
来田 涼斗,51955153,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,来田,85,73,73,-12,-12,12,12,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,28,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
森 友哉,91495139,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,森友,65,62,62,-3,-3,3,3,false,false,false,,,,,62,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
紅林 弘太郎,91995151,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,紅林,56,57,57,1,1,1,1,false,false,false,,,,,72,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
若月 健矢,41645139,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,若月,48,57,57,9,9,9,9,false,false,false,,,,,73,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
西川 龍馬,71475132,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,西川,72,61,61,-11,-11,11,11,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,65,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
西野 真弘,91495130,オリックス・バファローズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,西野,76,66,66,-10,-10,10,10,false,false,false,,,,,49,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
カリステ,93795157,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,カリステ,82,63,64,-19,-18,19,18,true,true,true,B,POWERPRO_HIGH_BUT_PHYSICAL_CONFLICTED,CONFLICTED,TEMPORAL_CONSTRUCT_CONFLICT,59,B5_MID_LOWER_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,SNS_TIEBREAK,[2017],PRESENT,PRESENT,
