player,team,player_id,powerpro_match_status,powerpro_2026_speed,blind_v3_rating_unrounded,blind_v3_rating_rounded,final_freeze_rating,residual_a_rounded_blind_minus_powerpro,residual_b_final_freeze_minus_powerpro,npb_plus_top_speed_kmh,PA,full_effort_run_proxy_count,hp_to_1b_sec_current_npb_plus,primary_position,position_group,position_match_status,acceleration_subset_member,acceleration_classification,acceleration_classification_basis,npb_plus_exit_velo_max,npb_plus_hard_hit_pct,curated_historical_hp_to_1b_present
中川 圭太,オリックス・バファローズ,51255138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,74,74.502,75,75,1,1,32.6,366,41,4.12,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.8,27.6,true
太田 椋,オリックス・バファローズ,91395138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,64,66.424,66,66,2,2,31.7,347,30,4.24,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.4,36.8,false
宗 佑磨,オリックス・バファローズ,11815130,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,76,68.219,68,68,-8,-8,31.9,388,41,4.1,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,188,33.3,false
来田 涼斗,オリックス・バファローズ,51955153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,85,72.707,73,73,-12,-12,32.4,183,24,3.9,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.4,29,false
森 友哉,オリックス・バファローズ,91495139,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,65,61.937,62,62,-3,-3,31.2,250,25,4.16,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.4,32.2,false
紅林 弘太郎,オリックス・バファローズ,91995151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,56,57.449,57,57,1,1,30.7,365,28,4.4,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.1,40.2,false
若月 健矢,オリックス・バファローズ,41645139,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,48,57.449,57,57,9,9,30.7,244,20,4.06,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174,34.3,false
西川 龍馬,オリックス・バファローズ,71475132,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,72,61.039,61,61,-11,-11,31.1,436,57,4.14,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.2,32.7,false
西野 真弘,オリックス・バファローズ,91495130,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,76,65.527,66,66,-10,-10,31.6,85,15,4.18,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,163.5,14.5,false
カリステ,中日ドラゴンズ,93795157,EXACT_TEAM_NORMALIZED_NAME_MATCH,82,62.834,63,64,-19,-18,31.3,67,7,4.56,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.3,58.5,false
土田 龍空,中日ドラゴンズ,51455153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,66,61.937,62,62,-4,-4,31.2,43,3,4.15,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.5,22.2,false
