player,player_id,team,queue_change,old_queue_member,v2_queue_member,stage1_frozen_queue_source_member,stage1_frozen_queue_source_change,stage1_frozen_queue_source_reason,reason_codes,stage1_pa,stage1_pa_bucket,stage1_current_signal_missingness,stage1_acceleration_classification,stage1_anchor_relative_status,stage1_measurement_era,stage1_direct_t90_missingness,stage1_standardized_short_distance_missingness,external_comparison_fields_omitted
西野 真弘,91495130,オリックス・バファローズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",85,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
梶原 昂希,51555155,横浜DeNAベイスターズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",73,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
筒香 嘉智,41945131,横浜DeNAベイスターズ,added,false,true,true,added,ADDED_FOR_TEMPORAL_CONSTRUCT_CONFLICT,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]",240,PA_200_399,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2022],PRESENT,PRESENT,true
林 琢真,91695157,横浜DeNAベイスターズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT"",""ANCHOR_RELATIVE_UNRESOLVED""]",104,PA_100_199,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,SNS_TIEBREAK,[2022],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,PRESENT,true
モンテロ,53955150,広島東洋カープ,added,false,true,true,added,ADDED_FOR_TEMPORAL_CONSTRUCT_CONFLICT,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]",251,PA_200_399,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_CONTEXT_HIGH_EVIDENCE,[2024],PRESENT,PRESENT,true
秋山 翔吾,31135133,広島東洋カープ,added,false,true,true,added,ADDED_FOR_TEMPORAL_CONSTRUCT_CONFLICT,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]",134,PA_100_199,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2021],PRESENT,PRESENT,true
野間 峻祥,01405130,広島東洋カープ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",86,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
矢野 雅哉,93395153,広島東洋カープ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",58,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
梅野 隆太郎,21325139,阪神タイガース,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",71,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
外崎 修汰,41245130,埼玉西武ライオンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",69,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
