player,player_id,team,status,physical_queue_reason_codes,targeted_evidence_types,player_specific_injury_recovery_measurement,rationale,collection_instruction
西野 真弘,91495130,オリックス・バファローズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
梶原 昂希,51555155,横浜DeNAベイスターズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
筒香 嘉智,41945131,横浜DeNAベイスターズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
林 琢真,91695157,横浜DeNAベイスターズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
モンテロ,53955150,広島東洋カープ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
秋山 翔吾,31135133,広島東洋カープ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
野間 峻祥,01405130,広島東洋カープ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
矢野 雅哉,93395153,広島東洋カープ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
梅野 隆太郎,21325139,阪神タイガース,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
外崎 修汰,41245130,埼玉西武ライオンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
