player,team,packet_id,case_type,consensus_classification,decision_constraint,reason,accepted_independent_sns_source_count,minimum_independent_source_count,comparison_anchors
西野 真弘,オリックス・バファローズ,P009,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,独立SNSの速度観察不足。,0,2,"{""faster"":{""player"":""度会 隆輝"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""slower"":{""player"":""秋山 翔吾"",""value"":31.6,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""宗 佑磨"",""value"":31.9},{""player"":""山口 航輝"",""value"":31.9},{""player"":""モンテロ"",""value"":31.9}]}"
カリステ,中日ドラゴンズ,P010,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,SNS最低件数に未達。,0,2,"{""faster"":{""player"":""松本 剛"",""value"":31.4,""band"":""B5_MID_LOWER_COHORT_OCTILE""},""slower"":{""player"":""佐藤 都志也"",""value"":31.3,""band"":""B5_MID_LOWER_COHORT_OCTILE""},""same_band"":[{""player"":""長岡 秀樹"",""value"":31.6},{""player"":""牧 秀悟"",""value"":31.6},{""player"":""小園 海斗"",""value"":31.5}]}"
土田 龍空,中日ドラゴンズ,P011,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,現在SNSが1起源のみ。,1,2,"{""faster"":{""player"":""森 友哉"",""value"":31.2,""band"":""B5_MID_LOWER_COHORT_OCTILE""},""slower"":{""player"":""近藤 健介"",""value"":31.2,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""近藤 健介"",""value"":31.2},{""player"":""西川 龍馬"",""value"":31.1},{""player"":""ポランコ"",""value"":31.1}]}"
大島 洋平,中日ドラゴンズ,P012,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,SNS最低件数に未達。,0,2,"{""faster"":{""player"":""太田 椋"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""slower"":{""player"":""奈良間 大己"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""宗 佑磨"",""value"":31.9},{""player"":""山口 航輝"",""value"":31.9},{""player"":""モンテロ"",""value"":31.9}]}"
木下 拓哉,中日ドラゴンズ,P014,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,同一出来事群のみ。,1,2,"{""faster"":{""player"":""高橋 周平"",""value"":29.5,""band"":""B8_SLOWEST_COHORT_OCTILE""},""slower"":{""player"":""山川 穂高"",""value"":29.4,""band"":""B8_SLOWEST_COHORT_OCTILE""},""same_band"":[{""player"":""海野 隆司"",""value"":30.3},{""player"":""筒香 嘉智"",""value"":30.2},{""player"":""坂本 誠志郎"",""value"":30.2}]}"
友杉 篤輝,千葉ロッテマリーンズ,P031,TYPE_B_PHYSICAL_ORDER_CONFLICT,INSUFFICIENT_SNS_EVIDENCE,still unresolved,同一映像以外のSNS不足。,0,2,"{""faster"":{""player"":""郡司 裕也"",""value"":32.7,""band"":""B2_UPPER_COHORT_OCTILE""},""slower"":{""player"":""中川 圭太"",""value"":32.6,""band"":""B2_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""福永 裕基"",""value"":33},{""player"":""藤原 恭大"",""value"":33},{""player"":""滝澤 夏央"",""value"":33}]}"
岡 大海,千葉ロッテマリーンズ,P035,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,走塁結果を除外するとSNS根拠なし。,0,2,"{""faster"":{""player"":""中川 圭太"",""value"":32.6,""band"":""B2_UPPER_COHORT_OCTILE""},""slower"":{""player"":""石井 一成"",""value"":32.6,""band"":""B2_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""福永 裕基"",""value"":33},{""player"":""藤原 恭大"",""value"":33},{""player"":""滝澤 夏央"",""value"":33}]}"
藤岡 裕大,千葉ロッテマリーンズ,P037,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,有効な現在SNSなし。,0,2,"{""faster"":{""player"":""山本 祐大"",""value"":31,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""slower"":{""player"":""サンタナ"",""value"":30.8,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""土田 龍空"",""value"":31.2},{""player"":""近藤 健介"",""value"":31.2},{""player"":""西川 龍馬"",""value"":31.1}]}"
外崎 修汰,埼玉西武ライオンズ,P040,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,widen uncertainty,SNS不足と時点の混在。,0,2,"{""faster"":{""player"":""丸山 和郁"",""value"":32.4,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""slower"":{""player"":""塩見 泰隆"",""value"":32.3,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""岡林 勇希"",""value"":32.5},{""player"":""吉川 尚輝"",""value"":32.5},{""player"":""来田 涼斗"",""value"":32.4}]}"
矢野 雅哉,広島東洋カープ,P049,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,widen uncertainty,速い方向だがSNS1件。,0,2,"{""faster"":{""player"":""若月 健矢"",""value"":30.7,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""slower"":{""player"":""石川 昂弥"",""value"":30.6,""band"":""B6_LOWER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""土田 龍空"",""value"":31.2},{""player"":""近藤 健介"",""value"":31.2},{""player"":""西川 龍馬"",""value"":31.1}]}"
野間 峻祥,広島東洋カープ,P052,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,補助記事はあるがSNS1件。,1,2,"{""faster"":{""player"":""野村 佑希"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""slower"":{""player"":""度会 隆輝"",""value"":31.7,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""宗 佑磨"",""value"":31.9},{""player"":""山口 航輝"",""value"":31.9},{""player"":""モンテロ"",""value"":31.9}]}"
並木 秀尊,東京ヤクルトスワローズ,P054,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,再現不能な検索索引を除外。,1,2,"{""faster"":{""player"":""村林 一輝"",""value"":34.5,""band"":""B1_FASTEST_COHORT_OCTILE""},""slower"":{""player"":""名原 典彦"",""value"":33.7,""band"":""B1_FASTEST_COHORT_OCTILE""},""same_band"":[{""player"":""周東 佑京"",""value"":35},{""player"":""村林 一輝"",""value"":34.5},{""player"":""名原 典彦"",""value"":33.7}]}"
中村 悠平,東京ヤクルトスワローズ,P055,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,対象本人の有効SNSなし。,0,2,"{""faster"":{""player"":""森下 翔太"",""value"":30.5,""band"":""B7_LOWER_COHORT_OCTILE""},""slower"":{""player"":""今宮 健太"",""value"":30.4,""band"":""B7_LOWER_COHORT_OCTILE""},""same_band"":[{""player"":""古賀 悠斗"",""value"":30.6},{""player"":""坂倉 将吾"",""value"":30.6},{""player"":""佐野 恵太"",""value"":30.6}]}"
塩見 泰隆,東京ヤクルトスワローズ,P058,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,復帰後のSNS速度観察不足。,1,2,"{""faster"":{""player"":""外崎 修汰"",""value"":32.3,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""slower"":{""player"":""古賀 優大"",""value"":32.1,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""same_band"":[{""player"":""岡林 勇希"",""value"":32.5},{""player"":""吉川 尚輝"",""value"":32.5},{""player"":""来田 涼斗"",""value"":32.4}]}"
鈴木 大地,東北楽天ゴールデンイーグルス,P065,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,SNS1件で単発事象のみ。,1,2,"{""faster"":{""player"":""伏見 寅威"",""value"":29.1,""band"":""B8_SLOWEST_COHORT_OCTILE""},""slower"":null,""same_band"":[{""player"":""海野 隆司"",""value"":30.3},{""player"":""筒香 嘉智"",""value"":30.2},{""player"":""坂本 誠志郎"",""value"":30.2}]}"
林 琢真,横浜DeNAベイスターズ,P071,TYPE_B_PHYSICAL_ORDER_CONFLICT,METRIC_CONSTRUCT_CONFLICT,still unresolved,歴史的短距離値と現順位は別構成。,0,2,"{""faster"":{""player"":""板山 祐太郎"",""value"":32,""band"":""B3_UPPER_MID_COHORT_OCTILE""},""slower"":{""player"":""宗 佑磨"",""value"":31.9,""band"":""B4_MID_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""岡林 勇希"",""value"":32.5},{""player"":""吉川 尚輝"",""value"":32.5},{""player"":""来田 涼斗"",""value"":32.4}]}"
梶原 昂希,横浜DeNAベイスターズ,P072,TYPE_A_CURRENT_SAMPLE_INSTABILITY,INSUFFICIENT_SNS_EVIDENCE,still unresolved,SNS1件で現行最速帯を確定しない。,1,2,"{""faster"":{""player"":""小川 龍成"",""value"":33.4,""band"":""B1_FASTEST_COHORT_OCTILE""},""slower"":{""player"":""福永 裕基"",""value"":33,""band"":""B2_UPPER_COHORT_OCTILE""},""same_band"":[{""player"":""周東 佑京"",""value"":35},{""player"":""村林 一輝"",""value"":34.5},{""player"":""並木 秀尊"",""value"":33.8}]}"
