order	player	team	pp	pp_pct	estimate_pct	range_low_pct	range_high_pct	band	recommendation	strength	confidence	gap	physical_coverage	peak_z	accel_z	accel_conf	end_z	end_conf	S_z	game_z	community_z	peak_share	reason_code	supporting_lanes
1	中川 圭太	オリックス・バファローズ	74	0.7313	0.745	0.315	0.925	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.013700000000000045	0.5487985772099356	0.7888	-0.33908082925427124	0.22723329453318242	-0.33908082925427124	0.2687619628332696	0.3024	0.07193898767400832	0	0.782513176103175	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,S_context
2	太田 椋	オリックス・バファローズ	64	0.4599	0.485	0.085	0.805	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.02510000000000001	0.4	0.0703	0	0	0	0	-0.3607	-0.5565230883859592	0	0.25115881239379245	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
3	宗 佑磨	オリックス・バファローズ	0	0	0.605	0.165	0.865	AVERAGE	POWERPRO_TOO_LOW	PEAK_LED_CONCERN_ONLY	LOW	0.605	0.4	0.2299	0	0	0	0	-0.0636	0.1295561843486854	0	0.8610105442483019	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
4	来田 涼斗	オリックス・バファローズ	85	0.9251	0.695	0.205	0.925	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.23010000000000008	0.3553221594404618	0.6292	0.19271164556474088	0.024782115433464647	0.19271164556474088	0.06629174936807469	0.0855	0.07720593632560341	0	0.950261200072565	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
5	森 友哉	オリックス・バファローズ	65	0.509	0.335	0.015	0.795	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.174	0.3553221594404618	-0.329	-1.2526256961708133	0.024782115433464647	-1.2526256961708135	0.06629174936807469	-0.2777	-0.4733428682924486	0	0.5981576509163695	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,end_to_end_maintenance,S_context,game_context
6	紅林 弘太郎	オリックス・バファローズ	56	0.2481	0.215	0.005	0.685	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.03309999999999999	0.4	-0.7282	0	0	0	0	-0.4083	-0.4679474933377723	0	0.7813665183618227	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,S_context,game_context
7	若月 健矢	オリックス・バファローズ	48	0.1499	0.305	0.005	0.795	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.1551	0.328	-0.7282	0	0	0	0	0.0449	0.08525867817262338	0	0.9593927946069379	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
8	西川 龍馬	オリックス・バファローズ	72	0.6848	0.345	0.055	0.765	BELOW_AVERAGE	POWERPRO_TOO_HIGH_OR_STALE	PEAK_LED_CONCERN_ONLY	LOW	-0.3398	0.4	-0.4088	0	0	0	0	-0.0939	-0.04325627956244067	0	0.9276783383204584	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
9	西野 真弘	オリックス・バファローズ	76	0.7674	0.505	0.055	0.855	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.26239999999999997	0.328	-0.0096	0	0	0	0	-0.1197	-0.3886218839925645	0	0.09375202420947457	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	game_context
10	カリステ	中日ドラゴンズ	82	0.8579	0.565	0.085	0.885	AVERAGE	POWERPRO_TOO_HIGH_OR_STALE	PEAK_LED_CONCERN_ONLY	LOW	-0.29290000000000005	0.49361211089048823	-0.2491	0.5346700818521795	0.31674012411426833	0.7920508111613852	0.2353002455206925	0	0.18769459819744427	0	0.41479985338997205	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
11	土田 龍空	中日ドラゴンズ	66	0.5349	0.385	0.045	0.825	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.14990000000000003	0.328	-0.329	0	0	0	0	0.006	-1.1128928246357979	0	0.8723239077993843	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,game_context
12	大島 洋平	中日ドラゴンズ	74	0.7313	0.655	0.165	0.895	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.07629999999999992	0.45971044954604834	0.0703	0.2619598005984721	0.20077953090896106	0.26195980059847207	0.23825530091120006	0.755	1.7901188094156084	0	0.19410164316373907	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
13	岡林 勇希	中日ドラゴンズ	81	0.845	0.835	0.555	0.975	VERY_FAST	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.010000000000000009	0.43646848211401656	0.709	0.6744907594765952	0.03325723774522571	0.6744907594765952	0.0883043693014961	0.9469	1.025109251210737	0	0.5722792347094359	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
14	木下 拓哉	中日ドラゴンズ	39	0.0465	0.075	0.005	0.545	SLOW	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.028499999999999998	0.328	-1.7661	0	0	0	0	-0.5586	-0.8093848251723467	0	0.9269262855709197	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
