order	player	team	pp	screening	final	strength	confidence	estimate_pct	range_low_pct	range_high_pct	physical_coverage	peak_share	human_directional_review	reason_code	rationale
1	中川 圭太	オリックス・バファローズ	74	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.745	0.315	0.935	0.5487985772099356	0.782513176103175	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
2	太田 椋	オリックス・バファローズ	64	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.475	0.085	0.795	0.4	0.25115881239379245	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
3	宗 佑磨	オリックス・バファローズ		UNRESOLVED	UNRESOLVED	NO_CURRENT_POWERPRO_TARGET	HIGH	0.605	0.165	0.865	0.4	0.8610105442483019	false	NO_CURRENT_POWERPRO_TARGET	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
4	来田 涼斗	オリックス・バファローズ	85	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.695	0.235	0.935	0.3689747312142322	0.9142549062012438	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
5	森 友哉	オリックス・バファローズ	65	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.355	0.035	0.795	0.3689747312142322	0.6208264017971125	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
6	紅林 弘太郎	オリックス・バファローズ	56	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.215	0.005	0.675	0.4	0.7813665183618227	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
7	若月 健矢	オリックス・バファローズ	48	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.305	0.005	0.795	0.328	0.9593927946069379	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
8	西川 龍馬	オリックス・バファローズ	72	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_TOO_HIGH_OR_STALE	CURRENT_PEAK_PLUS_CONTEXT_CONCERN	LOW	0.335	0.055	0.765	0.4	0.9276783383204584	true	CURRENT_PEAK_BELOW_AVERAGE_WITH_NO_POSITIVE_CONTEXT_CORROBORATION	Current peak is below average with adequate exposure, and S/game context is neutral-to-negative. There is no current acceleration/end-to-end measurement, so this remains only a low-confidence PP72-high concern.
9	西野 真弘	オリックス・バファローズ	76	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_TOO_HIGH_OR_STALE	CONTEXT_SUPPORTED_HIGH_CONCERN	LOW	0.495	0.055	0.855	0.328	0.09375202420947457	true	AVERAGE_UNDEREXPOSED_PEAK_AND_NEGATIVE_GAME_CONTEXT_DO_NOT_SUPPORT_PP76	Peak speed is about average and underexposed; S is slightly negative and game context is more clearly negative. This is a low-confidence PP76-high concern, not a peak-only strong verdict.
10	カリステ	中日ドラゴンズ	82	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_PLAUSIBLE	LOW_EXPOSURE_CURRENT_PEAK_WITH_HISTORICAL_DIRECT_SUPPORT	LOW	0.575	0.085	0.875	0.49361211089048823	0.41479985338997205	true	SEVEN_RUN_CURRENT_PEAK_CANNOT_OVERRIDE_2017_T10_T30_T90_DIRECT_PROFILE	Current peak has only seven proxy opportunities and may be understated. The 2017 T10/T30/T90/Sprint-Speed set is old but direct and internally coherent, and game context is slightly positive. PP82 is plausible with low current confidence, not proven high/stale.
11	土田 龍空	中日ドラゴンズ	66	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.395	0.045	0.815	0.328	0.8723239077993843	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
12	大島 洋平	中日ドラゴンズ	74	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.655	0.165	0.895	0.44576392920584845	0.19540373816253828	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
13	岡林 勇希	中日ドラゴンズ	81	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.825	0.565	0.975	0.43646848211401656	0.5722792347094359	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
14	木下 拓哉	中日ドラゴンズ	39	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.075	0.005	0.555	0.328	0.9269262855709197	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
15	村松 開人	中日ドラゴンズ	80	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.865	0.595	0.985	0.4	0.9632065682742013	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
16	板山 祐太郎	中日ドラゴンズ	72	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.645	0.095	0.915	0.328	0.8956384139134665	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
17	田中 幹也	中日ドラゴンズ	83	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.925	0.735	0.985	0.4409747312142322	0.7819741302700087	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
18	石川 昂弥	中日ドラゴンズ	41	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.295	0.005	0.765	0.328	0.9719154128619272	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
19	福永 裕基	中日ドラゴンズ	64	POWERPRO_TOO_LOW	POWERPRO_TOO_LOW	CURRENT_PEAK_PLUS_WEAK_STATISTICAL_SUPPORT	LOW	0.805	0.455	0.975	0.4	0.9733036567858769	true	HIGH_CURRENT_PEAK_WITH_SAME_DIRECTION_LOW_SAMPLE_S_CONTEXT	Current peak is rank 13 with adequate exposure. S points the same way but has only 57 PA and moderate reliability; game context is near neutral. Preserve as a low-confidence low-rating concern rather than discard it or call it strong.
20	細川 成也	中日ドラゴンズ	60	POWERPRO_TOO_LOW	UNRESOLVED	CURRENT_PEAK_VS_NONPEAK_AND_CONTEXT_CONFLICT	MEDIUM	0.705	0.305	0.915	0.4409747312142322	0.8033841149082143	true	HIGH_CURRENT_PEAK_CONFLICTS_WITH_50M_AND_STATISTICAL_GAME_CONTEXT	Current peak is high, but 50m context, S and game signals all lean lower. The previous TOO_LOW screen was driven mainly by peak speed; full-construct evidence is genuinely conflicting.
21	高橋 周平	中日ドラゴンズ	46	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.085	0.005	0.565	0.328	0.9130984454028587	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
22	奈良間 大己	北海道日本ハムファイターズ	64	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.545	0.085	0.835	0.41837891881257794	0.20370244830179216	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
23	水野 達稀	北海道日本ハムファイターズ	71	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.905	0.675	0.985	0.4	0.853031614491475	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
24	清宮 幸太郎	北海道日本ハムファイターズ	56	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.435	0.085	0.795	0.4409747312142322	0.19984842797033459	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
25	田宮 裕涼	北海道日本ハムファイターズ	68	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.725	0.295	0.925	0.4	0.9234023555509736	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
26	郡司 裕也	北海道日本ハムファイターズ	61	POWERPRO_TOO_LOW	POWERPRO_TOO_LOW	CURRENT_PEAK_PLUS_CONTEXT_SUPPORTED_CONCERN	LOW	0.795	0.385	0.935	0.4	0.9320786941798689	true	CURRENT_PEAK_HIGH_AND_CONTEXT_NOT_NEGATIVE_BUT_NONPEAK_PHYSICAL_MISSING	Current peak is rank 20 with adequate exposure, while S and game context are not negative. This supports a low-confidence concern that PP61 is low, but missing acceleration/end-to-end evidence prevents a strong verdict.
27	野村 佑希	北海道日本ハムファイターズ	52	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.465	0.055	0.835	0.328	0.21924834194781748	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
28	ソト	千葉ロッテマリーンズ		UNRESOLVED	UNRESOLVED	NO_CURRENT_POWERPRO_TARGET	HIGH	0.135	0.005	0.575	0.4	1	false	NO_CURRENT_POWERPRO_TARGET	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
29	ポランコ	千葉ロッテマリーンズ	63	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.665	0.165	0.895	0.6168515763902311	0.3436938440290877	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
30	佐藤 都志也	千葉ロッテマリーンズ	71	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.455	0.085	0.795	0.4409747312142322	0.7795675430337184	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
31	友杉 篤輝	千葉ロッテマリーンズ	87	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.835	0.625	0.975	0.5872128959594358	0.6521884427004675	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
32	安田 尚憲	千葉ロッテマリーンズ	46	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.035	0.005	0.325	0.3689747312142322	0.6899077051097428	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
33	小川 龍成	千葉ロッテマリーンズ	86	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.855	0.575	0.985	0.4	0.9377713098973317	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
34	山口 航輝	千葉ロッテマリーンズ	52	POWERPRO_TOO_LOW	POWERPRO_TOO_LOW	LOW_CONFIDENCE_TECHNIQUE_SEPARATED_CONCERN	LOW	0.595	0.085	0.895	0.3689747312142322	0.43292748357432775	true	COMMUNITY_EXPLICITLY_SEPARATES_PHYSICAL_SPEED_FROM_STEALING_TECHNIQUE	Peak speed and the Community physical statement support real foot speed, while the same statement separately identifies poor stealing sense. Negative S/game context is retained but downweighted as technique/opportunity-contaminated. Unknown-date 50m is retained at low weight, not treated as decisive.
35	岡 大海	千葉ロッテマリーンズ	82	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.765	0.295	0.955	0.3459941007179034	0.7489501872535688	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
36	藤原 恭大	千葉ロッテマリーンズ	85	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.915	0.725	0.985	0.6292981036418221	0.6343019506300485	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
37	藤岡 裕大	千葉ロッテマリーンズ	65	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.245	0.005	0.695	0.328	0.5967539211570315	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
38	髙部 瑛斗	千葉ロッテマリーンズ	90	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.945	0.795	0.985	0.4409747312142322	0.7077786639912552	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
39	古賀 悠斗	埼玉西武ライオンズ	47	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.185	0.005	0.605	0.4	0.649503301824963	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
