record_id,player,canonical_player_id,game,edition,update_date,platform,source_type,source_url,video_id_or_post_id,parent_event_id,author_id_or_name,timestamp,text,likes,reply_count,classification,strength,independence_group,physical_or_rating_lane,target_rating_if_explicit,comparison_player_if_any,source_quality,notes,acceptance_status,acceptance_reason,collected_at,attempted_routes,event_id,origin_count,comment_count,like_sum,top_like_count,agreement_ratio,source_input_path,source_input_sha256,old_rejection_reason,reclassification_status,schema_validation,identity_validation
SP032-RUN2-GXSR004,カリステ,93795157,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/NoKick/status/2038966073568154036,2038966073568154036,2038966073568154036,@NoKick,2026-03-31 13:06:08 GMT,中日はなんで俊足好守の二塁手みたいな打撃成績しか、残してない助っ人と契約してるの？カリステのことだけど　#dragons,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_NoKick,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2038966073568154036,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR009,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/TsubameZoku/status/1896682767947370912,1896682767947370912,1896682767947370912,@TsubameZoku,2025-03-03,そして、本日より塩見泰隆が1軍に復帰予定。あの快足好打が炸裂するか見ものです🐎,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_TsubameZoku,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1896682767947370912,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR041,梶原 昂希,51555155,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/mejiro9banchi/status/2066081062422503509,2066081062422503509,2066081062422503509,@mejiro9banchi,2026-06-14,梶原昂希は本当に可哀想、牧秀悟に「練習で一番打球を飛ばすのは梶原」と言わせるほどのパワーがあるのに俊足と盗塁のセンスも兼ね備えてたせいで出塁が役割だの、主軸に繋げろだのバントしろだのごちゃごちゃ言われて完全に良さ失ってるもん,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_mejiro9banchi,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: BASERUNNING_DECISION_OR_STOLEN_BASE_CONTEXT_NOT_ISOLATED_TO_PHYSICAL_SPEED,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2066081062422503509,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,BASERUNNING_DECISION_OR_STOLEN_BASE_CONTEXT_NOT_ISOLATED_TO_PHYSICAL_SPEED,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR057,西野 真弘,91495130,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/sozaryata/status/1967904417220587687,1967904417220587687,1967904417220587687,@sozaryata,2025-09-16,西野真弘さん 若手時代　俊足のアベレージヒッター 中堅時代　ファールで粘って出塁するクセ者 現在　長距離砲　これもう分かんねえな,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_sozaryata,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1967904417220587687,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR058,西野 真弘,91495130,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/non__m05/status/2002274269816860915,2002274269816860915,2002274269816860915,@non__m05,2025-12-20,【真弘！】西野真弘『3塁打 → 好判断で本塁生還！佐々木朗希から“足”で先制点を奪う』 左中間抜けて3塁足速いし、最後のホームも足速い。昔より体おっきくなったのに足の速さそのままなんすごいまじ。天才🫶🏻,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_non__m05,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: PLAY_OUTCOME_OR_TRANSITION_METRIC_NOT_ISOLATED_TO_PHYSICAL_SPEED,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2002274269816860915,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,PLAY_OUTCOME_OR_TRANSITION_METRIC_NOT_ISOLATED_TO_PHYSICAL_SPEED,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR062,西野 真弘,91495130,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/PEVRPFCeVa34034/status/2062135844832776356,2062135844832776356,2062135844832776356,@PEVRPFCeVa34034,2026-06-03 11:34:32 GMT,"足引きずってるし…今年休憩して来年またキャリアハイ更新してもらっても…今年契約最終年やから契約更改何卒…
俺たちの西野真弘…去年頑張りすぎたよ",,,"[""PHYSICAL_SLOW""]",WEAK_DIRECTIONAL,X_AUTHOR_PEVRPFCeVa34034,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2062135844832776356,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR068,大島 洋平,01305131,UNSPECIFIED_BASEBALL_GAME,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/kenzaki810/status/1999155428270502329,1999155428270502329,1999155428270502329,@kenzaki810,2025-12-11,"大島洋平さん　走力B，ホーム突入付き
 (",,,"[""RATING_VALUE_CONTEXT""]",RATING_COMMUNITY,X_AUTHOR_kenzaki810,RATING,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GAME_RATING_OR_GAME_DISCUSSION_EXCLUDED,ACCEPTED_RATING_CONTEXT,"Reclassified under the run-2 policy: an explicit game-rating value is valuable rating-lane context. It contains no high/low/stale appraisal claim, so it is not counted as directional consensus or a numeric teacher.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1999155428270502329,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GAME_RATING_OR_GAME_DISCUSSION_EXCLUDED,RECLASSIFIED_TO_RATING_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR085,中村 悠平,51255118,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/Genmai_rice/status/2050897151962870194,2050897151962870194,2050897151962870194,@Genmai_rice,2026-05-03 11:15:59 GMT,中村悠平さん足遅い😭,,,"[""PHYSICAL_SLOW""]",WEAK_DIRECTIONAL,X_AUTHOR_Genmai_rice,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2050897151962870194,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR086,中村 悠平,51255118,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/swbiPpOTea48605/status/2050897172787527695,2050897172787527695,2050897172787527695,@swbiPpOTea48605,2026-05-03 11:16:04 GMT,中村悠平さんの足遅い瞬間を見る無駄時間,,,"[""PHYSICAL_SLOW""]",WEAK_DIRECTIONAL,X_AUTHOR_swbiPpOTea48605,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2050897172787527695,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
SP032-RUN2-GXSR088,中村 悠平,51255118,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/335L0mfydzCPETQ/status/2050897297895223498,2050897297895223498,2050897297895223498,@335L0mfydzCPETQ,2026-05-03,: あー惜しかったな中村悠平😓 やっぱり膝が悪いから加速力がないわな、でもいい当たりやった！,,,"[""PHYSICAL_SLOW"", ""TEMPORAL_DECLINE""]",WEAK_DIRECTIONAL,X_AUTHOR_335L0mfydzCPETQ,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2050897297895223498,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH
