player,canonical_player_id,physical_consensus,physical_independent_origins,rating_consensus_powerpro,rating_consensus_prospi,rating_independent_origins,rating_volume,stale_community_support,high_low_direction,community_conflict,best_supporting_sources,confidence,missingness
中川 圭太,51255138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
太田 椋,91395138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
宗 佑磨,11815130,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
来田 涼斗,51955153,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
森 友哉,91495139,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
紅林 弘太郎,91995151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
若月 健矢,41645139,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
西川 龍馬,71475132,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
西野 真弘,91495130,MIXED_WEAK_CONTEXT,3,NONE,NONE,0,accepted_records=0;physical_context_records=3,NO_STALE_EVIDENCE,NONE,PHYSICAL_DIRECTION_MIXED,https://x.com/sozaryata/status/1967904417220587687;https://x.com/non__m05/status/2002274269816860915;https://x.com/PEVRPFCeVa34034/status/2062135844832776356,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
カリステ,93795157,FAST_WEAK_CONTEXT,1,NONE,NONE,0,accepted_records=0;physical_context_records=1,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/NoKick/status/2038966073568154036,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
土田 龍空,51455153,FAST_WEAK_CONTEXT,3,NONE,NONE,0,accepted_records=0;physical_context_records=5,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/dragons_080203/status/1758309489835655376;https://x.com/yazannokame/status/2044705791194886509;https://x.com/dragons_080203/status/2049409629340475763,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
大島 洋平,01305131,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/kenzaki810/status/1999155428270502329,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
岡林 勇希,81585151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
木下 拓哉,31735132,MIXED_WEAK_CONTEXT,3,NONE,VALUE_CONTEXT_ONLY,1,accepted_records=1;physical_context_records=3,NO_STALE_EVIDENCE,NONE,PHYSICAL_DIRECTION_MIXED,https://x.com/2DMdzvNxMscJWdO/status/1823294180853944590;https://x.com/kota_rainbow321/status/1823684390674948519;https://x.com/pasan111211/status/1837066926415032393,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
村松 開人,03105157,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
板山 祐太郎,91395132,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
田中 幹也,21025157,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
石川 昂弥,91195151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
福永 裕基,81685157,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
細川 成也,31835134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
高橋 周平,91095135,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
奈良間 大己,31435157,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
水野 達稀,63165155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
