player,player_id,team,usable_community_evidence,usable_claim_count,usable_source_event_count,attributable_author_origin_count,unattributed_source_event_count,youtube_rating_powerpro,youtube_rating_prospi,x_rating_powerpro,x_rating_prospi,physical_observation,aging_injury_recovery_context,gameplay_mechanics_only,baserunning_stealing_only,directional_rating_claim_count,community_verdict,powerpro_label_not_physical_teacher,community_not_numeric_speed_estimate
中川 圭太,51255138,オリックス・バファローズ,true,6,6,0,6,0,0,1,3,2,0,0,0,2,TOO_LOW,true,true
太田 椋,91395138,オリックス・バファローズ,true,2,2,0,2,0,0,0,1,1,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
宗 佑磨,11815130,オリックス・バファローズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
来田 涼斗,51955153,オリックス・バファローズ,true,1,1,0,1,0,0,0,0,1,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
森 友哉,91495139,オリックス・バファローズ,true,4,4,1,3,0,0,0,4,0,0,0,0,2,MIXED,true,true
紅林 弘太郎,91995151,オリックス・バファローズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
若月 健矢,41645139,オリックス・バファローズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
西川 龍馬,71475132,オリックス・バファローズ,true,3,3,0,3,0,0,1,2,0,0,0,0,0,CONTEXT_ONLY,true,true
西野 真弘,91495130,オリックス・バファローズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
カリステ,93795157,中日ドラゴンズ,true,9,9,3,6,0,0,4,3,0,0,0,0,6,MIXED,true,true
土田 龍空,51455153,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
大島 洋平,01305131,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,2,1,0,INSUFFICIENT,true,true
岡林 勇希,81585151,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
木下 拓哉,31735132,中日ドラゴンズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
村松 開人,03105157,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,0,1,0,INSUFFICIENT,true,true
板山 祐太郎,91395132,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
田中 幹也,21025157,中日ドラゴンズ,true,1,1,0,1,0,0,1,0,0,0,0,0,0,CONTEXT_ONLY,true,true
石川 昂弥,91195151,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
福永 裕基,81685157,中日ドラゴンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
細川 成也,31835134,中日ドラゴンズ,true,2,2,2,0,0,0,0,2,0,0,0,0,0,CONTEXT_ONLY,true,true
高橋 周平,91095135,中日ドラゴンズ,true,2,2,0,2,0,0,0,0,1,0,0,2,0,PHYSICAL_CONTEXT_ONLY,true,true
奈良間 大己,31435157,北海道日本ハムファイターズ,true,1,1,0,1,0,0,0,0,1,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
水野 達稀,63165155,北海道日本ハムファイターズ,true,1,1,0,1,0,0,0,0,1,0,4,0,0,PHYSICAL_CONTEXT_ONLY,true,true
清宮 幸太郎,41545136,北海道日本ハムファイターズ,true,2,2,0,2,0,0,0,1,0,0,0,0,1,TOO_LOW,true,true
田宮 裕涼,51055138,北海道日本ハムファイターズ,true,1,1,0,1,0,0,0,1,0,0,0,0,1,TOO_LOW,true,true
郡司 裕也,21925151,北海道日本ハムファイターズ,true,1,1,0,1,0,0,1,0,0,0,0,0,1,TOO_HIGH,true,true
野村 佑希,31435138,北海道日本ハムファイターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
ソト,03505133,千葉ロッテマリーンズ,true,1,1,0,1,0,0,1,0,0,0,0,0,0,CONTEXT_ONLY,true,true
ポランコ,63065155,千葉ロッテマリーンズ,true,2,2,0,2,0,0,1,1,0,0,0,0,0,CONTEXT_ONLY,true,true
佐藤 都志也,71075151,千葉ロッテマリーンズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
友杉 篤輝,71275157,千葉ロッテマリーンズ,true,1,1,0,1,0,0,0,0,1,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
安田 尚憲,81885136,千葉ロッテマリーンズ,true,2,2,1,1,0,0,1,1,0,0,0,0,2,MIXED,true,true
小川 龍成,11715153,千葉ロッテマリーンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
山口 航輝,91895138,千葉ロッテマリーンズ,true,1,1,0,1,0,0,0,0,1,0,0,1,0,PHYSICAL_CONTEXT_ONLY,true,true
岡 大海,11515139,千葉ロッテマリーンズ,true,3,3,0,3,0,0,2,1,0,0,0,0,1,TOO_HIGH,true,true
藤原 恭大,31635138,千葉ロッテマリーンズ,true,4,4,0,4,0,0,1,3,0,0,0,0,1,TOO_HIGH,true,true
