game,video_id,title,video_title,published_at,source_url,official_channel_id,discovery_method,matched_terms,relevant_reason,relevant_for_comment_collection,comments_available,comments_retrieved,platform_reported_comment_count,retrieval_method,retrieval_bound_or_missingness,metadata_status,metadata_error,description_short,already_in_old_inventory
PowerPro,PhQkyi8VjU4,「eBASEBALLパワフルプロ野球2020」オープニングムービー,「eBASEBALLパワフルプロ野球2020」オープニングムービー,2020-04-03,https://www.youtube.com/watch?v=PhQkyi8VjU4,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,※必ず視聴前にご確認下さい。 本動画は2021年3月31日以前に配信開始されており、一部、古い価格表記となっておりますので、最新の税込価格については、下記リンク先でご確認下さい。 https://www.konami.com/games/jp/ja/pages/price_list/ “パワプロで目指せ世界一！”「eBASEBALLパワフルプロ野球2020」（Nintendo Switch™・PlayStation®4）7月9日発売！ 公式サイト： https://www.konami.com/pawa/2020/ 「蒼の彼方へ」 幼い頃の夢 遠くまで見果てない景色 一瞬で通り抜けるビジョン 蒼と星の彼方に何が待ってる？ 想いの風を今背負って （羽ばたくよDreamer’s sky ） 旅に出るのさ 太陽の降る場所へ 僕らの全て連れて （It’s time to take a step up now） この魂で歌おう 世界に響け！ 重ねた日々が勇気へと変わってく 情熱が僕を奮い立たせる 世界はもうすぐそこ もう何も恐れないさ 未来を共に創ろう 光を放て！ 歌・作詞 國土佳音 作・編曲 米須優太郎 編曲 渡邊紀如 一般社団法人日本野球機構承認 日本プロ野球名球会公認 日本プロ野球OBクラブ公認 プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2019年プロ野球ペナントシーズン中のデータを基に制作しています。 データ提供:共同通信デジタル データは（株）共同通信デジタルが独自に収集したものであり、公式記録とは異なる場合があります。 提供情報を手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行う事を固く禁じます。 ©Konami Digital Entertainment,False
PowerPro,b_JCLxYwNFo,「eBASEBALLパワフルプロ野球2020」プロモーションムービー,「eBASEBALLパワフルプロ野球2020」プロモーションムービー,2020-06-12,https://www.youtube.com/watch?v=b_JCLxYwNFo,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,※必ず視聴前にご確認下さい。 本動画は2021年3月31日以前に配信開始されており、一部、古い価格表記となっておりますので、最新の税込価格については、下記リンク先でご確認下さい。 https://www.konami.com/games/jp/ja/pages/price_list/ “パワプロで目指せ世界一！”「eBASEBALLパワフルプロ野球2020」（Nintendo Switch™・PlayStation®4）7月9日発売！ 公式サイト： https://www.konami.com/pawa/2020/ 公式Twitter：https://twitter.com/pawapuro_pro 一般社団法人日本野球機構承認 ⓒ2019 SAMURAI JAPAN 日本プロ野球名球会公認 日本プロ野球OBクラブ公認 プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2019年プロ野球ペナントシーズン中のデータを基に制作しています。 データ提供:共同通信デジタル データは（株）共同通信デジタルが独自に収集したものであり、公式記録とは異なる場合があります。 提供情報を手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行う事を固く禁じます。 ©Konami Digital Entertainment 株式会社コナミデジタルエンタテインメントは、eBASEBALLに関する商標登録をしています。,False
PowerPro,RDuHDrO0spw,「eBASEBALLパワフルプロ野球2020」プロモーションムービー　 東京2020オリンピック,「eBASEBALLパワフルプロ野球2020」プロモーションムービー　 東京2020オリンピック,2020-07-08,https://www.youtube.com/watch?v=RDuHDrO0spw,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,※必ず視聴前にご確認下さい。 本動画は2021年3月31日以前に配信開始されており、一部、古い価格表記となっておりますので、最新の税込価格については、下記リンク先でご確認下さい。 https://www.konami.com/games/jp/ja/pages/price_list/ “パワプロで目指せ世界一！”「eBASEBALLパワフルプロ野球2020」（Nintendo Switch™・PlayStation®4）7月9日発売！ 公式サイト： https://www.konami.com/pawa/2020/ 公式Twitter：https://twitter.com/pawapuro_pro 一般社団法人日本野球機構承認 ⓒ2019 SAMURAI JAPAN 日本プロ野球名球会公認 日本プロ野球OBクラブ公認 プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2019年プロ野球ペナントシーズン中のデータを基に制作しています。 データ提供:共同通信デジタル データは（株）共同通信デジタルが独自に収集したものであり、公式記録とは異なる場合があります。 提供情報を手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行う事を固く禁じます。 ©Konami Digital Entertainment 株式会社コナミデジタルエンタテインメントは、eBASEBALLに関する商標登録をしています。 ■東京2020オリンピックモードの最新情報はこちらでチェック！ https://tokyo2020.org/ @tokyo2020jpをフォローしよう！,False
PowerPro,OdlfbG1FujU,「eBASEBALLパワフルプロ野球2020」ダウンロードコンテンツ　 BGM：全パワプロシリーズセット,「eBASEBALLパワフルプロ野球2020」ダウンロードコンテンツ　 BGM：全パワプロシリーズセット,2020-07-09,https://www.youtube.com/watch?v=OdlfbG1FujU,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,"※必ず視聴前にご確認下さい。 本動画は2021年3月31日以前に配信開始されており、一部、古い価格表記となっておりますので、最新の税込価格については、下記リンク先でご確認下さい。 https://www.konami.com/games/jp/ja/pages/price_list/ “パワプロで目指せ世界一！”「eBASEBALLパワフルプロ野球2020」（Nintendo Switch™・PlayStation®4）7月9日発売！ 公式サイト： https://www.konami.com/pawa/2020/ 公式Twitter：https://twitter.com/pawapuro_pro ■メーカー小売価格 通常版 (パッケージ・DL) Nintendo Switch：7,678円(税込）/ PS4®：8,778円(税込) パワフルエディション (DL専売) Nintendo Switch：9,878円（税込）/ PS4®：10,978円（税込） BGM:パワプロ'94+2+3セット BGM:パワプロ4+5セット BGM:パワプロ6セット BGM:パワプロ'99+2000セット BGM:パワプロ7セット BGM:パワプロ8+2001セット BGM:パワプロ9セット BGM:パワプロ10+超決定版セット BGM:パワプロ11+超決定版セット BGM:パワプロ12セット BGM:パワプロ13+決定版セット BGM:パワプロ14+決定版セット BGM:パワプロ15+2009セット BGM:パワプロNEXTセット BGM:パワポタ3+4セット BGM:パワプロ2010セット BGM:パワプロ2011+決定版セット BGM:パワプロ2012+決定版セット BGM:パワプロ2013セット BGM:パワプロ2014セット BGM:パワプロ2016セット BGM:パワプロアプリセット BGM:パワプロ2018セット 楽曲リストはこちら https://www.konami.com/pawa/2020/dlc/bgm 一般社団法人日本野球機構承認 ⓒ2019 SAMURAI JAPAN 日本プロ野球名球会公認 日本プロ野球OBクラブ公認 プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2019年プロ野球ペナントシーズン中のデータを基に制作してい",False
PowerPro,WskScbGyqW0,【パワプロ2020】eBASEBALLプロ選手ならパワフェス達人モードも初見クリア？難敵のプロ野球レジェンズを徹底攻略！,【パワプロ2020】eBASEBALLプロ選手ならパワフェス達人モードも初見クリア？難敵のプロ野球レジェンズを徹底攻略！,2020-07-09,https://www.youtube.com/watch?v=WskScbGyqW0,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,"今回はeBASEBALLのプロプレイヤーである下山選手と加賀谷選手を招いて「eBASEBALLパワフルプロ野球2020」パワフェス達人モードの初見クリアを目指します！ 1:17 SG高校 10:12 白薔薇かしまし学園大学 16:13 プロ野球レジェンズ 35:43 帝王実業 ■出演者 下山 祐躍（しもやま よしや） プレイヤーネーム：スンスケ 2018、19シーズン 千葉ロッテマリーンズ代表選手 キャプテン 2019シーズン パ・リーグ優勝 個人タイトルとして最優秀防御率を獲得 YouTube Challenge-Channel Sunsuke https://ucs.konami.net/?t=kIDJ0b6R Twitter https://ucs.konami.net/?t=VpDvWR5m 加賀谷 颯太（かがや そうた） プレイヤーネーム：ケーバック（愛称 バックちゃん） 2018、19シーズン 福岡ソフトバンクホークス代表選手 キャプテン YouTube ケーバックのバ・リーグTV https://ucs.konami.net/?t=TgqcV4BQ Twitter https://ucs.konami.net/?t=VA9dqaRu “パワプロで目指せ世界一！”「eBASEBALLパワフルプロ野球2020」（Nintendo Switch™・PlayStation®4）7月9日発売！ 公式サイト： https://www.konami.com/pawa/2020/ 公式Twitter：https://twitter.com/pawapuro_pro ■最新情報 公式サイト http://573.jp/vvcn 公式Twitter https://twitter.com/eBASEBALL_Pro 【メーカー小売価格】 通常版 (パッケージ・DL) Nintendo Switch：6,980円(税抜）/ PS4®：7,980円(税抜) パワフルエディション (DL専売) Nintendo Switch：8,980円（税抜）/ PS4®：9,980円（税抜） 一般社団法人日本野球機構承認 日本プロ野球名球会公認 日本プロ野球OBクラブ公認 プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2019年プロ野球ペナントシーズン中のデー",False
PowerPro,1BZpm1y4uyw,【パワプロ2020】eBASEBALLプロ選手がサクサクセス1時間チャレンジ！まさかのダイジョーブ博士が2人！？,【パワプロ2020】eBASEBALLプロ選手がサクサクセス1時間チャレンジ！まさかのダイジョーブ博士が2人！？,2020-07-16,https://www.youtube.com/watch?v=1BZpm1y4uyw,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,"今回はeBASEBALLプロプレイヤーである舘野選手と指宿選手を招いて「eBASEBALLパワフルプロ野球2020」のサクサクセスをプレイしていただきました。 「サクサクセス1時間チャレンジ！」果たして制限時間内に良い選手は出来るのか？ 00:00 オープニング 00:25 チャレンジスタート 01:38 なかなか出会えない 03:02 ハテナ地獄 05:48 アイテムを使う 06:15 博士に翻弄される 08:56 今日の運試し 09:38 2人目の博士 12:11 残り10分 15:12 エンディング ■出演者 舘野 弘樹（たての ひろき） プレイヤーネーム：てぃーの 2018、19シーズン 読売ジャイアンツ代表選手 キャプテン 2019シーズン e日本シリーズ優勝 個人としてもMVP、最多本塁打、最多打点の3タイトルを獲得 Twitter：https://ucs.konami.net/?t=wUsXJ2m3 指宿 聖也（いぶすき せいや） プレイヤーネーム：みっすん 2018、19シーズン オリックス・バファローズ代表選手 キャプテン 2019シーズン パ・リーグ2位 19シーズンは個人として全選手中唯一の全勝 最多本塁打とBest Proleague Playerの2冠を獲得 ▽指宿選手のチャンネルはこちら https://ucs.konami.net/?t=3TQZNSwR Twitter：https://ucs.konami.net/?t=5HqmFCU0 “パワプロで目指せ世界一！”「eBASEBALLパワフルプロ野球2020」（Nintendo Switch™・PlayStation®4）好評発売中！ 公式サイト： https://www.konami.com/pawa/2020/ 公式Twitter：https://twitter.com/pawapuro_pro ■最新情報 公式サイト http://573.jp/vvcn 公式Twitter https://twitter.com/eBASEBALL_Pro 【メーカー小売価格】 通常版 (パッケージ・DL) Nintendo Switch：6,980円(税抜）/ PS4®：7,980円(税抜) パワフルエディション (DL専売) Nintendo Switch：8,980円（税抜）/ PS4®",False
PowerPro,PtgQTVtD8_A,【パワプロ2020】俺たちならHR競争一生打ち続ける説【eBASEBALLプロ選手】,【パワプロ2020】俺たちならHR競争一生打ち続ける説【eBASEBALLプロ選手】,2020-07-20,https://www.youtube.com/watch?v=PtgQTVtD8_A,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,今回はeBASEBALLのプロプレイヤーである舘野選手、指宿選手、加賀谷選手、下山選手の4選手を招いて「eBASEBALLパワフルプロ野球2020」ホームランアタックでバトル＆サドンデスを競っていただきます！ ■出演者 舘野 弘樹（たての ひろき） プレイヤーネーム：てぃーの 2018、19シーズン 読売ジャイアンツ代表選手 キャプテン 2019シーズン e日本シリーズ優勝 個人としてもMVP、最多本塁打、最多打点の3タイトルを獲得 Twitter：https://ucs.konami.net/?t=iBrvG6Eq 指宿 聖也（いぶすき せいや） プレイヤーネーム：みっすん 2018、19シーズン オリックス・バファローズ代表選手 キャプテン 2019シーズン パ・リーグ2位 19シーズンは個人として全選手中唯一の全勝 最多本塁打とBest Proleague Playerの2冠を獲得 ▽指宿選手のチャンネルはこちら https://ucs.konami.net/?t=BoWF4DCH Twitter：https://ucs.konami.net/?t=AbOsjilN 下山 祐躍（しもやま よしや） プレイヤーネーム：スンスケ 2018、19シーズン 千葉ロッテマリーンズ代表選手 キャプテン 2019シーズン パ・リーグ優勝 個人タイトルとして最優秀防御率を獲得 YouTube Challenge-Channel Sunsuke https://ucs.konami.net/?t=tUDPWfEZ Twitter https://ucs.konami.net/?t=HToRyYO1 加賀谷 颯太（かがや そうた） プレイヤーネーム：ケーバック（愛称 バックちゃん） 2018、19シーズン 福岡ソフトバンクホークス代表選手 キャプテン YouTube ケーバックのバ・リーグTV https://ucs.konami.net/?t=E4u5XbGj Twitter https://ucs.konami.net/?t=Hu37pAYd ■eBASEBALL プロリーグ 公式サイト https://ucs.konami.net/?t=pnVXkhMA Twiter https://ucs.konami.net/?t=XbCGh5AT “パワプロで目指せ世界一！”「eBA,False
PowerPro,pjtFw4b238U,【パワプロ2020】eBASEBALLプロ選手によるガチ対決！ドラフトで選んだドリームチームで対決！,【パワプロ2020】eBASEBALLプロ選手によるガチ対決！ドラフトで選んだドリームチームで対決！,2020-07-23,https://www.youtube.com/watch?v=pjtFw4b238U,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;対決;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,今回はいよいよ舘野選手、指宿選手、加賀谷選手、下山選手による「eBASEBALLパワフルプロ野球2020」でのガチ対決企画です。 舘野選手・指宿選手チームと、加賀谷選手・下山選手チームの２対２に分かれて対決です！ eBASEBALLプロプレイヤーによるガチバトル！お楽しみください。 ルール： チームはドラフト形式で決定。重複の場合はジャンケン。 控えの選手は交互に指名します バッティングは交互に行う 守備は2人でポジションを分担 バッテリーモードON（捕手側が球種とコースを決め、投手は2度押しで投球） 9イニング制 （DHあり） ■出演者 ○舘野 弘樹（たての ひろき） プレイヤーネーム：てぃーの 2018、19シーズン 読売ジャイアンツ代表選手 キャプテン 2019シーズン e日本シリーズ優勝 個人としてもMVP、最多本塁打、最多打点の3タイトルを獲得 Twitter：https://ucs.konami.net/?t=u1KQOMHT ○指宿 聖也（いぶすき せいや） プレイヤーネーム：みっすん 2018、19シーズン オリックス・バファローズ代表選手 キャプテン 2019シーズン パ・リーグ2位 19シーズンは個人として全選手中唯一の全勝 最多本塁打とBest Proleague Playerの2冠を獲得 ▽指宿選手のチャンネルはこちら https://ucs.konami.net/?t=gco5mK1O Twitter：https://ucs.konami.net/?t=M0UuZqmt ○加賀谷 颯太（かがや そうた） プレイヤーネーム：ケーバック（愛称 バックちゃん） 2018、19シーズン 福岡ソフトバンクホークス代表選手 キャプテン YouTube ケーバックのバ・リーグTV https://ucs.konami.net/?t=I8Wu1BUS Twitter https://ucs.konami.net/?t=i7QOrT1J ○下山 祐躍（しもやま よしや） プレイヤーネーム：スンスケ 2018、19シーズン 千葉ロッテマリーンズ代表選手 キャプテン 2019シーズン パ・リーグ優勝 個人タイトルとして最優秀防御率を獲得 YouTube Challenge-Channel Sunsuke https://ucs.konami.net/?t=Woz,False
PowerPro,ArCW8T-MGeY,【パワプロ2020】プロvsプロのガチ対決！ドリームチームで大乱戦を制するのはどっちだ！？,【パワプロ2020】プロvsプロのガチ対決！ドリームチームで大乱戦を制するのはどっちだ！？,2020-07-30,https://www.youtube.com/watch?v=ArCW8T-MGeY,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;対決;ob,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,今回はいよいよ舘野選手、指宿選手、加賀谷選手、下山選手による「eBASEBALLパワフルプロ野球2020」でのガチ対決企画です。 舘野選手・指宿選手チームと、加賀谷選手・下山選手チームの２対２に分かれて対決です！ eBASEBALLプロプレイヤーによるガチバトル！お楽しみください。 ▼前編 【パワプロ2020】eBASEBALLプロ選手によるガチ対決！ドラフトで選んだドリームチームで対決！ https://www.youtube.com/watch?v=pjtFw4b238U ルール： チームはドラフト形式で決定。重複の場合はジャンケン。 控えの選手は交互に指名します バッティングは交互に行う 守備は2人でポジションを分担 バッテリーモードON（捕手側が球種とコースを決め、投手は2度押しで投球） 9イニング制 （DHあり） ■出演者 ○舘野 弘樹（たての ひろき） プレイヤーネーム：てぃーの 2018、19シーズン 読売ジャイアンツ代表選手 キャプテン 2019シーズン e日本シリーズ優勝 個人としてもMVP、最多本塁打、最多打点の3タイトルを獲得 Twitter：https://ucs.konami.net/?t=kU7Ed1BZ ○指宿 聖也（いぶすき せいや） プレイヤーネーム：みっすん 2018、19シーズン オリックス・バファローズ代表選手 キャプテン 2019シーズン パ・リーグ2位 19シーズンは個人として全選手中唯一の全勝 最多本塁打とBest Proleague Playerの2冠を獲得 ▽指宿選手のチャンネルはこちら https://ucs.konami.net/?t=XhoDxmtJ Twitter：https://ucs.konami.net/?t=Rje43o6B ○加賀谷 颯太（かがや そうた） プレイヤーネーム：ケーバック（愛称 バックちゃん） 2018、19シーズン 福岡ソフトバンクホークス代表選手 キャプテン YouTube ケーバックのバ・リーグTV https://ucs.konami.net/?t=l7OuGg26 Twitter https://ucs.konami.net/?t=ef29I5HO ○下山 祐躍（しもやま よしや） プレイヤーネーム：スンスケ 2018、19シーズン 千葉ロッテマリーンズ代表選手 キャプテン ,False
PowerPro,lELJCEpQ8XU,【パワプロ2020】実技？面接？現役選手が教えるeBASEBALL プロリーグ プロテスト攻略法【eスポーツ】,【パワプロ2020】実技？面接？現役選手が教えるeBASEBALL プロリーグ プロテスト攻略法【eスポーツ】,2020-08-06,https://www.youtube.com/watch?v=lELJCEpQ8XU,UCWzEh28vj3mQKpe0fzVTOUw,official_channel_side_scan_then_per_video_metadata,パワプロ;パワフルプロ野球;セレクション;ob;現役,official_channel_title_or_description_powerpro_signal,false,UNKNOWN,,,,METADATA_ONLY_NOT_COMMENT_ATTEMPTED,OK,,今回は菅原選手と三輪選手にお越しいただき、24日からスタートするeBASEBALL プロリーグ プロテストについてお話しいただきました。 ▼eBASEBALL プロリーグ 2020シーズンについて 8/3配信 プロプレイヤーになるのは君だ！！～発表！eBASEBALL プロリーグ 2020シーズン～ https://ucs.konami.net/?t=WM9HOp2l 今期プロプレイヤーになれるのは…残り26人！ プロテストの詳しい内容は公式サイトをご確認ください。 https://ucs.konami.net/?t=6xo7M5Zy ▼出演者 三輪貴史（みわ たかふみ） プレイヤー名：ねお 2018、19シーズン 東北楽天ゴールデンイーグルス代表選手 キャプテン 2019シーズン パ・リーグ最優秀防御率獲得 2018シーズンに一度継続契約を逃したが、翌年再度指名を受けチームを3位へ導く Twitter:https://ucs.konami.net/?t=JkhNPe4A 菅原翔太（すがわら しょうた） プレイヤー名：ぶんた 2019シーズン 中日ドラゴンズ代表選手 キャプテン 2018シーズンはゲーム解説者として活躍するも、自身の参戦のために転職。 初参戦ばかりのメンバーをまとめ、リーグ3位を獲得 YouTube:https://ucs.konami.net/?t=4daAlmGp Twitter：https://ucs.konami.net/?t=J3fUDEHV ▼プロテストの流れ 第1次選考のオンライン予選と第2次選考のオンライン最終選考会の2段階に分かれています。 オンライン予選上位のプレイヤーはオンライン最終選考会に進み、実技審査および面接審査を経て、合格者がeドラフト会議の候補者となります。 eドラフト会議にて指名を受けることで球団が決定し、プロプレイヤーとなります。 ▼プロテストに参加するには PlayStation®4/Nintendo Switch™版「eBASEBALLパワフルプロ野球2020」の「チャンピオンシップ」モード内で開催される「プロテスト オンライン予選」から参加することができます。 ▼オンライン予選 〇ランキング争い 1試合で獲得したSPのTOP20の総合計ポイントにてランキングが確定します。試合を行い、ご自身のTOP20に記録さ,False
