player,canonical_player_id,game,youtube_candidate_count,accepted_or_contextual_claim_count,independent_origin_count,rating_powerpro_count,rating_prospi_count,too_high_count,too_low_count,physical_observation_count,gameplay_mechanics_count,ambiguous_or_sarcastic_count,missingness
中川 圭太,51255138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
太田 椋,91395138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
宗 佑磨,11815130,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
来田 涼斗,51955153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
森 友哉,91495139,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
紅林 弘太郎,91995151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
若月 健矢,41645139,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
西川 龍馬,71475132,,2,2,2,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
西野 真弘,91495130,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
カリステ,93795157,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
土田 龍空,51455153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
大島 洋平,01305131,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
岡林 勇希,81585151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
木下 拓哉,31735132,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
村松 開人,03105157,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
板山 祐太郎,91395132,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
田中 幹也,21025157,,15,12,9,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
石川 昂弥,91195151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
