game,video_id,title,description_short,published_at,source_url,official_channel_id,official_channel_name,discovery_method,matched_terms,relevant_reason,target_players_from_title_if_any,comments_available,comments_retrieved,comment_total_reported,retrieval_method,retrieval_bound_or_missingness,already_in_old_inventory,metadata_status,collection_attempted_at
PowerPro,Ms1zfS7gSmo,【ロマン開花學園解説】ロマン全開！才能開花！【パワプロアプリ】,新シナリオ #ロマン開花學園 編 7/30～配信開始！ 配信開始に伴い、#解説 動画を公開！ 【「ロマン開花學園」ストーリー概要】 100年以上の歴史を誇る伝統校、ロマン開花學園。 その野球部も、かつて何度も甲子園に行った古豪だが、近年の成績はイマイチだ。 学校は伝統を重んじる校風だけど、このままの体制でいいのだろうか・・・？ そう考えていたところに、刃（やいば）と名乗る新任の監督が現れる。 今、変革を予感させる新風が、吹き始めようとしていた・・・ 詳細はアプリ内お知らせにてご確認ください。 #パワプロアプリ 公式X：https://x.com/pawa_app573 #パワプロアプリ 公式サイト：https://www.konami.com/pawa/app/,2026-07-30,https://www.youtube.com/watch?v=Ms1zfS7gSmo,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,8,8,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:43Z
PowerPro,lXJEdQqrU7E,なにわ男子 藤原丈一郎さん・アンタッチャブル 山崎さん柴田さんが登場！パワプロ2026発売記念イベントダイジェスト 【パワフルプロ野球2026-2027】,"▼パワプロ・プロスピ公式Xはこちら https://x.com/pawapuro_pro “歴史（サクセス）は、受け継がれる。” 「パワフルプロ野球2026-2027」（Nintendo Switch™・PlayStation®4）6月11日発売！ 公式サイト： https://www.konami.com/pawa/2026-2027/ 一般社団法人日本野球機構承認 ©2026 SAMURAI JAPAN Trademarks, copyrights, names, images and other proprietary materials are used with permission of World Baseball Classic, Inc. 日本プロ野球名球会公認 日本プロ野球OBクラブ公認 日本プロ野球外国人OB選手会公認 プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2025年度プロ野球公式戦のデータを基に制作しています。 All other copyrights or trademarks are the property of their respective owners and are used under license. データは、(株)共同通信デジタル/Japan Baseball Data (株)が独自に収集したもの",2026-07-01,https://www.youtube.com/watch?v=lXJEdQqrU7E,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,10,10,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:43Z
PowerPro,Pm_Pyg54JV0,『パワプロアドベンチャーズ』3rdシナリオ カジナイトアカデミー紹介,3rdサクセスシナリオ カジナイトアカデミーの紹介です。 『鋼の如き心であれ』 主人公たちに足りないものは何なのか—― 答えを求めて、ハンマーを手にする🔨 打てよ黒鉄！叩いて鍛えて、強き心を手に入れろ！ #パワプロアドベンチャーズ #パワアド ダウンロードはこちら：https://konami-app.go.link/bQ12m 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures,2026-06-03,https://www.youtube.com/watch?v=Pm_Pyg54JV0,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,29,29,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:43Z
PowerPro,1lkcAGahFZ8,『パワプロアドベンチャーズ』2ndシナリオ タテレスキュアアカデミー紹介,2ndサクセスシナリオ タテレスキュアアカデミーの紹介です。 オレもみんなを守れる冒険者になる！ 更なる災厄が迫るとき、主人公は守りたい人を守ることができるのか━━🛡️ #パワプロアドベンチャーズ #パワアド ダウンロードはこちら：https://konami-app.go.link/bQ12m 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures,2026-04-03,https://www.youtube.com/watch?v=1lkcAGahFZ8,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,32,32,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:43Z
PowerPro,PMkxCzAo16A,『パワプロアドベンチャーズ』CM【驚き編】,野球ゲームでお馴染みのパワプロシリーズからまさかのファンタジー！？ ♪「今度のパワプロはファンタジーでございます。 乗り遅れにご注意ください～🚃」 ダウンロードはこちら：https://konami-app.go.link/bQ12m 【『パワプロアドベンチャーズ』とは 】 剣と魔法のファンタジー世界で、冒険者を育成！ 「サクセス」で個性豊かな仲間たちと切磋琢磨して成長し、強敵との「バトル」に挑もう！ 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures #パワプロアドベンチャーズ #パワアド,2026-03-26,https://www.youtube.com/watch?v=PMkxCzAo16A,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,3,3,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:43Z
PowerPro,5nxW28yS5kQ,『パワプロアドベンチャーズ』ローンチトレーラー,今度のパワプロはファンタジー！？ 新作スマホアプリ『パワプロアドベンチャーズ』がいよいよサービス開始 最強の冒険者を目指そう ━━⚔️ ダウンロードはこちら：https://konami-app.go.link/bQ12m 【『パワプロアドベンチャーズ』とは 】 剣と魔法のファンタジー世界で、冒険者を育成！ 「サクセス」で個性豊かな仲間たちと切磋琢磨して成長し、強敵との「バトル」に挑もう！ 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures #パワプロアドベンチャーズ #パワアド,2026-03-26,https://www.youtube.com/watch?v=5nxW28yS5kQ,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,15,15,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:43Z
PowerPro,wOjrANePk1c,『パワフルプロ野球2026-2027』オープニングムービー,"“歴史（サクセス）は、受け継がれる。” 「パワフルプロ野球2026-2027」（Nintendo Switch™・PlayStation®4）6月11日発売！ 公式サイト：https://www.konami.com/pawa/2026-2027/ 『Highlight』 Stand up now, we’re ready now Go! Stand up now, we’re ready now All set! 歓声が空揺らす Stand up now, we’re ready now Go! Stand up now, we’re ready now All set! その背に未来を 高鳴る鼓動を信じて 重なる熱量が 期待感と展開の煌めき 覚悟を決めてけ 何度も見失って 息飲むストーリー 奇跡的な証明に変わるさ 大丈夫信じて （ほら） 誰にも見せず （ずっと） 積み上げていた 負けないように向き合うように 静かな夜を越えてきた （ほら）気づけばそばに （いま）同じ痛みを 背負いながら駆け出す君 準備はもう出来たよね （胸を張って） はじめよう いま世界を駆けていけ 照らす 光の先 風に乗る夢 ひとりじゃない いま未来を駆けていこう 照らせ 光のように 掴み取ろう さあこの手で Stand up now, we’re ready now Go! Stand up now, we",2026-03-12,https://www.youtube.com/watch?v=wOjrANePk1c,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,1981,1981,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:50Z
PowerPro,WMCRj4Snias,『パワプロアドベンチャーズ』オープニングムービー,『パワプロアドベンチャーズ』のオープニングムービーです。 世界樹の恵みによって栄えた平和な世界に 突如として邪悪なる魔王が現れた――⚔️ #パワプロアドベンチャーズ #パワアド ダウンロードはこちら：https://konami-app.go.link/bQ12m 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures,2026-03-06,https://www.youtube.com/watch?v=WMCRj4Snias,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,23,23,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:50Z
PowerPro,ZzSgcUeTLHw,『パワプロアドベンチャーズ』プロモーションムービー,今度のパワプロはファンタジー！？ 新作スマホアプリ『パワプロアドベンチャーズ』が登場！ 【『パワプロアドベンチャーズ』とは 】 剣と魔法のファンタジー世界で、冒険者を育成！ 「サクセス」で個性豊かな仲間たちと切磋琢磨して成長し、強敵との「バトル」に挑もう！ #パワプロアドベンチャーズ #パワアド ダウンロードはこちら：https://konami-app.go.link/bQ12m 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures,2026-02-12,https://www.youtube.com/watch?v=ZzSgcUeTLHw,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,127,127,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:52Z
PowerPro,T9yXBWsT7bU,『パワプロアドベンチャーズ』1stシナリオ パワフルアカデミー紹介,1stサクセスシナリオ パワフルアカデミーの紹介です。 いつか世界一の冒険者になる！ 幼馴染と昔誓った約束を主人公は果たせるか━━⚔️ #パワプロアドベンチャーズ #パワアド ダウンロードはこちら：https://konami-app.go.link/bQ12m 公式サイト：https://www.konami.com/pawa/adventures/ 公式X：https://x.com/pawa_adventures,2026-02-06,https://www.youtube.com/watch?v=T9yXBWsT7bU,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_context_recovery,,,,True,28,28,yt-dlp --get-comments,YTDLP_ALL_REQUESTED; completeness not independently verified; platform/client pagination may remain,,OK,2026-08-14T16:58:53Z
