inventory_id,game,video_id,title,published_at,source_url,official_channel_id,official_channel_name,discovery_method,matched_terms,relevant_reason,relevant_for_comment_collection,target_players_from_title_if_any,comments_available,comments_retrieved,comment_total_reported,retrieval_method,retrieval_bound_or_missingness,already_in_old_inventory,date_status,metadata_status,description_context_short,error
PPV3-INV-0002,Official channel mixed catalog,sX8nl6eCua0,福留孝介・糸井嘉男の新能力公開！ 福留×糸井 ホンネ！俺の実力話しますSP 後編【プロスピA】,2026-07-16,https://www.youtube.com/watch?v=sX8nl6eCua0,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""能力"",""能力公開"",""アップデート"",""新能力"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,[],,,,,,true,IN_SCOPE,OK,過去対決動画でのご共演などで息ピッタリの名コンビ福留孝介さんと糸井嘉男さんが番組にご出演！ ご自身のプロスピＡゲーム内の能力にホンネでトークいただき、 その内容を基に「新・福留孝介」「新・糸井嘉男」の能力をアップデート！ 後編動画では、「新・福留孝介」「新・糸井嘉男」の能力を大公開しました。 果たしてどのような能力になっているのか・・・気になる詳細は動画でご確認ください！ さらに、動画内では「新・福留孝介」「新・糸井嘉男」を実際に使用してリアルタイム対戦を実施！ 過去対決動画では、糸井さんの2勝でしたが、今回の結果はいかに・・・！？ 動画内で紹介しているプレゼントコードをパワスピ・ポイントクラブで入力すると10エナジーをプレゼント！ ▼パワスピ・ポイントクラブはこちら https://pawaspi-point.konami.net/news/detail?content_id=KON_news_702cc7e571c72221e5f090c2d8b93d92&p_code=CHOJIN ※プレゼントコードは、前編・後編共通となっております。重複して受け取ることはできませんのでご注意ください。 ▼プロスピA ダウンロードはこちら https://app.adjust.com/22tqy36x ▼プロスピA公式X https://x.com/prospiA_PR ▼プロスピA公式サイ,
PPV3-INV-0003,Official channel mixed catalog,QakGxA8TR_s,トーク内容を基に能力アップ！？ 福留×糸井 ホンネ！俺の実力話しますSP 前編【プロスピA】,2026-07-15,https://www.youtube.com/watch?v=QakGxA8TR_s,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""能力"",""アップデート"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,[],,,,,,false,IN_SCOPE,OK,過去対決動画でのご共演などで息ピッタリの名コンビ福留孝介さんと糸井嘉男さんが番組にご出演！ ご自身のプロスピAゲーム内の能力にホンネでトークいただきました。 さらに！トークを基に能力がアップデートされた「新・福留孝介」、「新・糸井嘉男」が 2026年7月17日から「福留孝介・糸井嘉男登場記念スカウト」として登場！ 一体お二人は、自分たちの能力についてなにを語ったのか・・・ 動画内で紹介しているプレゼントコードをパワスピ・ポイントクラブで入力すると10エナジーをプレゼント！ ▼パワスピ・ポイントクラブはこちら https://pawaspi-point.konami.net/news/detail?content_id=KON_news_702cc7e571c72221e5f090c2d8b93d92&p_code=CHOJIN ※プレゼントコードは、前編・後編共通となっております。重複して受け取ることはできませんのでご注意ください。 ▼プロスピA ダウンロードはこちら https://app.adjust.com/22tqy36x ▼プロスピA公式X https://x.com/prospiA_PR ▼プロスピA公式サイト https://www.konami.com/games/prospi_a/ 一般社団法人日本野球機構承認 ©Konami Digital Entertainm,
PPV3-INV-0005,Official channel mixed catalog,RqUAGcmp6z8,新スカウト情報発表！プロスピA ニュース【スピニュース】,2026-06-25,https://www.youtube.com/watch?v=RqUAGcmp6z8,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,[],,,,,,false,IN_SCOPE,OK,プロスピAの最新情報をお届けする番組「プロスピAニュース」略して「スピニュース」を配信！ 今回は気になる新スカウトの情報を公開します！ 特別ゲストとして真中満さんをお招き！ 真中さんと言えば…？ ▼プロスピAダウンロードはこちら https://app.adjust.com/1qtdbfne ▼プロスピA公式X https://x.com/prospiA_PR ▼プロスピA公式サイト https://www.konami.com/games/prospi_a/ 一般社団法人日本野球機構承認 ©Konami Digital Entertainment,
PPV3-INV-0006,Official channel mixed catalog,rMfw_rxOdu8,「今永セレクション」14名の選出理由を今永選手が語る！​【MLB PRO SPIRIT】,2026-06-23,https://www.youtube.com/watch?v=rMfw_rxOdu8,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,[],NO_POWERPRO_SIGNAL: No PowerPro signal in the fetched title/description.,false,[],,,,,,false,IN_SCOPE,OK,"今永選手が選出したMLB選手14名＋ご本人が登場！ 14選手の選出理由や注目ポイントについて、元プロ野球選手の杉谷拳士さんとともに語るインタビュー映像です。 ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ eBaseball™: MLB PRO SPIRIT 新スカウト『 #今永 セレクション』 6/24（水）メンテナンス後～ 登場！ ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ ▼MLB PRO SPIRIT ダウンロードはこちら▼ https://konami.go.link/kyhg7 ▼MLB PRO SPIRIT 公式Xはこちら▼ https://x.com/MLBPS_JP Major League Baseball trademarks and copyrights are used with permission of Major League Baseball. Visit MLB.com. Officially Licensed Product of MLB Players, Inc. MLBPA trademarks, copyrighted works and other intellectual property rights are owned and/or held by MLBPA and may not be used without the writt",
PPV3-INV-0008,Official channel mixed catalog,CmBoz1XeAmU,福岡ソフトバンクホークス 牧原大成 選手 VS 野村勇 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-27,https://www.youtube.com/watch?v=CmBoz1XeAmU,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""現役選手"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,"[{""player"":""牧原 大成"",""player_id"":""61465133""}]",,,,,,false,IN_SCOPE,OK,#プロスピA エキサイティングプレイヤースペシャルマッチ プロ野球現役選手による「プロスピA」ガチ対決動画！！ #牧原大成 選手 VS #野村勇 選手 全12球団の対決動画はこちら https://www.youtube.com/playlist?list=PLVkLJ-aYi8nJSB7zaomx2Oo7OQULFzTDe ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ エキサイティングプレイヤーセレクション開催決定！ 第1弾：2026年5月28日(木)15:00～6月4日(木)14:59 第2弾：2026年6月4日(木)15:00～6月12日(金)14:59 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ プロスピA公式X / https://x.com/prospiA_PR プロスピA公式サイト https://www.konami.com/games/prospi_a/ ダウンロードはこちら https://app.adjust.com/20adns30,
PPV3-INV-0009,Official channel mixed catalog,lJAT0YaFPfs,横浜DeNAベイスターズ 佐野恵太 選手 VS 牧秀悟 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-26,https://www.youtube.com/watch?v=lJAT0YaFPfs,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""現役選手"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,"[{""player"":""佐野 恵太"",""player_id"":""91995134""},{""player"":""牧 秀悟"",""player_id"":""13115153""}]",,,,,,false,IN_SCOPE,OK,#プロスピA エキサイティングプレイヤースペシャルマッチ プロ野球現役選手による「プロスピA」ガチ対決動画！！ #佐野恵太 選手 VS #牧秀悟 選手 ※2026年2月8日 撮影 全12球団の対決動画はこちら https://www.youtube.com/playlist?list=PLVkLJ-aYi8nJSB7zaomx2Oo7OQULFzTDe ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ エキサイティングプレイヤーセレクション開催決定！ 第1弾：2026年5月28日(木)15:00～6月4日(木)14:59 第2弾：2026年6月4日(木)15:00～6月12日(金)14:59 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ プロスピA公式X / https://x.com/prospiA_PR プロスピA公式サイト https://www.konami.com/games/prospi_a/ ダウンロードはこちら https://app.adjust.com/20adns30,
PPV3-INV-0010,Official channel mixed catalog,Cigl41WJeaU,千葉ロッテ 種市篤暉 投手 VS 西川史礁 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-25,https://www.youtube.com/watch?v=Cigl41WJeaU,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""現役選手"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,[],,,,,,false,IN_SCOPE,OK,#プロスピA エキサイティングプレイヤースペシャルマッチ プロ野球現役選手による「プロスピA」ガチ対決動画！！ #種市篤暉 投手 VS #西川史礁 選手 全12球団の対決動画はこちら https://www.youtube.com/playlist?list=PLVkLJ-aYi8nJSB7zaomx2Oo7OQULFzTDe ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ エキサイティングプレイヤーセレクション開催決定！ 第1弾：2026年5月28日(木)15:00～6月4日(木)14:59 第2弾：2026年6月4日(木)15:00～6月12日(金)14:59 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ プロスピA公式X / https://x.com/prospiA_PR プロスピA公式サイト https://www.konami.com/games/prospi_a/ ダウンロードはこちら https://app.adjust.com/20adns30,
PPV3-INV-0011,Official channel mixed catalog,lug1RWbPMwI,広島東洋カープ ファビアン 選手 VS モンテロ 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-24,https://www.youtube.com/watch?v=lug1RWbPMwI,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""現役選手"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,"[{""player"":""ファビアン"",""player_id"":""43745150""},{""player"":""モンテロ"",""player_id"":""53955150""}]",,,,,,true,IN_SCOPE,OK,#プロスピA エキサイティングプレイヤースペシャルマッチ プロ野球現役選手による「プロスピA」ガチ対決動画！！ #ファビアン 選手 VS #モンテロ 選手 全12球団の対決動画はこちら https://www.youtube.com/playlist?list=PLVkLJ-aYi8nJSB7zaomx2Oo7OQULFzTDe ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ エキサイティングプレイヤーセレクション開催決定！ 第1弾：2026年5月28日(木)15:00～6月4日(木)14:59 第2弾：2026年6月4日(木)15:00～6月12日(金)14:59 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ プロスピA公式X / https://x.com/prospiA_PR プロスピA公式サイト https://www.konami.com/games/prospi_a/ ダウンロードはこちら https://app.adjust.com/20adns30,
PPV3-INV-0012,Official channel mixed catalog,dBlFvhlQNXc,北海道日本ハムファイターズ レイエス 選手 VS 五十幡亮汰 選手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-23,https://www.youtube.com/watch?v=dBlFvhlQNXc,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""現役選手"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,[],,,,,,false,IN_SCOPE,OK,#プロスピA エキサイティングプレイヤースペシャルマッチ プロ野球現役選手による「プロスピA」ガチ対決動画！！ #レイエス 選手 VS #五十幡亮汰 選手 全12球団の対決動画はこちら https://www.youtube.com/playlist?list=PLVkLJ-aYi8nJSB7zaomx2Oo7OQULFzTDe ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ エキサイティングプレイヤーセレクション開催決定！ 第1弾：2026年5月28日(木)15:00～6月4日(木)14:59 第2弾：2026年6月4日(木)15:00～6月12日(金)14:59 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ プロスピA公式X / https://x.com/prospiA_PR プロスピA公式サイト https://www.konami.com/games/prospi_a/ ダウンロードはこちら https://app.adjust.com/20adns30,
PPV3-INV-0013,Official channel mixed catalog,2UxAd74t9CY,中日ドラゴンズ 清水達也 投手 VS 金丸夢斗 投手 プロスピAで対決！【エキサイティングプレイヤースペシャルマッチ】,2026-05-22,https://www.youtube.com/watch?v=2UxAd74t9CY,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_flat_playlist_then_per_video_metadata,"[""プロスピ"",""プロスピA"",""現役選手"",""対決""]",PROSPI_ONLY_EXCLUDED_FROM_SP033: Prospi-only video excluded from SP-033 PowerPro lane.,false,[],,,,,,false,IN_SCOPE,OK,#プロスピA エキサイティングプレイヤースペシャルマッチ プロ野球現役選手による「プロスピA」ガチ対決動画！！ #清水達也 投手 VS #金丸夢斗 投手 全12球団の対決動画はこちら https://www.youtube.com/playlist?list=PLVkLJ-aYi8nJSB7zaomx2Oo7OQULFzTDe ◤￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ エキサイティングプレイヤーセレクション開催決定！ 第1弾：2026年5月28日(木)15:00～6月4日(木)14:59 第2弾：2026年6月4日(木)15:00～6月12日(金)14:59 ＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿◢ プロスピA公式X / https://x.com/prospiA_PR プロスピA公式サイト https://www.konami.com/games/prospi_a/ ダウンロードはこちら https://app.adjust.com/20adns30,
