game,video_id,title,description_short,published_at,source_url,official_channel_id,channel_name,discovery_method,matched_terms,relevant_reason,target_players_from_title_if_any,comments_available,comments_retrieved,platform_reported_comment_count,retrieval_method,retrieval_bound_or_missingness,already_in_old_inventory,old_inventory_sources,metadata_status,collection_attempted_at
Prospi,0yNZ0wCRHs0,ニューイヤー特番！プロスピA お正月王決定戦【プロ野球スピリッツA】,"2024年のラッキーボーイ・ラッキーガールを決める！
インフルエンサーたちが2組に分かれて、羽子板対決や巨大だるま落としなど様々な企画に挑戦。
企画の成績に応じてスカウトを引いてオリジナルオーダーを作ってリアルタイム対戦で戦います。

公式番組初出演のばりやわとんこつ、サワヤンも大活躍！？
ばりやわとんこつのお二人が対決した第1戦の羽子板対決では、スタッフも想定外の大記録が飛び出す...！

さらに、サワヤンのお二人が対決した第2戦は、ダルマ落とし対決・プロスピＡ対決ともに爆笑必至の展開に。そしてプロスピAを始めて2か月のサワさんの腕前はいかに！

第3戦では糸井さん天谷さんが対決。
糸井さんは、2023年夏に杉谷さんとの対決に敗れた雪辱を晴らせるのか！

第4戦はパワフルスピリッツからサイコさん、カイトさんが参戦、対決します。
頭脳派サイコさんと天才肌カイトさん、勝利の行方が見逃せない！

第5戦〓V.I.P〓さんとCLAYさんの対決では、大将同士の意地がぶつかる！
総合優勝をかけた負けられない戦い。最後に勝利の女神がほほ笑むのはどちらだ！


＜出演者＞
〓V.I.P〓
CLAY
糸井嘉男
天谷宗一郎
ばりやわとんこつ(新谷あやか、永松文太)
サワヤン SAWAYAN
パワフルスピリッツメンバー(サイコ、カイト)

公式Xでは、「年末年始Xお年玉キャンペーン」を実施中！
プロスピA公式Xをフォローして、
#プロスピA新年初引き＆スカウトで引いた選手の画像をポスト！
投稿してくれた方から抽選でAmazonギフト券1万円分を30名様にプレゼント！

※本編は2023年12月に収録したものです。

↓プロスピA公式Xはこちら↓
https://twitter.com/prospiA_PR

↓プロスピAダウンロードはこちらから↓
https://app.adjust.com/kpdl9la

↓プロスピA公式サイトはこちら↓
https://www.konami.com/games/prospi_a/",2024-01-06,https://www.youtube.com/watch?v=0yNZ0wCRHs0,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;プロ野球スピリッツ;スピリッツ;prospi;プロスピa;プロ野球スピリッツa,title_explicitly_identifies_prospi,,True,141,141,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:12Z
Prospi,eaWfO7kRCwU,大谷翔平選手がパワプロ30周年×プロスピ20周年アンバサダーに！【メイキング+特別インタビュー】,"#大谷翔平 選手が #パワプロ30周年 × #プロスピ20周年 アンバサダーに就任することが決定しました！
アンバサダー撮影の模様を公開！また、パワプロも大谷選手も今年で30歳ということで、30歳にちなんだ記念インタビューも行いました。
#WBC のユニフォームを着用した大谷選手の映像は必見です！

アニバーサリーイヤーに合わせ、KONAMIの各野球ゲームで大谷翔平選手と様々な取り組みを実施予定です。

今後の展開にご期待ください。

周年公式サイト
https://www.konami.com/games/pawaspi_anniversary/",2024-01-15,https://www.youtube.com/watch?v=eaWfO7kRCwU,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;プロスピ20;アニバーサリー;アニバ,title_explicitly_identifies_prospi,,True,740,740,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:12Z
Prospi,vwU0NyiNcaA,【パワプロ30周年】3人娘から皆さんへビデオメッセージ,"#パワプロ30周年 を記念して、
早川あおいちゃん（CV 青木瑠璃子）
橘みずきちゃん（CV 愛美）
六道聖ちゃん（CV 高橋李依）
から、日頃パワプロを応援してくださる皆様へビデオメッセージが届いています！
パワプロ30周年は素敵なことが起きる予感・・・♪


パワプロ30周年×プロスピ20周年 アニバーサリーサイト　https://www.konami.com/games/pawaspi_anniversary/
#パワプロアプリ 公式X　https://twitter.com/pawa_app573
#栄冠クロス 公式X　https://twitter.com/pawa_eikan573
パワプロ・プロスピ 公式X　https://twitter.com/pawapuro_pro",2024-03-18,https://www.youtube.com/watch?v=vwU0NyiNcaA,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;プロスピ20;アニバーサリー;アニバ,description_identifies_prospi_and_ability_or_update_context,,True,177,177,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:12Z
Prospi,s5n8g6g4mz8,〇〇は芸術点が高い！？イチローが監督・コーチから選出！2024TSイチローセレクション選手発表セ・リーグ編 【プロスピA】,"プロ野球スピリッツAにイチローさんが帰ってきた！！
2024年は12球団の監督・コーチから各球団1名を選出。

イチローさんがライバルとして意識していたマシンガン打線の中核や
「振りたいのに手が出ない」と言わしめた名クローザーとのエピソードを語る！

2024TS「イチローセレクション」は5/30(木)~登場！
珠玉の選手たちをぜひ手に入れてください！

▼プロスピAダウンロードはこちら
https://app.adjust.com/1cxcykxx

▼プロスピA公式X
https://x.com/prospiA_PR

▼プロスピA公式サイト
https://www.konami.com/games/prospi_a/

一般社団法人日本野球機構承認  ©Konami Digital Entertainment",2024-05-27,https://www.youtube.com/watch?v=s5n8g6g4mz8,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;プロ野球スピリッツ;スピリッツ;prospi;プロスピa;プロ野球スピリッツa;選手発表;セレクション;ts,title_explicitly_identifies_prospi,,True,1386,1386,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:12Z
Prospi,TFpR64Mc0N8,パ・リーグを託した！イチローが監督・コーチから選出！2024TSイチローセレクション選手発表パ・リーグ編 【プロスピA】,"プロ野球スピリッツAにイチローさんが帰ってきた！！
2024年は12球団の監督・コーチから各球団1名を選出。

イチローさんがパ・リーグを引っ張っていく存在になると認めたあの5ツールプレイヤーや
長い現役生活でたった2度だけのガッツポーズを披露した打席のエピソードなどを語る！

2024TS「イチローセレクション」は5/30(木)~登場！
珠玉の選手たちをぜひ手に入れてください！

▼プロスピAダウンロードはこちら
https://app.adjust.com/1cxcykxx

▼プロスピA公式X
https://x.com/prospiA_PR

▼プロスピA公式サイト
https://www.konami.com/games/prospi_a/

一般社団法人日本野球機構承認  ©Konami Digital Entertainment",2024-05-28,https://www.youtube.com/watch?v=TFpR64Mc0N8,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;プロ野球スピリッツ;スピリッツ;prospi;プロスピa;プロ野球スピリッツa;選手発表;セレクション;ts,title_explicitly_identifies_prospi,,True,680,680,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:12Z
Prospi,HrdWA9MHDXw,【10月17日 発売】実は力仕事をしてました!!社会人時代の:秘密:エピソード！雪平莉左さん：メイキング＆インタビュー『プロ野球スピリッツ2024-2025』,"“PLAYからFEELへ”『プロ野球スピリッツ2024-2025』（PlayStation®5、Steam®）10月17日発売！

プロ野球チームのＧＭ兼社長になる新モード「myBALLPARK」と1人のプロ野球選手になりきって球界のスターを目指す「スタープレイヤー」に、マルチに活躍するあのさんや雪平莉左さん、動画クリエイターの森元流那さんが登場します。撮影時の様子やインタビューを公開！

『プロ野球スピリッツ2024-2025』は、次世代の野球エンジン「eBaseball™ Engine」を搭載し、PlayStation®5とSteam®に対応。
「eBaseball™ Engine」は、球場で見るような打球の軌道、選手たちの必死な動作、歓喜を爆発させる大観衆など、スタジアム内のあらゆるモーションとサウンドを演出し、野球ゲームを新たな次元へと引き上げます。

詳しくは公式サイトをチェック
https://www.konami.com/games/prospi/2024-2025/

一般社団法人日本野球機構承認
Konami Digital Entertainment/WBCI  ©2024 SAMURAI JAPAN
日本プロ野球名球会公認  日本プロ野球OBクラブ公認  日本プロ野球外国人OB選手会公認  プロ野球フランチャイズ球場公認
ゲーム内に再現された球場内看板は、原則として2023年度プロ野球公式戦のデータを基に制作しています。
データは、Japan Baseball Data(株)が独自に収集したものであり、公式記録とは異なる場合があります。提供情報の手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行う事を固く禁じます。
All other copyrights or trademarks are the property of their respective owners and are used under license.
©2024 Sony Interactive Entertainment Inc.“PlayStation”、 “PS5”は、株式会社ソニー・インタラクティブエンタテインメントの登録商標または商標です。
©2024 Valve Corporation. Steam及びSteamロゴは、米国及びまたはその他の国の…",2024-07-11,https://www.youtube.com/watch?v=HrdWA9MHDXw,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロ野球スピリッツ;スピリッツ;prospi;プロ野球スピリッツ2024;ts;ob,title_explicitly_identifies_prospi,,True,26,26,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:13Z
Prospi,Q9scqsaYhb8,【10月17日 発売】動画クリエイターじゃなかったら、野球場で活躍する○○になりたい！森元流那さん：メイキング＆インタビュー『プロ野球スピリッツ2024-2025』,"“PLAYからFEELへ”『プロ野球スピリッツ2024-2025』（PlayStation®5、Steam®）10月17日発売！

プロ野球チームのＧＭ兼社長になる新モード「myBALLPARK」と1人のプロ野球選手になりきって球界のスターを目指す「スタープレイヤー」に、マルチに活躍するあのさんや雪平莉左さん、動画クリエイターの森元流那さんが登場します。撮影時の様子やインタビューを公開！

『プロ野球スピリッツ2024-2025』は、次世代の野球エンジン「eBaseball™ Engine」を搭載し、PlayStation®5とSteam®に対応。
「eBaseball™ Engine」は、球場で見るような打球の軌道、選手たちの必死な動作、歓喜を爆発させる大観衆など、スタジアム内のあらゆるモーションとサウンドを演出し、野球ゲームを新たな次元へと引き上げます。

詳しくは公式サイトをチェック
https://www.konami.com/games/prospi/2024-2025/

一般社団法人日本野球機構承認
Konami Digital Entertainment/WBCI  ©2024 SAMURAI JAPAN
日本プロ野球名球会公認  日本プロ野球OBクラブ公認  日本プロ野球外国人OB選手会公認  プロ野球フランチャイズ球場公認
ゲーム内に再現された球場内看板は、原則として2023年度プロ野球公式戦のデータを基に制作しています。
データは、Japan Baseball Data(株)が独自に収集したものであり、公式記録とは異なる場合があります。提供情報の手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行う事を固く禁じます。
All other copyrights or trademarks are the property of their respective owners and are used under license.
©2024 Sony Interactive Entertainment Inc.“PlayStation”、 “PS5”は、株式会社ソニー・インタラクティブエンタテインメントの登録商標または商標です。
©2024 Valve Corporation. Steam及びSteamロゴは、米国及びまたはその他の国の…",2024-07-11,https://www.youtube.com/watch?v=Q9scqsaYhb8,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロ野球スピリッツ;スピリッツ;prospi;プロ野球スピリッツ2024;ts;ob,title_explicitly_identifies_prospi,,True,23,23,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:31Z
Prospi,uo3DOM4QeG0,【10月17日 発売】プロスピを一緒にプレーするなら、ゲーム仲間の女優・○○さん！あのさん：メイキング＆インタビュー『プロ野球スピリッツ2024-2025』,"“PLAYからFEELへ”『プロ野球スピリッツ2024-2025』（PlayStation®5、Steam®）10月17日発売！

プロ野球チームのＧＭ兼社長になる新モード「myBALLPARK」と1人のプロ野球選手になりきって球界のスターを目指す「スタープレイヤー」に、マルチに活躍するあのさんや雪平莉左さん、動画クリエイターの森元流那さんが登場します。撮影時の様子やインタビューを公開！

『プロ野球スピリッツ2024-2025』は、次世代の野球エンジン「eBaseball™ Engine」を搭載し、PlayStation®5とSteam®に対応。
「eBaseball™ Engine」は、球場で見るような打球の軌道、選手たちの必死な動作、歓喜を爆発させる大観衆など、スタジアム内のあらゆるモーションとサウンドを演出し、野球ゲームを新たな次元へと引き上げます。

詳しくは公式サイトをチェック
https://www.konami.com/games/prospi/2024-2025/

一般社団法人日本野球機構承認
Konami Digital Entertainment/WBCI  ©2024 SAMURAI JAPAN
日本プロ野球名球会公認  日本プロ野球OBクラブ公認  日本プロ野球外国人OB選手会公認  プロ野球フランチャイズ球場公認
ゲーム内に再現された球場内看板は、原則として2023年度プロ野球公式戦のデータを基に制作しています。
データは、Japan Baseball Data(株)が独自に収集したものであり、公式記録とは異なる場合があります。提供情報の手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行う事を固く禁じます。
All other copyrights or trademarks are the property of their respective owners and are used under license.
©2024 Sony Interactive Entertainment Inc.“PlayStation”、 “PS5”は、株式会社ソニー・インタラクティブエンタテインメントの登録商標または商標です。
©2024 Valve Corporation. Steam及びSteamロゴは、米国及びまたはその他の国の…",2024-07-11,https://www.youtube.com/watch?v=uo3DOM4QeG0,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;プロ野球スピリッツ;スピリッツ;prospi;プロ野球スピリッツ2024;ts;ob,title_explicitly_identifies_prospi,,True,54,54,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:33Z
Prospi,MRdZJEeuXWc,『パワフルプロ野球2024-2025』レジェンドOB対決動画　マリーンズ 対 イーグルス,"“30年分のパワフルを。”
「パワフルプロ野球2024-2025」（Nintendo Switch™・PlayStation®4）7月18日発売！
公式サイト： https://www.konami.com/pawa/2024-2025/

パワプロ30周年特別企画「レジェンドOB対決」の
第一弾レジェンドOB対決「マリーンズ対イーグルス」の動画を公開しました！

里崎さんが「マリーンズ歴代レジェンドチーム」を、岩隈さんが「イーグルス歴代レジェンドチーム」を率いて「パワプロ2024」で対戦。

それぞれのレジェンドが活躍する「レジェンドOB対決」をお楽しみください！

さらに！
レジェンドのサインが入ったプレゼントキャンペーン開催！

【伝説のボール回し サインボールプレゼントキャンペーン】 
「レジェンドOB対決」を記念してXキャンペーンを開催！

・パワプロ・プロスピ公式アカウント（@pawapuro_pro）をフォローして、 対象のポストを「#パワプロ2024OB対決」をつけて、感想を添えてリポストしてください。
抽選で合計7名様にレジェンドOB15名のサインが入ったボールをプレゼント！

詳細は下記URLからご確認ください。
 https://www.konami.com/pawa/2024-2025/special


#パワプロ2024 #パワプロ2024OB対決

一般社団法人日本野球機構承認 Konami Digital Entertainment/WBCI ©2024 SAMURAI JAPAN
日本プロ野球名球会公認 日本プロ野球OBクラブ公認 日本プロ野球外国人OB選手会公認

プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2023年度プロ野球公式戦のデータを基に制作しています。

データは、Japan Baseball Data(株)が独自に収集したものであり、公式記録とは異なる場合があります。

提供情報の手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行うことを固く禁じます。

All other copyrights or trademarks are the property of their respective owners and are used under license.
©Kon…",2024-07-15,https://www.youtube.com/watch?v=MRdZJEeuXWc,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;ts;ob,description_identifies_prospi_and_ability_or_update_context,,True,367,367,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:35Z
Prospi,2MPQJ70Tb9Q,『パワフルプロ野球2024-2025』レジェンドOB対決動画　ファイターズ 対 ドラゴンズ,"パワプロ30周年特別企画「レジェンドOB対決」第三弾
レジェンドOB対決「ファイターズ対ドラゴンズ」の動画を公開しました！

小笠原さんが「ファイターズ歴代レジェンドチーム」を、川上さんが「ドラゴンズ歴代レジェンドチーム」を率いて「パワプロ2024」で対戦。

それぞれのレジェンドが活躍する「レジェンドOB対決」をお楽しみください！

さらに！
レジェンドのサインが入ったプレゼントキャンペーン開催！

【伝説のボール回し サインボールプレゼントキャンペーン】
「レジェンドOB対決」を記念してXキャンペーンを開催！

・パワプロ・プロスピ公式アカウント（@pawapuro_pro）をフォローして、 対象のポストを「#パワプロ2024OB対決」をつけて、感想を添えてリポストしてください。
抽選で合計7名様にレジェンドOB15名のサインが入ったボールをプレゼント！

詳細は下記URLからご確認ください。
 https://www.konami.com/pawa/2024-2025/special


#パワプロ2024 #パワプロ2024OB対決

一般社団法人日本野球機構承認 Konami Digital Entertainment/WBCI ©2024 SAMURAI JAPAN
日本プロ野球名球会公認 日本プロ野球OBクラブ公認 日本プロ野球外国人OB選手会公認

プロ野球フランチャイズ球場公認 ゲーム内に再現された球場内看板は、原則として2023年度プロ野球公式戦のデータを基に制作しています。

データは、Japan Baseball Data(株)が独自に収集したものであり、公式記録とは異なる場合があります。

提供情報の手段を問わず、いかなる目的であれ無断で複製、転送、販売等を行うことを固く禁じます。

All other copyrights or trademarks are the property of their respective owners and are used under license.
©Konami Digital Entertainment",2024-07-17,https://www.youtube.com/watch?v=2MPQJ70Tb9Q,UCWzEh28vj3mQKpe0fzVTOUw,パワプロ・プロスピ公式チャンネル,official_channel_side_scan_then_bounded_remainder,プロスピ;ts;ob,description_identifies_prospi_and_ability_or_update_context,,True,279,279,yt-dlp --get-comments,requested_all_parents_all_replies_all_depth,,,OK,2026-08-14T16:45:42Z
