query,tool,result,players,note,canonical_x_rows,canonical_directional_rating,canonical_speed_specific_physical,canonical_general_context
from:prospiA_PR (能力 OR 査定 OR 走力 OR 新能力 OR アップデート),x_keyword_search,HIT,,,,,,
from:pawapuroprospi (能力 OR 査定 OR 走力 OR 新能力),x_keyword_search,EMPTY,,legacy handle,,,,
(パワプロ OR プロスピ) (走力) (査定 OR 高すぎ OR 低すぎ OR おかしい),x_keyword_search,HIT,,,,,,
(周東佑京 OR 岩田幸宏 OR 並木秀尊 OR 源田壮亮 OR 髙部瑛斗) (走力) (パワプロ OR プロスピ OR 査定),x_keyword_search,HIT,周東 佑京|岩田 幸宏,,,,,
(野間峻祥 OR 塩見泰隆 OR 秋山翔吾 OR 古賀優大 OR 村林一輝) (走力) (パワプロ OR プロスピ OR 査定),x_keyword_search,HIT,野間 峻祥|古賀 優大,,,,,
from:prospiA_PR (走力 OR 俊足 OR 足 OR 能力公開 OR 新能力),x_keyword_search,HIT,,,,,,
(パワプロ) (走力) (高すぎ OR 低すぎ OR おかしい OR 上げろ OR 下げろ OR 更新),x_keyword_search,HIT,,,,,,
(プロスピ) (走力) (高すぎ OR 低すぎ OR おかしい),x_keyword_search,HIT,,,,,,
(秋山翔吾 OR 塩見泰隆 OR 今宮健太 OR 筒香嘉智 OR 柳田悠岐) (走力) (パワプロ OR プロスピ OR 査定 OR 衰え OR 怪我),x_keyword_search,HIT,柳田 悠岐,,,,,
(カリステ OR モンテロ OR サンタナ OR ソト OR ポランコ OR ファビアン) (走力) (パワプロ OR プロスピ),x_keyword_search,HIT,カリステ|ファビアン|ポランコ,,,,,
semantic: パワプロやプロスピの走力査定がおかしい,x_semantic_search,HIT,,,,,,
from:pawapuro_pro (能力 OR 査定 OR 走力 OR 新能力 OR 選手),x_keyword_search,HIT,,,,,,
(岡林勇希 OR 中野拓夢 OR 度会隆輝 OR 牧秀悟 OR 佐藤輝明 OR 森下翔太) (走力) (パワプロ OR プロスピ OR 査定),x_keyword_search,HIT,岡林 勇希|中野 拓夢|佐藤 輝明|森下 翔太|牧 秀悟,,,,,
