record_id,player,canonical_player_id,game,edition,update_date,platform,source_type,source_url,video_id_or_post_id,parent_event_id,author_id_or_name,timestamp,text,likes,reply_count,classification,strength,independence_group,physical_or_rating_lane,target_rating_if_explicit,comparison_player_if_any,source_quality,notes,acceptance_status,acceptance_reason,collected_at,attempted_routes,event_id,origin_count,comment_count,like_sum,top_like_count,agreement_ratio,source_input_path,source_input_sha256,old_rejection_reason,reclassification_status,schema_validation,identity_validation,old_source_id,old_acceptance_status,old_directness,old_evidence_strength,old_text_excerpt,old_posted_at,old_retrieved_at,old_accessibility_status,old_identity_status
SP032-RUN2-GXSR001,カリステ,93795157,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/kawasemi501/status/1870797395510087861,1870797395510087861,1870797395510087861,@kawasemi501,NOT_PUBLICLY_DOCUMENTED,,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_kawasemi501,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,INSUFFICIENT,"Original rejection retained: post text and/or author, timestamp, post ID, URL is missing. No rating or physical direction is inferred from an incomplete returned record.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1870797395510087861,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,NOT_RECLASSIFIABLE_INSUFFICIENT,INSUFFICIENT_SOURCE_FIELDS,PLAYER_NOT_VERIFIABLE_FROM_TEXT,GXSR001,REJECTED,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,,,2026-08-10T11:58:45.527Z,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
SP032-RUN2-GXSR003,カリステ,93795157,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/jpxneezd/status/2035030093240967369,2035030093240967369,2035030093240967369,@jpxneezd,2026-03-20 16:25:57 GMT,カリステみたいな内外野全ポジション守れる俊足巧打タイプの助っ人はNPBでは珍しいですか。,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_jpxneezd,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: QUESTION_FORM_NOT_DIRECT_PHYSICAL_SPEED_CLAIM,CONTEXT_ONLY,"Retained as raw context after individual re-review. The returned text does not provide a safely attributable, directional speed or rating claim under the flexible policy.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2035030093240967369,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,QUESTION_FORM_NOT_DIRECT_PHYSICAL_SPEED_CLAIM,RETAINED_NOT_DIRECTIONAL,PASS,PASS_PLAYER_TEXT_MATCH,GXSR003,REJECTED,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,カリステみたいな内外野全ポジション守れる俊足巧打タイプの助っ人はNPBでは珍しいですか。,2026-03-20 16:25:57 GMT,2026-08-10T11:58:29.304Z,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
SP032-RUN2-GXSR004,カリステ,93795157,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/NoKick/status/2038966073568154036,2038966073568154036,2038966073568154036,@NoKick,2026-03-31 13:06:08 GMT,中日はなんで俊足好守の二塁手みたいな打撃成績しか、残してない助っ人と契約してるの？カリステのことだけど　#dragons,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_NoKick,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",2038966073568154036,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH,GXSR004,REJECTED,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,中日はなんで俊足好守の二塁手みたいな打撃成績しか、残してない助っ人と契約してるの？カリステのことだけど　#dragons,2026-03-31 13:06:08 GMT,2026-08-10T11:58:29.304Z,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
SP032-RUN2-GXSR005,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/yutakah2/status/1774791555674751464,1774791555674751464,1774791555674751464,@yutakah2,2024-04-01 13:30:55 GMT,塩見泰隆　イノシシ並みの脚力,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_yutakah2,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,CONTEXT_ONLY,"Retained as raw context after individual re-review. The returned text does not provide a safely attributable, directional speed or rating claim under the flexible policy.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1774791555674751464,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RETAINED_NOT_DIRECTIONAL,PASS,PASS_PLAYER_TEXT_MATCH,GXSR005,REJECTED,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,塩見泰隆　イノシシ並みの脚力,2024-04-01 13:30:55 GMT,2026-08-10T12:38:49.636Z,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
SP032-RUN2-GXSR006,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/zanshin5439/status/1789576660419027362,1789576660419027362,1789576660419027362,@zanshin5439,2024-05-12,,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_zanshin5439,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,INSUFFICIENT,"Original rejection retained: post text and/or author, timestamp, post ID, URL is missing. No rating or physical direction is inferred from an incomplete returned record.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1789576660419027362,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,NOT_RECLASSIFIABLE_INSUFFICIENT,INSUFFICIENT_SOURCE_FIELDS,PLAYER_NOT_VERIFIABLE_FROM_TEXT,GXSR006,REJECTED,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,,2024-05-12,2026-08-10T12:39:01.900Z,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
SP032-RUN2-GXSR007,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/hoshunodaryoku/status/1844874767167533273,1844874767167533273,1844874767167533273,@hoshunodaryoku,2024-10-11,,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_hoshunodaryoku,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,INSUFFICIENT,"Original rejection retained: post text and/or author, timestamp, post ID, URL is missing. No rating or physical direction is inferred from an incomplete returned record.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1844874767167533273,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,NOT_RECLASSIFIABLE_INSUFFICIENT,INSUFFICIENT_SOURCE_FIELDS,PLAYER_NOT_VERIFIABLE_FROM_TEXT,GXSR007,REJECTED,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,,2024-10-11,2026-08-10T12:39:01.900Z,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
SP032-RUN2-GXSR008,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/swa39chacha/status/1857932605469110395,1857932605469110395,1857932605469110395,@swa39chacha,2024-11-16,,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_swa39chacha,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,INSUFFICIENT,"Original rejection retained: post text and/or author, timestamp, post ID, URL is missing. No rating or physical direction is inferred from an incomplete returned record.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1857932605469110395,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP,NOT_RECLASSIFIABLE_INSUFFICIENT,INSUFFICIENT_SOURCE_FIELDS,PLAYER_NOT_VERIFIABLE_FROM_TEXT,GXSR008,REJECTED,INCOMPLETE_RETURNED_METADATA,NONE_FOR_ACCEPTANCE,,2024-11-16,2026-08-10T12:39:01.900Z,POST_METADATA_INCOMPLETE_NOT_TREATED_AS_CONFIRMED_POST,SINGLE_RETURNED_URL
SP032-RUN2-GXSR009,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/TsubameZoku/status/1896682767947370912,1896682767947370912,1896682767947370912,@TsubameZoku,2025-03-03,そして、本日より塩見泰隆が1軍に復帰予定。あの快足好打が炸裂するか見ものです🐎,,,"[""PHYSICAL_FAST""]",WEAK_DIRECTIONAL,X_AUTHOR_TsubameZoku,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,ACCEPTED_WEAK_DIRECTIONAL_CONTEXT,"Reclassified under the flexible policy as weak directional physical context. The original rejection reason is retained; this record cannot independently create strict consensus, a rating value, or a player score.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1896682767947370912,1,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM,RECLASSIFIED_TO_WEAK_CONTEXT_LANE,PASS,PASS_PLAYER_TEXT_MATCH,GXSR009,REJECTED,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,そして、本日より塩見泰隆が1軍に復帰予定。あの快足好打が炸裂するか見ものです🐎,2025-03-03,2026-08-10T12:38:52.476Z,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
SP032-RUN2-GXSR010,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/epachinko/status/1918305639656505507,1918305639656505507,1918305639656505507,@epachinko,2025-05-02,"足の速い外野手
 塩見泰隆・周東佑京",,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_epachinko,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,CONTEXT_ONLY,"Retained as raw context after individual re-review. The returned text does not provide a safely attributable, directional speed or rating claim under the flexible policy.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1918305639656505507,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RETAINED_NOT_DIRECTIONAL,PASS,PASS_PLAYER_TEXT_MATCH,GXSR010,REJECTED,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,"足の速い外野手
 塩見泰隆・周東佑京",2025-05-02,2026-08-10T12:38:52.476Z,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
SP032-RUN2-GXSR011,塩見 泰隆,71975136,,,,X,GROK_X_OLD_REJECTED_LEDGER_RECLASSIFICATION,https://x.com/webSportiva/status/1957404644805841126,1957404644805841126,1957404644805841126,@webSportiva,2025-08-18,実力派芸人が語る先輩・塩見泰隆の「バケモノ」ぶり…「足も速いし、肩も強い。…」,,,"[""UNCLASSIFIED_CONTEXT""]",CONTEXT,X_AUTHOR_webSportiva,PHYSICAL,,,GROK_X_RETURNED_POST_LEDGER,Original rejection reason retained verbatim: GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,CONTEXT_ONLY,"Retained as raw context after individual re-review. The returned text does not provide a safely attributable, directional speed or rating claim under the flexible policy.",2026-08-13T11:25:10Z,"[""Read immutable old Grok-X rejected ledger"", ""data/manual/speed_2026_grok_x_search_receipts_20260810.json"", ""Individual run-2 reclassification against the task's flexible policy""]",1957404644805841126,0,1,,,,C:\Users\amila\Desktop\Claude Code\_worktrees\pawapuro-speed-2026-grok-x-sns-rescue\data\normalized\speed_2026_grok_x_sources.csv,7d66f634cc6be4e38fcbb486aa81ed3386d9def05cce16b29e65904cdb988644,GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE,RETAINED_NOT_DIRECTIONAL,PASS,PASS_PLAYER_TEXT_MATCH,GXSR011,REJECTED,NOT_ACCEPTED_AFTER_REVIEW,NONE_FOR_ACCEPTANCE,実力派芸人が語る先輩・塩見泰隆の「バケモノ」ぶり…「足も速いし、肩も強い。…」,2025-08-18,2026-08-10T12:38:52.476Z,RETRIEVED_BY_GROK_X_X_SEARCH,SINGLE_RETURNED_URL
