anchor_id,player,measurement_era,measurement_date,metric,value,unit,direction,cohort_id,cohort_completeness,source_manifest_id,source_tier,anchor_confidence,bank_acceptance_status,raw_trial_count,selection_method,selection_scope,speed_band,band_basis,cohort_rank,cohort_size,integration_boundary,limitations
A0001,蛭間拓哉,2022,2022-06-19,50M_STANDING_START_SECONDS,6.17,seconds,LOWER_IS_FASTER,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B8_SLOWEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,5,5,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Only the official top five are visible; no complete-cohort distribution is claimed.
A0002,友杉篤輝,2022,2022-06-19,50M_STANDING_START_SECONDS,6.1,seconds,LOWER_IS_FASTER,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B7_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,4,5,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Only the official top five are visible; no complete-cohort distribution is claimed.
A0003,松浦佑星,2022,2022-06-19,50M_STANDING_START_SECONDS,6.06,seconds,LOWER_IS_FASTER,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B5_MID_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,3,5,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Only the official top five are visible; no complete-cohort distribution is claimed.
A0004,林琢真,2022,2022-06-19,50M_STANDING_START_SECONDS,5.99,seconds,LOWER_IS_FASTER,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B4_MID_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,2,5,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Only the official top five are visible; no complete-cohort distribution is claimed.
A0005,矢澤宏太,2022,2022-06-19,50M_STANDING_START_SECONDS,5.98,seconds,LOWER_IS_FASTER,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,1,5,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Only the official top five are visible; no complete-cohort distribution is claimed.
A0006,岡城快生,2024,2024-11-30,50M_STANDING_START_SECONDS,5.82,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B1_FASTEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,1,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0007,松川玲央,2024,2024-11-30,50M_STANDING_START_SECONDS,5.89,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B1_FASTEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,2,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0008,藤森康淳,2024,2024-11-30,50M_STANDING_START_SECONDS,5.97,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B1_FASTEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,3,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0009,平川蓮,2024,2024-11-30,50M_STANDING_START_SECONDS,5.99,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,4,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0010,立石正広,2024,2024-11-30,50M_STANDING_START_SECONDS,6.07,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,5,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
