player,team,mine,mineStat,npbUsed,npbDerived,materialGap,pp,diff,adj,tier,years,games,pa,ppFirst,ppLast,ppTotal,ppChanges,ppUnchanged,ppObs,confidence,directT90,shortDist,bigDiff,needReview
村林 一輝,東北楽天ゴールデンイーグルス,78.7,49.9,34.5,87.72597103922413,37.825971039224136,69,9.700000000000003,24.5696320833526,1,3,96,386,60,69,9,2,2639,53,低,0,0,,true
福永 裕基,中日ドラゴンズ,73.1,62.9,33,76.26268198557366,13.362681985573666,64,9.099999999999994,20.19716274425521,1,2,73,256,64,64,0,0,1188,20,中,0,0,,true
カリステ,中日ドラゴンズ,60.4,51.1,31.3,63.27095439143642,12.170954391436418,82,-21.6,-19.058258792626347,1,3,26,67,,,,,,,低,0,2,,true
水野 達稀,北海道日本ハムファイターズ,76.1,65.8,33.4,79.3195590665471,13.519559066547103,71,5.099999999999994,18.218128461628808,1,2,98,409,68,71,3,1,819,25,中,0,0,,true
古賀 優大,東京ヤクルトスワローズ,60.6,32.3,32.1,69.38470855338338,37.08470855338338,46,14.600000000000001,17.276472255198563,1,1,69,252,46,46,0,0,3351,48,低,0,0,,true
野間 峻祥,広島東洋カープ,65.1,61.3,31.7,66.32783147240988,5.027831472409886,88,-22.900000000000006,-17.19207916874106,1,4,35,86,85,88,3,2,1913,53,低,0,0,,true
京田 陽太,横浜DeNAベイスターズ,59.2,51.2,31.1,61.7425158509497,10.542515850949698,78,-18.799999999999997,-17.06664507957578,1,4,45,119,78,78,0,5,1295,48,中,0,0,,true
宮﨑 敏郎,横浜DeNAベイスターズ,52.3,41.8,30.3,55.62876168900277,13.828761689002775,33,19.299999999999997,16.385133770464932,1,4,75,267,55,33,-22,5,1771,58,中,0,0,,true
矢野 雅哉,広島東洋カープ,60.2,65,30.7,58.68563876997621,6.314361230023792,78,-17.799999999999997,-15.39298984045125,1,3,44,58,71,78,7,1,1197,30,中,0,0,,true
浅村 栄斗,東北楽天ゴールデンイーグルス,52.9,39.3,30.5,57.15720022948949,17.857200229489493,35,17.9,15.389326913939655,1,4,87,333,66,35,-31,6,1533,58,中,0,0,,true
モンテロ,広島東洋カープ,60.5,36.8,31.9,67.8562700128966,31.056270012896604,49,11.5,14.109106731286104,1,1,86,251,,,,,,,低,1,2,,true
郡司 裕也,北海道日本ハムファイターズ,67.6,47,32.7,73.97002417484359,26.970024174843587,61,6.599999999999994,13.992058929070282,1,4,79,284,61,61,0,0,2182,34,低,0,0,,true
今宮 健太,福岡ソフトバンクホークス,54,46.4,30.4,56.3929809592461,9.992980959246104,66,-12,-13.769652323023351,1,4,47,138,66,66,0,4,2440,58,中,0,0,,true
細川 成也,中日ドラゴンズ,66.8,43.9,32.7,73.97002417484359,30.07002417484359,60,6.799999999999997,13.653134737770657,1,3,102,429,60,60,0,0,3351,48,低,0,0,,true
岸田 行倫,読売ジャイアンツ,47.7,44.2,29.4,48.75078825681243,4.5507882568124245,55,-7.299999999999997,-13.313680329507903,1,2,56,196,55,55,0,0,2987,44,中,0,0,,true
坂倉 将吾,広島東洋カープ,55.6,48.3,30.6,57.92141949973288,9.62141949973288,68,-12.399999999999999,-13.0918039404241,1,4,94,383,52,68,16,2,2499,48,高,0,0,,true
山口 航輝,千葉ロッテマリーンズ,61.5,40.8,31.9,67.8562700128966,27.056270012896604,52,9.5,12.782761970410633,1,4,67,243,52,52,0,0,2625,39,低,0,0,,true
大城 卓三,読売ジャイアンツ,44.7,36.8,29.2,47.22234971632571,10.422349716325712,24,20.700000000000003,12.665353953118498,1,3,70,227,43,24,-19,2,1181,44,中,0,0,,true
西川 龍馬,オリックス・バファローズ,58.5,48.1,31.1,61.7425158509497,13.6425158509497,72,-13.5,-12.23820374696296,1,4,102,436,69,72,3,1,3143,56,中,0,0,,true
野村 佑希,北海道日本ハムファイターズ,61.1,44.7,31.7,66.32783147240988,21.62783147240988,52,9.100000000000001,12.113299874760827,1,4,84,302,45,52,7,2,1370,39,低,0,0,,true
正木 智也,福岡ソフトバンクホークス,58.2,46.9,31.1,61.7425158509497,14.842515850949702,48,10.200000000000003,11.259699681299686,1,1,62,292,48,48,0,0,1531,25,低,0,0,,true
藤岡 裕大,千葉ロッテマリーンズ,55.3,42.1,30.8,59.449858040219596,17.349858040219594,65,-9.700000000000003,-10.593900512161468,1,3,9,26,67,65,-2,1,2275,44,低,0,0,,true
西野 真弘,オリックス・バファローズ,62.5,52.7,31.6,65.56361220216652,12.863612202166522,76,-13.5,-9.543582790464825,1,4,29,85,71,76,5,1,3351,53,低,0,0,,true
鈴木 大地,東北楽天ゴールデンイーグルス,46.5,48.9,29,45.69391117583899,3.2060888241610073,49,-2.5,-9.322066616457349,1,4,34,55,57,49,-8,2,2573,58,低,0,0,,true
丸山 和郁,東京ヤクルトスワローズ,68.7,59,32.4,71.67736636411345,12.677366364113453,86,-17.299999999999997,-9.166920307892724,1,2,39,112,86,86,0,0,1531,25,低,0,0,,true
宗 佑磨,オリックス・バファローズ,63.1,47.6,31.9,67.8562700128966,20.2562700128966,76,-12.899999999999999,-8.539389646990102,1,4,96,388,,,,,,,低,0,0,,true
名原 典彦,広島東洋カープ,,,,,,,,,1,,53,222,,,,,,,低,0,0,,true
塩見 泰隆,東京ヤクルトスワローズ,,,,,,83,,,1,,37,83,69,83,14,2,1798,44,低,0,0,,true
林 琢真,横浜DeNAベイスターズ,64.8,52.8,32,68.62048928313999,15.820489283139992,82,-17.200000000000003,-11.694175740478414,2,3,42,104,87,82,-5,1,910,20,中,0,1,,true
石川 昂弥,中日ドラゴンズ,54.1,41.9,30.6,57.92141949973288,16.02141949973288,41,13.100000000000001,11.3977132008891,2,3,64,236,55,41,-14,1,1106,34,中,0,0,,true
周東 佑京,福岡ソフトバンクホークス,86.8,71.8,35,91.54706739044099,19.74706739044099,96,-9.200000000000003,11.126239520261308,2,4,95,404,85,96,11,3,1909,38,中,0,0,,true
木浪 聖也,阪神タイガース,51.6,46,30,53.33610387827264,7.336103878272638,59,-7.399999999999999,-10.786424896922227,2,4,46,134,67,59,-8,2,1308,39,中,0,0,,true
小園 海斗,広島東洋カープ,63.6,59.8,31.5,64.79939293192317,4.999392931923168,79,-15.399999999999999,-10.702562027427845,2,4,96,382,86,79,-7,2,1493,39,高,0,0,,true
来田 涼斗,オリックス・バファローズ,67.5,54.2,32.4,71.67736636411345,17.47736636411345,85,-17.5,-10.17530659484217,2,2,62,183,72,85,13,4,763,30,中,0,0,,true
太田 光,東北楽天ゴールデンイーグルス,54.9,47.7,30.5,57.15720022948949,9.457200229489487,44,10.899999999999999,9.736637392188726,2,4,72,204,52,44,-8,2,1379,39,中,0,0,,true
蝦名 達夫,横浜DeNAベイスターズ,61.8,54.7,31.4,64.03517366167978,9.335173661679775,75,-13.200000000000003,-9.715141457851999,2,3,77,283,70,75,5,1,1845,34,中,0,0,,true
山川 穂高,福岡ソフトバンクホークス,45.2,33.6,29.4,48.75078825681243,15.150788256812426,47,-1.7999999999999972,-9.497818427319231,2,3,46,168,41,47,6,2,2275,56,中,0,0,,true
佐藤 都志也,千葉ロッテマリーンズ,59.6,47.8,31.3,63.27095439143642,15.470954391436422,71,-11.399999999999999,-9.397182983925973,2,4,88,301,76,71,-5,1,2042,34,中,0,0,,true
清宮 幸太郎,北海道日本ハムファイターズ,61.7,47.2,31.7,66.32783147240988,19.12783147240988,56,5.700000000000003,9.11749301823555,2,4,97,363,45,56,11,1,1547,44,中,0,0,,true
秋山 翔吾,広島東洋カープ,63.5,56.8,31.6,65.56361220216652,8.763612202166527,77,-13.5,-8.869927551340297,2,4,49,134,72,69,-3,6,3003,49,中,0,2,,true
中野 拓夢,阪神タイガース,72.6,63.5,32.9,75.49846271533028,11.998462715330277,75,-2.4000000000000057,8.360335124692938,2,4,99,407,69,75,6,2,1650,30,中,0,0,,true
村松 開人,中日ドラゴンズ,74.2,57.9,33.4,79.3195590665471,21.4195590665471,80,-5.799999999999997,6.038183507292203,2,3,99,413,78,80,2,1,851,20,低,0,0,,true
中村 悠平,東京ヤクルトスワローズ,52.8,41.1,30.4,56.3929809592461,15.292980959246101,56,-3.200000000000003,-5.778038609972796,2,4,32,65,65,56,-9,2,2847,58,低,0,0,,true
田宮 裕涼,北海道日本ハムファイターズ,66.8,51.1,32.4,71.67736636411345,20.577366364113452,68,-1.2000000000000028,5.653134737770657,2,2,74,236,61,68,7,1,1913,39,低,0,0,,true
並木 秀尊,東京ヤクルトスワローズ,84.1,89.4,33.8,82.37643614752056,7.023563852479441,97,-12.900000000000006,5.607370374625063,2,2,18,45,95,97,2,1,1631,30,低,0,0,,true
梅野 隆太郎,阪神タイガース,54.2,42.6,30.6,57.92141949973288,15.321419499732876,57,-2.799999999999997,-4.434921275198441,2,4,23,71,61,57,-4,1,3378,56,低,0,0,,true
大島 洋平,中日ドラゴンズ,64.5,58.7,31.7,66.32783147240988,7.627831472409881,74,-9.5,-4.196272312215768,2,3,21,66,87,74,-13,4,1624,58,低,0,0,,true
伏見 寅威,阪神タイガース,44.3,37.2,29.1,46.45813044608235,9.258130446082347,40,4.299999999999997,-4.004108142531322,2,4,35,105,44,40,-4,1,2288,55,低,0,0,,true
岡 大海,千葉ロッテマリーンズ,69.5,57.6,32.6,73.2058049046002,15.605804904600198,82,-12.5,-3.8279961165930985,2,4,26,50,90,82,-8,2,1722,41,低,0,0,,true
外崎 修汰,埼玉西武ライオンズ,65.4,47.6,32.3,70.91314709387007,23.313147093870064,68,-2.5999999999999943,3.3100174029963227,2,4,23,69,70,68,-2,3,1673,53,低,0,0,,true
柳田 悠岐,福岡ソフトバンクホークス,64.3,47.9,32.1,69.38470855338338,21.484708553383378,67,-2.700000000000003,2.468996639959329,2,3,89,333,81,67,-14,6,1141,58,低,0,0,,true
小幡 竜平,阪神タイガース,69.8,54.2,32.8,74.73424344508689,20.534243445086886,77,-7.200000000000003,1.6741004551442558,2,2,36,104,77,77,0,0,2625,39,低,0,0,,true
ファビアン,広島東洋カープ,58.4,40.4,31.4,64.03517366167978,23.63517366167978,61,-2.6000000000000014,-1.405569270875418,2,1,65,255,,,,,,,低,0,0,,true
木下 拓哉,中日ドラゴンズ,46.9,40.9,29.4,48.75078825681243,7.850788256812429,39,7.899999999999999,1.347395479192457,2,4,21,63,45,39,-6,1,1917,53,低,0,0,,true
梶原 昂希,横浜DeNAベイスターズ,75.8,64.5,33.4,79.3195590665471,14.8195590665471,90,-14.200000000000003,-1.283968110108546,2,2,28,73,83,90,7,2,819,25,低,0,0,,true
土田 龍空,中日ドラゴンズ,62.8,63.7,31.2,62.50673512119306,1.1932648788069429,66,-3.200000000000003,0.9585137812725293,2,2,38,43,62,66,4,2,943,30,低,0,0,,true
太田 椋,オリックス・バファローズ,61.5,46,31.7,66.32783147240988,20.327831472409883,64,-2.5,0.7827619704106326,2,3,85,347,61,64,3,1,1913,39,低,0,0,,true
小川 龍成,千葉ロッテマリーンズ,74.1,57.6,33.4,79.3195590665471,21.7195590665471,86,-11.900000000000006,-0.12918201662026263,2,2,96,346,73,86,13,1,1197,30,低,0,0,,true
友杉 篤輝,千葉ロッテマリーンズ,70.2,58.1,32.7,73.97002417484359,15.870024174843586,87,-16.799999999999997,-7.656437449205924,3,3,83,270,81,87,6,2,943,20,中,0,1,,false
若月 健矢,オリックス・バファローズ,56,47.5,30.7,58.68563876997621,11.185638769976208,48,8,7.577658155225706,3,4,80,244,57,48,-9,3,1904,56,中,0,0,,false
牧原 大成,福岡ソフトバンクホークス,76.2,63.9,33.5,80.08377833679049,16.18377833679049,82,-5.799999999999997,7.385493985541274,3,4,97,368,82,82,0,0,3715,58,中,0,0,,false
佐々木 俊輔,読売ジャイアンツ,72.6,60.7,33,76.26268198557366,15.562681985573661,76,-3.4000000000000057,7.360335124692938,3,2,81,249,73,76,3,1,642,15,中,0,0,,false
大山 悠輔,阪神タイガース,53.4,41.3,30.5,57.15720022948949,15.857200229489493,58,-4.600000000000001,-6.773845466498074,3,4,97,402,54,58,4,1,3211,48,中,0,0,,false
サンタナ,東京ヤクルトスワローズ,54.9,40.5,30.8,59.449858040219596,18.949858040219596,47,7.899999999999999,6.736637392188726,3,4,96,357,,,,,,,中,0,2,,false
ソト,千葉ロッテマリーンズ,42.7,42.7,,,,40,2.700000000000003,-6.681956525130566,3,4,88,302,,,,,,,高,0,0,,false
長岡 秀樹,東京ヤクルトスワローズ,61,46.3,31.6,65.56361220216652,19.263612202166527,58,3,5.9459343508483755,3,4,85,355,66,58,-8,1,1314,34,中,0,0,,false
坂本 誠志郎,阪神タイガース,52.7,45.8,30.2,54.864542418759385,9.064542418759387,56,-3.299999999999997,-5.945404133885241,3,4,63,194,53,56,3,1,3211,53,中,0,0,,false
森下 翔太,阪神タイガース,55.1,48.5,30.5,57.15720022948949,8.65720022948949,60,-4.899999999999999,-5.928631559986371,3,3,99,432,60,60,0,0,1188,20,高,0,0,,false
古賀 悠斗,埼玉西武ライオンズ,54.1,42,30.6,57.92141949973288,15.921419499732878,47,7.100000000000001,5.3977132008891004,3,3,76,193,35,47,12,1,1006,25,中,0,0,,false
松本 剛,読売ジャイアンツ,60.8,50.4,31.4,64.03517366167978,13.63517366167978,69,-8.200000000000003,-5.3887966969765415,3,4,88,290,65,69,4,1,2212,55,中,0,0,,false
田中 幹也,中日ドラゴンズ,75.6,61,33.5,80.08377833679049,19.083778336790488,83,-7.400000000000006,5.381300842066537,3,2,73,247,83,83,0,0,1188,20,中,0,0,,false
源田 壮亮,埼玉西武ライオンズ,73.8,68.2,32.9,75.49846271533028,7.298462715330274,80,-6.200000000000003,5.368721411642383,3,4,81,209,82,80,-2,2,2431,48,高,0,0,,false
安田 尚憲,千葉ロッテマリーンズ,47.2,37.3,29.6,50.2792267972992,12.979226797299205,46,1.2000000000000028,-5.150507949070175,3,4,42,129,46,46,0,0,2987,44,中,0,0,,false
高橋 周平,中日ドラゴンズ,47.4,40.7,29.5,49.515007527055815,8.815007527055812,46,1.3999999999999986,-4.815776901245272,3,4,48,102,50,46,-4,3,2476,58,中,0,0,,false
近藤 健介,福岡ソフトバンクホークス,58.2,44.5,31.2,62.50673512119306,18.00673512119306,64,-5.799999999999997,-4.740300318700314,3,4,97,417,50,64,14,3,1771,58,中,0,0,,false
森 友哉,オリックス・バファローズ,58.8,47.1,31.2,62.50673512119306,15.406735121193059,65,-6.200000000000003,-4.736107175225605,3,4,65,250,65,65,0,0,1188,20,中,0,0,,false
ポランコ,千葉ロッテマリーンズ,57.9,45.9,31.1,61.7425158509497,15.842515850949702,63,-5.100000000000001,-4.242396890437682,3,4,52,149,,,,,,,中,0,2,,false
奈良間 大己,北海道日本ハムファイターズ,63.2,53.4,31.7,66.32783147240988,12.927831472409885,64,-0.7999999999999972,3.627975876922349,3,3,84,192,64,64,0,0,1188,20,中,0,1,,false
丸 佳浩,読売ジャイアンツ,59.5,45.3,31.4,64.03517366167978,18.73517366167978,65,-5.5,-3.564548507838424,3,4,46,82,,,,,,,中,0,0,,false
菊池 涼介,広島東洋カープ,63.7,52.8,31.8,67.09205074265327,14.292050742653274,72,-8.299999999999997,-3.5351965035153796,3,4,88,353,82,72,-10,1,3143,58,中,0,0,,false
佐野 恵太,横浜DeNAベイスターズ,53.5,39.5,30.6,57.92141949973288,18.421419499732878,48,5.5,3.393520057414378,3,4,95,396,53,48,-5,1,2219,48,中,0,0,,false
髙部 瑛斗,千葉ロッテマリーンズ,78.5,70.9,33.6,80.84799760703385,9.947997607033841,90,-11.5,3.2349010355276846,3,3,44,130,80,90,10,2,1314,34,中,0,0,,false
中川 圭太,オリックス・バファローズ,68.9,55.3,32.6,73.2058049046002,17.905804904600203,74,-5.099999999999994,3.167810739932193,3,4,93,366,58,74,16,5,790,39,中,0,0,,false
吉川 尚輝,読売ジャイアンツ,68.8,57.2,32.5,72.44158563435681,15.24158563435681,80,-11.200000000000003,-2.9995547839802725,3,4,40,144,80,80,0,0,3351,48,中,0,0,,false
佐藤 輝明,阪神タイガース,65.2,52,32.1,69.38470855338338,17.384708553383376,68,-2.799999999999997,2.97528635517142,3,4,99,420,68,68,0,0,1909,30,中,0,0,,false
牧 秀悟,横浜DeNAベイスターズ,61.1,46.9,31.6,65.56361220216652,18.663612202166526,67,-5.899999999999999,-2.886700125239173,3,4,65,288,,,,,,,中,0,0,,false
渡邊 佳明,東北楽天ゴールデンイーグルス,54.3,50.3,30.3,55.62876168900277,5.328761689002775,50,4.299999999999997,2.7324442487140033,3,3,54,140,50,50,0,0,2625,39,中,0,0,,false
度会 隆輝,横浜DeNAベイスターズ,63,52.5,31.7,66.32783147240988,13.827831472409883,65,-2,2.293244829097432,3,2,91,317,65,65,0,0,712,15,中,0,0,,false
