"record_id","player","canonical_player_id","team","game","edition_or_update","attribute_name","attribute_value","source_url","collected_at","acquisition_status","current_attempted_routes","historical_attempted_routes","reason"
"SPCH-20260813-001","宗 佑磨","11815130","オリックス・バファローズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/buffaloes-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-002","来田 涼斗","51955153","オリックス・バファローズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/buffaloes-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-003","若月 健矢","41645139","オリックス・バファローズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/buffaloes-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-004","西川 龍馬","71475132","オリックス・バファローズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/buffaloes-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-005","西野 真弘","91495130","オリックス・バファローズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/buffaloes-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-006","カリステ","93795157","中日ドラゴンズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/dragons-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-007","土田 龍空","51455153","中日ドラゴンズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/dragons-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-008","大島 洋平","01305131","中日ドラゴンズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/dragons-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-009","岡林 勇希","81585151","中日ドラゴンズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/dragons-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
"SPCH-20260813-010","木下 拓哉","31735132","中日ドラゴンズ","Pro Yakyuu Spirits 2026 / ProspiA","2026 opening / historical check through 2025S2 and 2024S2","走力","","https://prospi-player.com/dragons-2026-kaimaku/","2026-08-13T19:55:09.7066386+09:00","INSUFFICIENT","Official 2026 release and team roster page identified; per-player ability image path inspected. No validated machine-readable 走力 value was obtainable; image OCR was not reliable enough to transcribe a number.","ProspiA structured databases 2025 Series2 and 2024 Series2 identified; no verified, player-specific historical 走力 value was collected in this checkpoint. Historical value intentionally left blank.","No value inferred from ability images or search snippets. This row preserves both current and historical collection attempts for the owner-review candidate."
