record_id,task_id,run_id,record_type,player,canonical_player_id,team,game,edition,source_player_name,source_team,source_position,source_rank,source_card_type,attribute_name,attribute_value,source_url,source_table_index,source_row_number,source_row_fingerprint,collected_at_utc,http_status,acquisition_status,acceptance_status,exclusion_or_decision_reason,error_type,error_message,attempted_routes,parser_version
SP-054-RUN3-2026S1-91995151-f82b38398897ed98,SP-054,speed-prospi-gamex-run3-20260813,MATCHED_CARD,紅林 弘太郎,91995151,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,紅林弘太郎,オリックス,遊撃,S,レギュラー,走力,70,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,0,22,f82b38398897ed98,2026-08-13T13:32:35.868291Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,NFKC・空白/中黒・新旧字の正規化後、同一版の選手名と球団が一致したため、GameX掲載の走力を変換せず記録した。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-41645139-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,若月 健矢,41645139,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-11815130-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,宗 佑磨,11815130,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-91495139-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,森 友哉,91495139,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-71475132-6a9df564f72fa00a,SP-054,speed-prospi-gamex-run3-20260813,MATCHED_CARD,西川 龍馬,71475132,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,西川龍馬,オリックス,左翼,S,レギュラー,走力,75,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,0,11,6a9df564f72fa00a,2026-08-13T13:32:35.868291Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,NFKC・空白/中黒・新旧字の正規化後、同一版の選手名と球団が一致したため、GameX掲載の走力を変換せず記録した。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-91495130-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,西野 真弘,91495130,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-91395138-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,太田 椋,91395138,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-51255138-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,中川 圭太,51255138,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-51955153-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,来田 涼斗,51955153,オリックス・バファローズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-51555151-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,蝦名 達夫,51555151,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-51555155-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,梶原 昂希,51555155,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-51455137-b456e6ace77ca7ba,SP-054,speed-prospi-gamex-run3-20260813,MATCHED_CARD,宮﨑 敏郎,51455137,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,宮﨑敏郎,DeNA,三塁,S,TSセレクション 第1弾,走力,62,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,0,3,b456e6ace77ca7ba,2026-08-13T13:32:35.868291Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,NFKC・空白/中黒・新旧字の正規化後、同一版の選手名と球団が一致したため、GameX掲載の走力を変換せず記録した。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-81585134-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,京田 陽太,81585134,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-91995134-8a7cd83c51b4a85e,SP-054,speed-prospi-gamex-run3-20260813,MATCHED_CARD,佐野 恵太,91995134,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,佐野恵太,DeNA,一塁,S,レギュラー,走力,63,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,0,10,8a7cd83c51b4a85e,2026-08-13T13:32:35.868291Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,NFKC・空白/中黒・新旧字の正規化後、同一版の選手名と球団が一致したため、GameX掲載の走力を変換せず記録した。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-23125136-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,山本 祐大,23125136,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-33535159-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,度会 隆輝,33535159,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-41945131-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,筒香 嘉智,41945131,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-13115153-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,牧 秀悟,13115153,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-91695157-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,林 琢真,91695157,横浜DeNAベイスターズ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-43745150-601823d90bec3c7d,SP-054,speed-prospi-gamex-run3-20260813,MATCHED_CARD,ファビアン,43745150,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,サンドロ・ファビアン,広島,左翼,S,レギュラー,走力,70,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,0,18,601823d90bec3c7d,2026-08-13T13:32:35.868291Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,文書化済みのGameX選手名別名と球団が一致したため、GameX掲載の走力を変換せず記録した。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-53955150-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,モンテロ,53955150,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-61565135-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,菊池 涼介,61565135,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-11915134-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,坂倉 将吾,11915134,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-31135133-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,秋山 翔吾,31135133,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-01705138-97777264d7841c22,SP-054,speed-prospi-gamex-run3-20260813,MATCHED_CARD,小園 海斗,01705138,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,小園海斗,広島,遊撃,S,レギュラー,走力,78,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,0,20,97777264d7841c22,2026-08-13T13:32:35.868291Z,200,RETRIEVED,ACCEPTED_FOR_EXTERNAL_GAME_LANE,NFKC・空白/中黒・新旧字の正規化後、同一版の選手名と球団が一致したため、GameX掲載の走力を変換せず記録した。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-NO_CANONICAL_2448a197a1b8a00e-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,名原 典彦,,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
SP-054-RUN3-2026S1-01405130-NOTFOUND,SP-054,speed-prospi-gamex-run3-20260813,PLAYER_OUTCOME,野間 峻祥,01405130,広島東洋カープ,Pro Yakyuu Spirits A,2026 Series 1,,,,,,走力,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1,,,,2026-08-13T13:32:35.868291Z,200,NOT_FOUND,NOT_ACCEPTED_NO_VALUE,版別ページには到達し、走力列を持つ打者表を全行解析したが、正規化済みのフル氏名（または文書化済み別名）に一致する選手行がなかった。これは当該GameXページ内の不在であり、ゲーム全体での未収録を意味しない。,,,https://gamex.jp/prospi-top/prospi-players/prospi-players-2026-s1; https://gamex.jp/prospi-players-2026-s1/; https://gamex.jp/prospi-top; https://gamex.jp/prospi-top/prospi-players; https://gamex.jp/sitemap_index.xml; https://gamex.jp/page-sitemap.xml,2.0.0
