player,mine_current,mine_candidate,delta,pp,raw_diff_current,raw_diff_candidate,tier_current,tier_candidate,causes_candidate,stale_candidate
矢野 雅哉,60.2,85.4,25.20,78,-17.799999999999997,7.400000000000006,1,2,"PROJECT_EVIDENCE_CONFLICT",NO_STALE_EVIDENCE
土田 龍空,62.8,83.7,20.90,66,-3.200000000000003,17.700000000000003,2,1,"PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
古賀 優大,60.6,40.3,-20.30,46,14.600000000000001,-5.700000000000003,1,1,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK",POWERPRO_STALE_SUPPORTED
岩田 幸宏,80.8,100,19.20,96,-15.200000000000003,4,3,2,"MODEL_SCALE|PROJECT_EVIDENCE_CONFLICT",NO_STALE_EVIDENCE
鈴木 大地,46.5,63.2,16.70,49,-2.5,14.200000000000003,1,1,"PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
源田 壮亮,73.8,89.9,16.10,80,-6.200000000000003,9.900000000000006,3,1,"PROJECT_EVIDENCE_CONFLICT",NO_STALE_EVIDENCE
並木 秀尊,84.1,100,15.90,97,-12.900000000000006,3,2,1,"MODEL_SCALE|PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
岡林 勇希,70.9,86.8,15.90,81,-10.099999999999994,5.799999999999997,3,2,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
髙部 瑛斗,78.5,93.7,15.20,90,-11.5,3.700000000000003,3,2,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
野間 峻祥,65.1,80.3,15.20,88,-22.900000000000006,-7.700000000000003,1,2,"PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
小園 海斗,63.6,78.3,14.70,79,-15.399999999999999,-0.7000000000000028,2,3,"PROJECT_EVIDENCE_CONFLICT",NO_STALE_EVIDENCE
モンテロ,60.5,46.5,-14.00,49,11.5,-2.5,1,2,"PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
村林 一輝,78.7,64.7,-14.00,69,9.700000000000003,-4.299999999999997,1,3,"PROJECT_EVIDENCE_CONFLICT|POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
滝澤 夏央,74,87.5,13.50,85,-11,2.5,3,3,"PROJECT_EVIDENCE_CONFLICT",NO_STALE_EVIDENCE
大島 洋平,64.5,76.8,12.30,74,-9.5,2.799999999999997,2,2,"PROJECT_EVIDENCE_CONFLICT|CURRENT_EVIDENCE_WEAK",NO_STALE_EVIDENCE
渡邊 佳明,54.3,65.2,10.90,50,4.299999999999997,15.200000000000003,3,1,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_SUPPORTED
中野 拓夢,72.6,83.4,10.80,75,-2.4000000000000057,8.400000000000006,2,2,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_SUPPORTED
藤原 恭大,73.4,84.2,10.80,85,-11.599999999999994,-0.7999999999999972,3,3,"POWERPRO_STALE_OR_ODD",POWERPRO_STALE_POSSIBLE
