player,player_id,rating_claims,directional_rating_claims,physical_speed_observations,technique_context,attributable_origins,unattributed_events,verdict
カリステ,93795157,1,1,0,0,0,1,TOO_HIGH
ポランコ,63065155,1,0,0,0,1,0,RATING_CONTEXT_ONLY
安田 尚憲,81885136,1,1,0,0,0,1,STALE_OR_TEMPORAL_CONCERN
塩見 泰隆,71975136,0,0,3,0,0,3,PHYSICAL_CONTEXT_ONLY
岩田 幸宏,51355155,1,1,1,0,1,1,APPROPRIATE
郡司 裕也,21925151,1,1,0,0,0,1,TOO_HIGH
古賀 優大,01705134,1,0,0,0,1,0,RATING_CONTEXT_ONLY
古賀 悠斗,81785155,0,0,2,0,0,2,PHYSICAL_CONTEXT_ONLY
佐藤 輝明,41045153,2,0,0,0,1,1,RATING_CONTEXT_ONLY
山口 航輝,91895138,0,0,1,1,0,1,PHYSICAL_CONTEXT_ONLY
山川 穂高,21425139,2,1,0,0,0,2,TOO_HIGH
森下 翔太,43145157,2,1,0,0,2,0,TOO_LOW
大島 洋平,01305131,0,0,0,1,0,1,TECHNIQUE_CONTEXT_ONLY
中川 圭太,51255138,0,0,2,0,0,2,PHYSICAL_CONTEXT_ONLY
藤原 恭大,31635138,1,0,0,0,0,1,RATING_CONTEXT_ONLY
木浪 聖也,31735138,1,1,0,0,0,1,APPROPRIATE
野間 峻祥,01405130,2,2,0,0,2,0,TOO_HIGH
柳田 悠岐,31835133,0,0,1,0,1,0,PHYSICAL_CONTEXT_ONLY
