threshold,stratum,n,r_stat,r_npb,partial,ci_lo,ci_hi,inc_r2
5,ALL,75,0.5022074971708699,0.30420318000922697,-0.09577457718211853,-0.31244310812548937,0.1124689830019987,0.006859283663485094
5,1年,2,,,,,,
5,2年,16,0.7034477707318452,0.645392871243793,0.1708414901781567,-0.38318568020211236,0.5538949886900905,0.01474404735956214
5,3年以上,57,0.37344721741466547,0.1608009431094212,-0.1526707114189877,-0.36562056055007774,0.11650803370475872,0.02005769834725346
10,ALL,52,0.6004734479062227,0.4080256349382956,-0.06052828627150124,-0.3083606659400794,0.20819642679489833,0.0023426687094919574
10,1年,2,,,,,,
10,2年,12,0.727993560413346,0.7277533123554218,0.3218423423544322,-0.33730631565788866,0.7264788424899056,0.048686400375137495
10,3年以上,38,0.4563735532240791,0.2213235905507593,-0.19337471432331974,-0.4732965502799016,0.215010000638282,0.02960552252128501
15,ALL,28,0.5794143572155603,0.341071611686541,-0.1270559415195602,-0.5430462419203906,0.3753070747666617,0.010723596949924197
15,1年,0,,,,,,
15,2年,5,,,,,,
15,3年以上,23,0.521965901243,0.2277080303394999,-0.19630234143214512,-0.6297840899507563,0.3704896888327455,0.028035916537082706
