対象: 8作品 × 12球団 = 最大96ページ
速度: 1リクエスト1500ms待機・直列

  2013 実在する版: 20131108
  2014 全12球団 取得済み（スキップ）
  2016 実在する版: 1.11, 1.10, 1.09, 1.07, 1.06, 1.05 ...
  2018 実在する版: 1.15, 1.14, 1.12, 1.11, 1.10, 1.09 ...
  2020 実在する版: 1.16, 1.15, 1.13, 1.12, 1.09, 1.07 ...
  2022 実在する版: 1.13, 1.12, 1.11, 1.10, 1.09, 1.08 ...
  2024 全12球団 取得済み（スキップ）
  2026 実在する版: 1.11, 1.10

  2013 東北楽天ゴールデンイーグルス 版20131108  102KB
  2013 北海道日本ハムファイターズ  版20131108  98KB
  2013 埼玉西武ライオンズ      版20131108  96KB
  2016 東北楽天ゴールデンイーグルス 版1.11  110KB
  2016 北海道日本ハムファイターズ  版1.11  103KB
  2016 埼玉西武ライオンズ      版1.11  111KB
  2018 読売ジャイアンツ       版1.15  109KB
  2018 阪神タイガース        版1.15  108KB
  2018 横浜DeNAベイスターズ   版1.15  110KB
  2018 中日ドラゴンズ        版1.15  107KB
  2018 東京ヤクルトスワローズ    版1.15  109KB
  2018 広島東洋カープ        版1.15  111KB
  2018 福岡ソフトバンクホークス   版1.15  112KB
  2018 オリックス・バファローズ   版1.15  114KB
  2018 千葉ロッテマリーンズ     版1.15  112KB
  2018 東北楽天ゴールデンイーグルス 版1.15  113KB
  2018 北海道日本ハムファイターズ  版1.15  109KB
  2018 埼玉西武ライオンズ      版1.15  106KB
  2020 読売ジャイアンツ       版1.16  114KB
  2020 阪神タイガース        版1.16  111KB
  2020 横浜DeNAベイスターズ   版1.16  110KB
  2020 中日ドラゴンズ        版1.16  112KB
  2020 東京ヤクルトスワローズ    版1.16  111KB
  2020 広島東洋カープ        版1.16  112KB
  2020 福岡ソフトバンクホークス   版1.16  114KB
  2020 オリックス・バファローズ   版1.16  114KB
  2020 千葉ロッテマリーンズ     版1.16  115KB
  2020 東北楽天ゴールデンイーグルス 版1.16  112KB
  2020 北海道日本ハムファイターズ  版1.16  110KB
  2020 埼玉西武ライオンズ      版1.16  111KB
  2022 読売ジャイアンツ       版1.13  113KB
  2022 阪神タイガース        版1.13  110KB
  2022 横浜DeNAベイスターズ   版1.13  112KB
  2022 中日ドラゴンズ        版1.13  114KB
  2022 東京ヤクルトスワローズ    版1.13  113KB
  2022 広島東洋カープ        版1.13  111KB
  2022 福岡ソフトバンクホークス   版1.13  116KB
  2022 オリックス・バファローズ   版1.13  110KB
  2022 千葉ロッテマリーンズ     版1.13  114KB
  2022 東北楽天ゴールデンイーグルス 版1.13  112KB
  2022 北海道日本ハムファイターズ  版1.13  113KB
  2022 埼玉西武ライオンズ      版1.13  113KB
  2026 読売ジャイアンツ       版1.11  109KB
  2026 阪神タイガース        版1.11  110KB
  2026 横浜DeNAベイスターズ   版1.11  112KB
  2026 中日ドラゴンズ        版1.11  111KB
  2026 東京ヤクルトスワローズ    版1.11  112KB
  2026 広島東洋カープ        版1.11  110KB
  2026 福岡ソフトバンクホークス   版1.11  108KB
  2026 オリックス・バファローズ   版1.11  110KB
  2026 千葉ロッテマリーンズ     版1.11  112KB
  2026 東北楽天ゴールデンイーグルス 版1.11  118KB
  2026 北海道日本ハムファイターズ  版1.11  115KB
  2026 埼玉西武ライオンズ      版1.11  113KB

取得 54 / 既存 42 / 取得できず 0 / 例外 0
��ルデンイーグルス 版1.15  111KB
  2020 北海道日本ハムファイターズ  版1.15  109KB
  2020 埼玉西武ライオンズ      版1.15  109KB
  2022 読売ジャイアンツ       版1.10  99KB
  2022 横浜DeNAベイスターズ   版1.10  105KB
  2022 東京ヤクルトスワローズ    版1.10  108KB
  2022 福岡ソフトバンクホークス   版1.10  111KB
  2022 オリックス・バファローズ   版1.10  103KB
  2022 東北楽天ゴールデンイーグルス 版1.10  110KB
  2022 埼玉西武ライオンズ      版1.10  107KB
  2026 阪神タイガース        版1.10  110KB
  2026 中日ドラゴンズ        版1.10  111KB
  2026 広島東洋カープ        版1.10  110KB
  2026 オリックス・バファローズ   版1.10  110KB
  2026 東北楽天ゴールデンイーグルス 版1.10  118KB
  2026 埼玉西武ライオンズ      版1.10  113KB

取得 60 / 既存 24 / 取得できず 12 / 例外 0
