event_id	event_date_start	event_date_end	retrieved_at	region	country	league	organization	competition	topic_family	subtopic	headline_or_event_name	fact_summary	primary_source_url	secondary_source_urls	source_authority	verification_status	historical_or_current	mechanism_revealed	potential_game_system	existing_requirement_ids	novelty_status	materiality	recurrence_class	player_frustration_risk	suggested_default_or_toggle	implementation_complexity	research_confidence	notes	wave	topic_family_codes	wave1_relation	corrected_existing_requirement_ids	semantic_mapping_status
PNN-001	2004-09-01	2004-11-02	2026-08-24	East Asia	Japan	NPB	Rakuten; NPB	NPB realignment	Governance	Expansion and franchise entry	Rakuten applies for a new NPB franchise	Rakuten publicly applied for a new NPB franchise during the 2004 reorganization period, illustrating an external company entering a league asset decision.	https://global.rakuten.com/corp/news/press/2004/1102.html	https://en.wikipedia.org/wiki/2004_Nippon_Professional_Baseball_realignment	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Ownership and market entry can alter league topology and club identity.	ownership/expansion/relocation state	PW-165;PW-247;PW-248	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	MEDIUM	Official corporate application is primary; strike chronology is secondary context.	WAVE1_BASELINE	D;Q	RETAINED_BASELINE	PW-165;PW-201;PW-202;PW-203;PW-204;PW-247;PW-248	CORRECTED
PNN-002	2013-12-16	2013-12-16	2026-08-24	East Asia	Japan	NPB/MLB	NPB; MLB	Posting system	Transactions	Posting window and release fee	MLB and NPB agree to a revised posting system	The revised system capped the release fee at $20 million and created a time-limited negotiation window; an unsuccessful negotiation leaves the player under reserve.	https://www.mlb.com/news/mlb-npb-reach-agreement-on-posting-system/c-66013956	https://www.mlb.com/news/mlb-agrees-to-new-japanese-free-agent-posting-system/c-64555100	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Cross-league transfer is a negotiated gate with timing, compensation, and failed-route consequences.	posting/overseas market/contract clock	PW-103;PW-104;PW-169;PW-236;PW-242	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	MEDIUM	HIGH	Use as evidence for existing posting and failed-negotiation mechanics.	WAVE1_BASELINE	C;O	RETAINED_BASELINE	PW-103;PW-104;PW-133;PW-134;PW-135;PW-168;PW-172;PW-173;PW-242	CORRECTED
PNN-003	2022-12-09	2022-12-09	2026-08-24	East Asia	Japan	NPB	NPB	Active Draft	Transactions	Underused-player redistribution	NPB holds the first Active Draft	Each club selected an underused player under a league-wide redistribution mechanism designed to create movement for players blocked on their current roster.	https://c.npb.jp/geneki_draft/2022/	https://npb.jp/announcement/2022/	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A protected roster can be periodically reopened through a bounded redistribution draft.	active draft/waiver-like mobility	PW-236;PW-237;PW-238;PW-239	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	MEDIUM	DEFAULT_RARE	MEDIUM	HIGH	Third-pass OPEN-07/09 overlap is explicitly not new.	WAVE1_BASELINE	B;C;D	RETAINED_BASELINE	PW-236;PW-237;PW-238;PW-256	CORRECTED
PNN-004	2022-10-20	2022-10-20	2026-08-24	East Asia	Japan	NPB	NPB	Draft	Amateur pipeline	Eligibility and draft order	NPB publishes draft eligibility and reverse-order schedule	Official NPB draft materials specify eligibility and the reverse standings order, showing that entry rights are formal calendar rules rather than a purely free market.	https://draft.npb.jp/draft/2022/information.html	https://draft.npb.jp/draft/2022/schedule.html	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Eligibility and draft order create a time-dependent entry gate.	draft eligibility/order	PW-055;PW-056;PW-057;PW-240;PW-259	ALREADY_COVERED	MEDIUM	RECURRING	MEDIUM	DEFAULT	LOW	HIGH	Evidence only; no new amateur requirement.	WAVE1_BASELINE	B;D	RETAINED_BASELINE	PW-053;PW-054;PW-055;PW-056;PW-057;PW-195;PW-196;PW-198;PW-240;PW-259	CORRECTED
PNN-005	2023-04-07	2023-04-07	2026-08-24	East Asia	Japan	NPB	NPB; independent leagues; JABA	Farm League	Development	League entry and regional development	NPB invites additional farm teams	NPB invited independent-league, JABA, and student-baseball organizations to participate in farm competition from 2024/25, tying farm structure to regional development.	https://bis.npb.or.jp/npb/farmleague_announcement_20230407.html	https://www.npb.or.jp/npb/careersupport2022enq.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	A league can add developmental tiers and external participants without waiting for a club relocation.	farm tier/independent affiliation/development capacity	PW-149;PW-150;PW-151;PW-179;PW-180	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Supports OPEN-08 but is not a new farm-system concept.	WAVE1_BASELINE	D;E;N	RETAINED_BASELINE	PW-149;PW-150;PW-151;PW-155;PW-156;PW-157;PW-168;PW-175;PW-177;PW-179;PW-180	CORRECTED
PNN-006	2026-01-01	2026-01-31	2026-08-24	East Asia	Japan	Japan Winter League	Japan Winter League; NPB; CPBL; KBO; JABA	Winter competition	Development	Cross-league scouting and data	Japan Winter League opens 2026 entry to players from multiple systems	The league describes eligibility across NPB, CPBL, KBO, JABA, independents, and youth players, plus TrackMan/BLAST data and international scouting; it reports past signings across several professional systems.	https://www.japanleague.co.jp/en/news/jwl-2026-entry-open	-	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	A shared development market can transfer players, data, and evaluation knowledge across league boundaries.	winter league/scouting/data exchange	PW-145;PW-153;PW-168;PW-171;PW-179;PW-180	PARTIAL_EXTENSION	HIGH	RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Official league self-report; signing count is not independently audited here.	WAVE1_BASELINE	E;F;G;N	RETAINED_BASELINE	PW-145;PW-151;PW-153;PW-155;PW-156;PW-157;PW-168;PW-175;PW-177;PW-179;PW-180	CORRECTED
PNN-007	2013-06-25	2013-06-25	2026-08-24	East Asia	Japan	NPB	NPB	Rule review	Integrity and equipment	Unified-ball investigation	NPB commissions a third-party investigation into the unified ball	The official release documents a league-wide investigation into ball specifications and communication, showing how equipment policy can become a governance and trust issue.	https://npb.jp/npb/20130625release.html	https://npb.jp/npb/20160315release.html	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Equipment and rule transparency can affect trust, performance comparability, and governance.	ball/equipment governance/era calibration	PW-191;PW-201;PW-205;PW-213	PARTIAL_EXTENSION	MEDIUM	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	MEDIUM	HIGH	No allegation about individual intent is inferred.	WAVE1_BASELINE	A;L;M	RETAINED_BASELINE	PW-190;PW-191;PW-193;PW-205;PW-207;PW-209;PW-212;PW-213;PW-214;PW-216	CORRECTED
PNN-008	2018-06-04	2019-05-22	2026-08-24	North America/East Asia	United States/Japan	MLB/NPB	Atlanta Braves; SoftBank Hawks	Draft and overseas signing	Career path	Failed medical gate and alternate route	Carter Stewart was the 2018 No. 8 overall pick and later signed with SoftBank after a draft medical dispute	MLB reporting describes the failed physical/negotiation and subsequent Japanese professional route; the correct draft slot is No. 8 overall.	https://www.mlb.com/news/carter-stewart-pitcher-signs-japan.html	https://www.mlb.com/news/braves-unable-to-agree-with-carter-stewart-c284523030;https://www.mlb.jp/2019/05/22/26692/	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	A failed institutional gate can redirect a prospect into another professional ecosystem without ending the career.	draft medical/overseas route/reclamation reputation	PW-055;PW-094;PW-169;PW-171;PW-251	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	MEDIUM	HIGH	Owner example is preserved as a case, not a guaranteed generic outcome.	WAVE1_BASELINE	B;C;E;I;O	RETAINED_BASELINE	PW-055;PW-094;PW-103;PW-104;PW-127;PW-128;PW-160;PW-163;PW-239;PW-242;PW-251;PW-255	CORRECTED
PNN-009	2024-01-01	2024-12-31	2026-08-24	North America/Caribbean	United States/Dominican Republic	MLB	San Francisco Giants; MLB academies	Development exchange	Player development	Academy immersion and knowledge transfer	Giants prospects visit the Dominican Republic academy system	MLB reporting describes an organization exposing US prospects to Dominican academy environments, a concrete example of cross-system development and cultural/knowledge exchange.	https://www.mlb.com/news/kyle-harrison-giants-prospects-visit-dominican-republic	https://www.mlb.com/trainer-partnership/dominican-republic	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Organizations can acquire development knowledge and player context through international academy exchange.	academy/staff knowledge capital/cultural adaptation	PW-145;PW-153;PW-157;PW-158;PW-171	PARTIAL_EXTENSION	MEDIUM	RECURRING	MEDIUM	TOGGLE	MEDIUM	MEDIUM	Public report does not expose internal outcome metrics.	WAVE1_BASELINE	E;F;G;N	RETAINED_BASELINE	PW-145;PW-153;PW-155;PW-156;PW-157;PW-158;PW-168;PW-175;PW-177	CORRECTED
PNN-010	2023-03-09	2023-03-09	2026-08-24	North America	United States/Canada	MLB/MiLB	MLB; MLBPA; umpires	Rule changes	In-game rules	Pitch timer, disengagement, shifts, and bases	MLB implements its 2023 rule package after minor-league testing	The official package describes pitch-timer, disengagement, shift-limit, and larger-base changes, with minor-league testing and measured effects.	https://www.mlb.com/press-release/press-release-mlb-announces-rule-changes-for-2023-season	https://www.mlb.com/rule-changes-2023/	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A league can test coupled rules in a lower tier and promote them with measurable interaction effects.	rule engine/skill price/era statistics	PW-117;PW-120;PW-190;PW-192;PW-193;PW-194	ALREADY_COVERED	HIGH	RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Third-pass OPEN-02/11/15 overlap is known.	WAVE1_BASELINE	A;F;H	RETAINED_BASELINE	PW-190;PW-192;PW-193;PW-194	CORRECTED
